,Player,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,Y/A,TD,Rec,Yds,Y/R,TD,Fmb,FL,TD,2PM,2PP,FantPt,PPR,DKPt,FDPt,VBD,PosRank,OvRank,
1,Otis Armstrong *+,DEN,RB,24,14,14,0,0,0,0,0,263,1407,5.35,9,38,405,10.66,3,6,,12,,,253,285.2,294.2,266.2,170,1,1,
2,Cliff Branch *+,OAK,WR,26,14,14,0,0,0,0,0,0,0,,0,60,1092,18.20,13,1,,13,,,187,246.2,249.7,216.2,142,1,2,
3,Chuck Foreman*,MIN,RB,24,13,13,0,0,0,0,0,199,777,3.90,9,53,586,11.06,6,6,,15,,,226,273.3,282.3,246.8,140,2,3,
4,Don Woods,SDG,RB,23,12,9,1,3,28,1,1,227,1162,5.12,7,26,349,13.42,3,4,,10,,,214,236.2,245.2,224.2,126,3,4,
5,Mack Herron,NWE,RB,26,14,14,0,0,0,0,0,231,824,3.57,7,38,474,12.47,5,12,,12,,,202,227.8,239.8,208.8,112,4,5,
6,Ken Anderson,CIN,QB,25,13,13,213,328,2667,18,10,43,314,7.30,2,0,0,,0,3,,2,,,202,199.1,216.6,209.1,105,1,6,
7,Lawrence McCutcheon*,RAM,RB,24,14,14,0,0,0,0,0,236,1109,4.70,3,39,408,10.46,2,7,,5,,,182,213.7,223.2,194.2,89,5,7,
8,Tom Sullivan,PHI,RB,24,14,14,0,0,0,0,0,244,760,3.11,11,39,312,8.00,1,6,,12,,,179,212.2,221.2,192.7,86,6,8,
9,Ken Stabler *+,OAK,QB,29,14,13,178,310,2469,26,12,12,-2,-0.17,1,0,0,,0,3,,1,,,185,181.6,198.1,193.6,85,2,9,
10,Lydell Mitchell,BAL,RB,25,14,14,0,0,0,0,0,214,757,3.54,5,72,544,7.56,2,6,,7,,,172,238.1,247.1,202.1,78,7,10,
11,Isaac Curtis*,CIN,WR,24,14,14,0,0,0,0,0,8,62,7.75,0,30,633,21.10,10,1,,10,,,130,158.5,162.0,143.5,76,2,11,
12,Sam Cunningham,NWE,RB,24,10,10,0,0,0,0,0,166,811,4.89,9,22,214,9.73,2,2,,11,,,169,188.5,195.5,177.5,73,8,12,
13,Drew Pearson*+,DAL,WR,23,14,14,1,1,46,1,0,3,6,2.00,0,62,1087,17.53,2,1,,3,,,127,194.1,197.6,163.1,73,3,13,
14,Jim Hart *,STL,QB,30,14,14,200,388,2411,20,8,10,21,2.10,2,0,0,,0,5,,2,,,175,169.5,183.0,177.5,73,3,14,
15,Fran Tarkenton*,MIN,QB,34,13,13,199,351,2598,17,12,21,120,5.71,2,0,0,,0,2,,2,,,172,169.9,188.9,181.9,70,4,15,
16,Rich Caster*,NYJ,TE,26,13,13,0,0,0,0,0,0,0,,0,38,745,19.61,7,2,,7,,,117,152.5,156.5,133.5,68,1,16,
17,Roger Staubach,DAL,QB,32,14,14,190,360,2552,11,15,47,320,6.81,3,1,-13,-13.00,0,7,,3,,,165,158.8,183.3,173.3,62,5,17,
18,Franco Harris*,PIT,RB,24,12,11,0,0,0,0,0,208,1006,4.84,5,23,200,8.70,1,9,,6,,,157,170.6,181.1,159.1,60,9,18,
19,O.J. Simpson*+,BUF,RB,27,14,14,0,1,0,0,0,270,1125,4.17,3,15,189,12.60,1,7,,4,,,155,163.4,172.9,155.9,59,10,19,
