Player,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,TD,Int,Att.1,Yds.1,Y/A,TD.1,Tgt,Rec,Yds.2,Y/R,TD.2,Fmb,FL,TD.3,2PM,2PP,FantPt,PPR,DKPt,FDPt,VBD,PosRank,Unnamed: 33,Year
Marshall Faulk*+,STL,RB,26.0,16.0,16.0,0.0,1.0,0.0,0.0,0.0,253.0,1381.0,5.46,7.0,103.0,87.0,1048.0,12.05,5.0,2.0,2.0,12.0,1.0,0.0,317.0,399.9,407.9,356.4,187.0,1.0,,1999
Edgerrin James*+,IND,RB,21.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,369.0,1553.0,4.21,13.0,82.0,62.0,586.0,9.45,4.0,8.0,4.0,17.0,0.0,0.0,316.0,369.9,379.9,338.9,186.0,2.0,,1999
Kurt Warner*+,STL,QB,28.0,16.0,16.0,325.0,499.0,4353.0,41.0,13.0,23.0,92.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,9.0,5.0,1.0,0.0,1.0,329.0,319.3,340.3,332.3,135.0,1.0,,1999
Stephen Davis *,WAS,RB,25.0,14.0,14.0,0.0,0.0,0.0,0.0,0.0,290.0,1405.0,4.84,17.0,28.0,23.0,111.0,4.83,0.0,4.0,1.0,17.0,1.0,0.0,256.0,276.6,283.6,265.1,126.0,3.0,,1999
Eddie George*,TEN,RB,26.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,320.0,1304.0,4.08,9.0,65.0,47.0,458.0,9.74,4.0,5.0,4.0,13.0,0.0,0.0,254.0,293.2,303.2,269.7,124.0,4.0,,1999
Steve Beuerlein*,CAR,QB,34.0,16.0,16.0,343.0,571.0,4436.0,36.0,15.0,27.0,124.0,4.59,2.0,0.0,0.0,0.0,0.0,0.0,12.0,8.0,2.0,0.0,0.0,316.0,299.8,328.8,314.8,121.0,2.0,,1999
Marvin Harrison*+,IND,WR,27.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,4.0,0.0,184.0,115.0,1663.0,14.46,12.0,2.0,1.0,12.0,1.0,0.0,241.0,353.7,357.7,296.2,120.0,1.0,,1999
Wesley Walls*,CAR,TE,33.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,108.0,63.0,822.0,13.05,12.0,1.0,1.0,12.0,0.0,0.0,154.0,215.2,219.2,183.7,101.0,1.0,,1999
Emmitt Smith*,DAL,RB,30.0,15.0,15.0,0.0,0.0,0.0,0.0,0.0,329.0,1397.0,4.25,11.0,32.0,27.0,119.0,4.41,2.0,5.0,3.0,13.0,0.0,0.0,230.0,250.6,259.6,237.1,100.0,5.0,,1999
Tony Gonzalez*+,KAN,TE,23.0,15.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,104.0,76.0,849.0,11.17,11.0,2.0,1.0,11.0,0.0,0.0,151.0,224.9,228.9,186.9,97.0,2.0,,1999
Randy Moss*,MIN,WR,22.0,16.0,16.0,1.0,1.0,27.0,1.0,0.0,4.0,43.0,10.75,0.0,137.0,80.0,1413.0,17.66,11.0,3.0,1.0,12.0,0.0,0.0,217.0,300.7,304.7,260.7,96.0,2.0,,1999
Dorsey Levens,GNB,RB,29.0,14.0,14.0,0.0,0.0,0.0,0.0,0.0,279.0,1034.0,3.71,9.0,81.0,71.0,573.0,8.07,1.0,5.0,5.0,10.0,0.0,0.0,221.0,281.7,292.7,246.2,91.0,6.0,,1999
Charlie Garner,SFO,RB,27.0,16.0,15.0,0.0,0.0,0.0,0.0,0.0,241.0,1229.0,5.1,4.0,76.0,56.0,535.0,9.55,2.0,4.0,2.0,6.0,0.0,0.0,212.0,264.4,272.4,236.4,82.0,7.0,,1999
Cris Carter *+,MIN,WR,34.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,137.0,90.0,1241.0,13.79,13.0,0.0,,13.0,0.0,0.0,202.0,292.1,295.1,247.1,81.0,3.0,,1999
Jimmy Smith*,JAX,WR,30.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,173.0,116.0,1636.0,14.1,6.0,1.0,1.0,6.0,1.0,0.0,202.0,315.6,319.6,257.6,81.0,4.0,,1999
Marcus Robinson,CHI,WR,24.0,16.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,149.0,84.0,1400.0,16.67,9.0,0.0,,9.0,0.0,0.0,194.0,278.0,281.0,236.0,73.0,5.0,,1999
Isaac Bruce*,STL,WR,27.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,5.0,32.0,6.4,0.0,120.0,77.0,1165.0,15.13,12.0,0.0,,12.0,1.0,0.0,194.0,270.7,273.7,232.2,73.0,6.0,,1999
Curtis Martin,NYJ,RB,26.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,367.0,1464.0,3.99,5.0,49.0,45.0,259.0,5.76,0.0,2.0,,5.0,0.0,0.0,202.0,247.3,253.3,224.8,72.0,8.0,,1999
Ricky Watters,SEA,RB,30.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,325.0,1210.0,3.72,5.0,62.0,40.0,387.0,9.68,2.0,4.0,4.0,7.0,0.0,0.0,202.0,233.7,243.7,213.7,72.0,9.0,,1999
Rich Gannon*,OAK,QB,34.0,16.0,16.0,304.0,515.0,3840.0,24.0,14.0,46.0,298.0,6.48,2.0,1.0,1.0,-3.0,-3.0,0.0,8.0,4.0,2.0,0.0,1.0,265.0,258.1,282.1,271.6,71.0,3.0,,1999
Peyton Manning*,IND,QB,23.0,16.0,16.0,331.0,533.0,4135.0,26.0,15.0,35.0,73.0,2.09,2.0,0.0,0.0,0.0,0.0,0.0,6.0,3.0,2.0,0.0,1.0,261.0,254.7,275.7,269.7,66.0,4.0,,1999
Duce Staley,PHI,RB,24.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,325.0,1273.0,3.92,4.0,66.0,41.0,294.0,7.17,2.0,5.0,4.0,6.0,0.0,0.0,193.0,225.7,235.7,205.2,63.0,10.0,,1999
Patrick Jeffers,CAR,WR,26.0,15.0,10.0,0.0,0.0,0.0,0.0,0.0,2.0,16.0,8.0,0.0,101.0,63.0,1082.0,17.17,12.0,0.0,,12.0,0.0,0.0,182.0,244.8,247.8,213.3,61.0,7.0,,1999
Germane Crowell,DET,WR,23.0,16.0,15.0,0.0,0.0,0.0,0.0,0.0,5.0,38.0,7.6,0.0,148.0,81.0,1338.0,16.52,7.0,1.0,1.0,7.0,1.0,0.0,182.0,260.6,264.6,220.1,61.0,8.0,,1999
Michael Westbrook,WAS,WR,27.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,7.0,35.0,5.0,0.0,114.0,65.0,1191.0,18.32,9.0,3.0,1.0,9.0,1.0,0.0,179.0,241.6,245.6,209.1,58.0,9.0,,1999
Rickey Dudley,OAK,TE,27.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.0,39.0,555.0,14.23,9.0,0.0,,9.0,0.0,0.0,110.0,148.5,151.5,129.0,56.0,3.0,,1999
Corey Dillon*,CIN,RB,25.0,15.0,15.0,0.0,0.0,0.0,0.0,0.0,263.0,1200.0,4.56,5.0,49.0,31.0,290.0,9.35,1.0,3.0,2.0,6.0,0.0,0.0,185.0,212.0,220.0,196.5,55.0,11.0,,1999
Brad Johnson *,WAS,QB,31.0,16.0,16.0,316.0,519.0,4005.0,24.0,13.0,26.0,31.0,1.19,2.0,0.0,0.0,0.0,0.0,0.0,12.0,6.0,2.0,0.0,1.0,247.0,235.3,257.3,248.3,53.0,5.0,,1999
Muhsin Muhammad*,CAR,WR,26.0,15.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,157.0,96.0,1253.0,13.05,8.0,1.0,1.0,8.0,0.0,0.0,173.0,267.3,271.3,219.3,52.0,10.0,,1999
