Player,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,TD,Int,Att.1,Yds.1,Y/A,TD.1,Rec,Yds.2,Y/R,TD.2,Fmb,FL,TD.3,2PM,2PP,FantPt,PPR,DKPt,FDPt,VBD,PosRank,Unnamed: 32,Year,Tgt
Marcus Allen*+,RAI,RB,25.0,16.0,16.0,1.0,2.0,16.0,0.0,0.0,380.0,1759.0,4.63,11.0,67.0,555.0,8.28,3.0,3.0,,14.0,0.0,0.0,316.0,380.0,387.5,346.5,165.0,1.0,,1985,0.0
Roger Craig*,SFO,RB,25.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,214.0,1050.0,4.91,9.0,92.0,1016.0,11.04,6.0,5.0,,15.0,0.0,0.0,297.0,383.6,392.1,337.6,146.0,2.0,,1985,0.0
Joe Morris *,NYG,RB,25.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,294.0,1336.0,4.54,21.0,22.0,212.0,9.64,0.0,6.0,,21.0,0.0,0.0,281.0,296.8,305.8,285.8,130.0,3.0,,1985,0.0
Walter Payton*+,CHI,RB,31.0,16.0,16.0,3.0,5.0,96.0,1.0,0.0,324.0,1551.0,4.79,9.0,49.0,483.0,9.86,2.0,6.0,,11.0,0.0,0.0,277.0,320.2,329.2,295.7,127.0,4.0,,1985,0.0
Gerald Riggs*,ATL,RB,25.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,397.0,1719.0,4.33,10.0,33.0,267.0,8.09,0.0,0.0,,10.0,0.0,0.0,259.0,291.6,297.6,275.1,108.0,5.0,,1985,0.0
Tony Dorsett,DAL,RB,31.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,305.0,1307.0,4.29,7.0,46.0,449.0,9.76,3.0,7.0,,10.0,0.0,0.0,236.0,274.6,284.1,251.6,85.0,6.0,,1985,0.0
Louis Lipps*,PIT,WR,23.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,2.0,16.0,8.0,1.0,59.0,1134.0,19.22,12.0,5.0,,15.0,0.0,0.0,193.0,259.0,264.5,229.5,84.0,1.0,,1985,0.0
Mike Quick*+,PHI,WR,26.0,16.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.0,1247.0,17.08,11.0,1.0,,11.0,0.0,0.0,191.0,262.7,266.2,226.2,82.0,2.0,,1985,0.0
Joe Montana*,SFO,QB,29.0,15.0,15.0,303.0,494.0,3653.0,27.0,13.0,42.0,153.0,3.64,3.0,0.0,0.0,0.0,0.0,5.0,,3.0,0.0,0.0,261.0,256.4,277.9,269.4,80.0,1.0,,1985,0.0
James Brooks,CIN,RB,27.0,16.0,16.0,1.0,1.0,8.0,1.0,0.0,192.0,929.0,4.84,7.0,55.0,576.0,10.47,5.0,7.0,,12.0,0.0,0.0,227.0,274.8,284.3,247.3,76.0,7.0,,1985,0.0
James Wilder,TAM,RB,27.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,365.0,1300.0,3.56,10.0,53.0,341.0,6.43,0.0,9.0,,10.0,0.0,0.0,224.0,268.1,278.6,241.6,74.0,8.0,,1985,0.0
