Player,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,TD,Int,Att.1,Yds.1,Y/A,TD.1,Rec,Yds.2,Y/R,TD.2,Fmb,FL,TD.3,2PM,2PP,FantPt,PPR,DKPt,FDPt,VBD,PosRank,Unnamed: 32,Year,Tgt
Walter Payton*,CHI,RB,24.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,333.0,1395.0,4.19,11.0,50.0,480.0,9.6,0.0,5.0,,11.0,0.0,0.0,254.0,298.5,307.0,273.5,106.0,1.0,,1978,0.0
John Jefferson*,SDG,WR,22.0,14.0,14.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,7.0,0.0,56.0,1001.0,17.88,13.0,0.0,,13.0,0.0,0.0,179.0,234.8,237.8,206.8,95.0,1.0,,1978,0.0
Dave Casper*+,OAK,TE,26.0,16.0,16.0,0.0,1.0,0.0,0.0,0.0,1.0,5.0,5.0,0.0,62.0,852.0,13.74,9.0,1.0,,10.0,0.0,0.0,140.0,206.7,210.2,175.7,82.0,1.0,,1978,0.0
Steve Largent*,SEA,WR,24.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.0,1168.0,16.45,8.0,0.0,,8.0,0.0,0.0,165.0,235.8,238.8,200.3,81.0,2.0,,1978,0.0
Roger Staubach*,DAL,QB,36.0,15.0,15.0,231.0,413.0,3190.0,25.0,16.0,42.0,182.0,4.33,1.0,0.0,0.0,0.0,0.0,5.0,,1.0,0.0,0.0,220.0,214.8,239.3,230.8,80.0,1.0,,1978,0.0
Wesley Walker*+,NYJ,WR,23.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,1.0,-3.0,-3.0,0.0,48.0,1169.0,24.35,8.0,2.0,,8.0,0.0,0.0,165.0,210.6,214.6,186.6,80.0,3.0,,1978,0.0
Earl Campbell*+,HOU,RB,23.0,15.0,14.0,0.0,0.0,0.0,0.0,0.0,302.0,1450.0,4.8,13.0,12.0,48.0,4.0,0.0,9.0,,13.0,0.0,0.0,228.0,230.8,238.3,224.8,80.0,2.0,,1978,0.0
Jim Zorn,SEA,QB,25.0,16.0,16.0,248.0,443.0,3283.0,15.0,20.0,59.0,290.0,4.92,6.0,0.0,0.0,0.0,0.0,11.0,,6.0,0.0,0.0,216.0,205.3,236.8,225.3,77.0,2.0,,1978,0.0
Tony Dorsett*,DAL,RB,24.0,16.0,15.0,0.0,1.0,0.0,0.0,0.0,290.0,1325.0,4.57,7.0,37.0,378.0,10.22,2.0,12.0,,10.0,0.0,0.0,224.0,255.3,267.3,236.8,77.0,3.0,,1978,0.0
Harold Carmichael *,PHI,WR,29.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,1.0,21.0,21.0,0.0,55.0,1072.0,19.49,8.0,1.0,,8.0,0.0,0.0,157.0,211.3,214.8,183.8,73.0,4.0,,1978,0.0
Steve Grogan,NWE,QB,25.0,16.0,16.0,181.0,362.0,2824.0,15.0,23.0,81.0,539.0,6.65,5.0,0.0,0.0,0.0,0.0,9.0,,5.0,0.0,0.0,211.0,201.9,235.4,224.9,71.0,3.0,,1978,0.0
Lynn Swann*+,PIT,WR,26.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,7.0,0.0,61.0,880.0,14.43,11.0,0.0,,11.0,0.0,0.0,155.0,215.7,218.7,185.2,71.0,5.0,,1978,0.0
Terdell Middleton *,GNB,RB,23.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,284.0,1116.0,3.93,11.0,34.0,332.0,9.76,1.0,8.0,,12.0,0.0,0.0,217.0,242.8,252.8,225.8,69.0,4.0,,1978,0.0
Terry Bradshaw*+,PIT,QB,30.0,16.0,16.0,207.0,368.0,2915.0,28.0,20.0,32.0,93.0,2.91,1.0,0.0,1.0,0.0,0.0,8.0,,1.0,0.0,0.0,204.0,196.0,223.0,216.0,65.0,4.0,,1978,0.0
Riley Odoms*,DEN,TE,28.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,2.5,0.0,54.0,829.0,15.35,6.0,2.0,,6.0,0.0,0.0,119.0,171.4,175.4,144.4,62.0,2.0,,1978,0.0
Archie Manning*,NOR,QB,29.0,16.0,16.0,291.0,471.0,3416.0,17.0,16.0,38.0,202.0,5.32,1.0,0.0,0.0,0.0,0.0,8.0,,1.0,0.0,0.0,199.0,190.8,216.8,206.8,59.0,5.0,,1978,0.0
Brian Sipe,CLE,QB,29.0,16.0,16.0,222.0,399.0,2906.0,21.0,15.0,28.0,87.0,3.11,3.0,0.0,0.0,0.0,0.0,12.0,,3.0,0.0,0.0,197.0,184.9,208.9,199.9,58.0,6.0,,1978,0.0
Reggie Rucker,CLE,WR,31.0,15.0,15.0,0.0,0.0,0.0,0.0,0.0,2.0,14.0,7.0,0.0,43.0,893.0,20.77,8.0,3.0,,8.0,0.0,0.0,139.0,178.7,183.2,157.2,55.0,6.0,,1978,0.0
Wilbert Montgomery*,PHI,RB,24.0,14.0,14.0,0.0,0.0,0.0,0.0,0.0,259.0,1220.0,4.71,9.0,34.0,195.0,5.74,1.0,6.0,,10.0,0.0,0.0,202.0,229.5,238.5,212.5,54.0,5.0,,1978,0.0
Dan Fouts,SDG,QB,27.0,15.0,14.0,224.0,381.0,2999.0,24.0,20.0,20.0,43.0,2.15,2.0,0.0,0.0,0.0,0.0,10.0,,2.0,0.0,0.0,192.0,182.3,210.3,202.3,53.0,7.0,,1978,0.0
Henry Childs,NOR,TE,27.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,2.0,-4.0,-2.0,0.0,53.0,869.0,16.4,4.0,1.0,,4.0,0.0,0.0,111.0,162.5,166.0,136.0,53.0,3.0,,1978,0.0
John Stallworth,PIT,WR,26.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,798.0,19.46,9.0,2.0,,9.0,0.0,0.0,134.0,172.8,176.8,152.3,50.0,7.0,,1978,0.0
Billy Joe DuPree*,DAL,TE,28.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,1.0,15.0,15.0,0.0,34.0,509.0,14.97,9.0,3.0,,9.0,0.0,0.0,106.0,137.4,141.9,120.4,49.0,4.0,,1978,0.0
Sammy White,MIN,WR,24.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,5.0,30.0,6.0,0.0,53.0,741.0,13.98,9.0,1.0,,9.0,0.0,0.0,131.0,183.1,186.6,156.6,47.0,8.0,,1978,0.0
Delvin Williams*+,MIA,RB,27.0,16.0,15.0,0.0,1.0,0.0,0.0,0.0,272.0,1258.0,4.63,8.0,18.0,192.0,10.67,0.0,4.0,,8.0,0.0,0.0,193.0,207.0,215.0,198.0,46.0,6.0,,1978,0.0
Mark van Eeghen,OAK,RB,26.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,270.0,1080.0,4.0,9.0,27.0,291.0,10.78,0.0,5.0,,10.0,0.0,0.0,191.0,219.1,227.6,205.6,44.0,7.0,,1978,0.0
Tony Reed,KAN,RB,23.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,206.0,1053.0,5.11,5.0,48.0,483.0,10.06,1.0,6.0,,6.0,0.0,0.0,190.0,231.6,240.6,207.6,42.0,8.0,,1978,0.0
Fran Tarkenton,MIN,QB,38.0,16.0,16.0,345.0,572.0,3468.0,25.0,32.0,24.0,-6.0,-0.25,1.0,0.0,0.0,0.0,0.0,7.0,,1.0,0.0,0.0,180.0,173.1,211.6,205.1,41.0,8.0,,1978,0.0
