Player,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,TD,Int,Att.1,Yds.1,Y/A,TD.1,Tgt,Rec,Yds.2,Y/R,TD.2,Fmb,FL,TD.3,2PM,2PP,FantPt,PPR,DKPt,FDPt,VBD,PosRank,Unnamed: 33,Year
Jerry Rice *+,SFO,WR,31.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,3.0,69.0,23.0,1.0,153.0,98.0,1503.0,15.34,15.0,3.0,,16.0,0.0,0.0,253.0,348.2,352.7,299.2,147.0,1.0,,1993
Emmitt Smith*+,DAL,RB,24.0,14.0,13.0,0.0,0.0,0.0,0.0,0.0,283.0,1486.0,5.25,9.0,65.0,57.0,414.0,7.26,1.0,4.0,,10.0,0.0,0.0,250.0,303.0,311.0,274.5,136.0,1.0,,1993
Steve Young*+,SFO,QB,32.0,16.0,16.0,314.0,462.0,4023.0,29.0,16.0,69.0,407.0,5.9,2.0,2.0,2.0,2.0,1.0,0.0,8.0,,2.0,0.0,0.0,298.0,291.8,317.8,306.8,129.0,1.0,,1993
Andre Rison*,ATL,WR,26.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,165.0,86.0,1242.0,14.44,15.0,2.0,,15.0,0.0,0.0,214.0,298.2,302.2,255.2,108.0,2.0,,1993
Shannon Sharpe*+,DEN,TE,25.0,16.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110.0,81.0,995.0,12.28,9.0,1.0,,9.0,0.0,0.0,154.0,233.5,237.0,193.0,96.0,1.0,,1993
Jerome Bettis*+,RAM,RB,21.0,16.0,12.0,0.0,0.0,0.0,0.0,0.0,294.0,1429.0,4.86,7.0,34.0,26.0,244.0,9.38,0.0,4.0,,7.0,0.0,0.0,209.0,231.3,239.3,218.3,96.0,2.0,,1993
Thurman Thomas*,BUF,RB,27.0,16.0,16.0,0.0,1.0,0.0,0.0,0.0,355.0,1315.0,3.7,6.0,71.0,48.0,387.0,8.06,0.0,6.0,,6.0,0.0,0.0,206.0,248.2,257.2,224.2,93.0,3.0,,1993
Sterling Sharpe*+,GNB,WR,28.0,16.0,16.0,1.0,1.0,1.0,0.0,0.0,4.0,8.0,2.0,0.0,189.0,112.0,1274.0,11.38,11.0,1.0,,11.0,0.0,0.0,194.0,305.2,308.7,249.2,88.0,3.0,,1993
John Elway*,DEN,QB,33.0,16.0,16.0,348.0,551.0,4030.0,25.0,10.0,44.0,153.0,3.48,0.0,,0.0,0.0,0.0,0.0,8.0,,0.0,0.0,0.0,257.0,248.5,268.5,258.5,87.0,2.0,,1993
Ricky Watters*,SFO,RB,24.0,13.0,13.0,0.0,0.0,0.0,0.0,0.0,208.0,950.0,4.57,10.0,45.0,31.0,326.0,10.52,1.0,5.0,,11.0,0.0,0.0,194.0,219.6,228.1,204.1,80.0,4.0,,1993
Marcus Allen*,KAN,RB,33.0,16.0,10.0,0.0,0.0,0.0,0.0,0.0,206.0,764.0,3.71,12.0,46.0,34.0,238.0,7.0,3.0,4.0,,15.0,0.0,0.0,190.0,220.2,228.2,203.2,77.0,5.0,,1993
Michael Irvin*,DAL,WR,27.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,2.0,6.0,3.0,0.0,143.0,88.0,1330.0,15.11,7.0,0.0,,7.0,0.0,0.0,176.0,263.6,266.6,219.6,70.0,4.0,,1993
Eric Green*,PIT,TE,26.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,113.0,63.0,942.0,14.95,5.0,3.0,,5.0,0.0,0.0,124.0,184.2,188.7,152.7,67.0,2.0,,1993
Leonard Russell,NWE,RB,24.0,16.0,15.0,0.0,0.0,0.0,0.0,0.0,300.0,1088.0,3.63,7.0,37.0,26.0,245.0,9.42,0.0,4.0,,7.0,0.0,0.0,175.0,197.3,205.3,184.3,62.0,6.0,,1993
Gary Brown,HOU,RB,24.0,16.0,8.0,0.0,0.0,0.0,0.0,0.0,195.0,1002.0,5.14,6.0,30.0,21.0,240.0,11.43,2.0,4.0,,8.0,0.0,0.0,172.0,189.2,197.2,178.7,59.0,7.0,,1993
Ben Coates,NWE,TE,24.0,16.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.0,53.0,659.0,12.43,8.0,0.0,,8.0,0.0,0.0,114.0,166.9,169.9,140.4,57.0,3.0,,1993
Johnny Johnson,NYJ,RB,25.0,15.0,9.0,0.0,0.0,0.0,0.0,0.0,198.0,821.0,4.15,3.0,83.0,67.0,641.0,9.57,1.0,5.0,,4.0,0.0,0.0,170.0,232.2,240.7,198.7,57.0,8.0,,1993
Cris Carter *,MIN,WR,28.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,143.0,86.0,1071.0,12.45,9.0,0.0,,9.0,0.0,0.0,161.0,247.1,250.1,204.1,55.0,5.0,,1993
Tim Brown*,RAI,WR,27.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,2.0,7.0,3.5,0.0,127.0,80.0,1180.0,14.75,7.0,1.0,,8.0,0.0,0.0,161.0,245.7,249.2,205.7,55.0,6.0,,1993
Erric Pegram,ATL,RB,24.0,16.0,14.0,0.0,0.0,0.0,0.0,0.0,292.0,1185.0,4.06,3.0,42.0,33.0,302.0,9.15,0.0,6.0,,3.0,0.0,0.0,167.0,193.7,202.7,177.2,53.0,9.0,,1993
Anthony Miller*,SDG,WR,28.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,162.0,84.0,1162.0,13.83,7.0,0.0,,7.0,0.0,0.0,158.0,242.2,245.2,200.2,52.0,7.0,,1993
Terry Kirby,MIA,RB,23.0,16.0,8.0,0.0,0.0,0.0,0.0,0.0,119.0,390.0,3.28,3.0,95.0,75.0,874.0,11.65,3.0,5.0,,6.0,0.0,0.0,162.0,232.4,240.9,194.9,49.0,10.0,,1993
Edgar Bennett,GNB,RB,24.0,16.0,14.0,0.0,0.0,0.0,0.0,0.0,159.0,550.0,3.46,9.0,74.0,59.0,457.0,7.75,1.0,0.0,,10.0,0.0,0.0,161.0,219.7,225.7,190.2,47.0,11.0,,1993
Jeff Hostetler,RAI,QB,32.0,15.0,15.0,236.0,419.0,3242.0,14.0,10.0,55.0,202.0,3.67,5.0,1.0,0.0,0.0,0.0,0.0,6.0,,5.0,0.0,0.0,216.0,209.9,228.9,219.9,47.0,3.0,,1993
Herschel Walker,PHI,RB,31.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,174.0,746.0,4.29,1.0,91.0,75.0,610.0,8.13,3.0,3.0,,4.0,0.0,0.0,160.0,231.6,239.1,194.1,46.0,12.0,,1993
Chris Warren*,SEA,RB,25.0,14.0,14.0,0.0,0.0,0.0,0.0,0.0,273.0,1072.0,3.93,7.0,21.0,15.0,99.0,6.6,0.0,3.0,,7.0,0.0,0.0,159.0,171.1,175.6,163.6,45.0,13.0,,1993
Rodney Hampton *,NYG,RB,24.0,12.0,10.0,0.0,0.0,0.0,0.0,0.0,292.0,1077.0,3.69,5.0,23.0,18.0,210.0,11.67,0.0,2.0,,5.0,0.0,0.0,159.0,174.7,181.7,165.7,45.0,14.0,,1993
Ronald Moore,PHO,RB,23.0,16.0,11.0,0.0,0.0,0.0,0.0,0.0,263.0,1018.0,3.87,9.0,7.0,3.0,16.0,5.33,0.0,3.0,,9.0,0.0,0.0,157.0,157.4,161.9,155.9,44.0,15.0,,1993
Johnny Mitchell,NYJ,TE,22.0,14.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.0,39.0,630.0,16.15,6.0,0.0,,6.0,0.0,0.0,99.0,138.0,141.0,118.5,42.0,4.0,,1993
Keith Jackson,MIA,TE,28.0,15.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.0,39.0,613.0,15.72,6.0,2.0,,6.0,0.0,0.0,97.0,134.3,138.3,114.8,40.0,5.0,,1993
Barry Sanders *,DET,RB,25.0,11.0,11.0,0.0,0.0,0.0,0.0,0.0,243.0,1115.0,4.59,3.0,48.0,36.0,205.0,5.69,0.0,3.0,,3.0,0.0,0.0,150.0,183.0,190.5,165.0,36.0,16.0,,1993
Brent Jones*,SFO,TE,30.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94.0,68.0,735.0,10.81,3.0,2.0,,3.0,0.0,0.0,92.0,157.5,161.5,123.5,34.0,6.0,,1993
Barry Foster *,PIT,RB,25.0,9.0,9.0,0.0,0.0,0.0,0.0,0.0,177.0,711.0,4.02,8.0,34.0,27.0,217.0,8.04,1.0,3.0,,9.0,0.0,0.0,147.0,170.8,178.3,157.3,33.0,17.0,,1993
Warren Moon*,HOU,QB,37.0,15.0,14.0,303.0,520.0,3485.0,21.0,21.0,48.0,145.0,3.02,1.0,,0.0,0.0,0.0,0.0,13.0,,1.0,0.0,0.0,202.0,188.9,222.4,209.9,33.0,4.0,,1993
Reggie Brooks,WAS,RB,22.0,16.0,11.0,0.0,0.0,0.0,0.0,0.0,223.0,1063.0,4.77,3.0,35.0,21.0,186.0,8.86,0.0,4.0,,3.0,0.0,0.0,143.0,159.9,167.9,149.4,29.0,18.0,,1993
