Player,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,TD,Int,Att.1,Yds.1,Y/A,TD.1,Rec,Yds.2,Y/R,TD.2,Fmb,FL,TD.3,2PM,2PP,FantPt,PPR,DKPt,FDPt,VBD,PosRank,Unnamed: 32,Year,Tgt
Dalton Hilliard*,NOR,RB,25.0,16.0,16.0,1.0,1.0,35.0,1.0,0.0,344.0,1262.0,3.67,13.0,52.0,514.0,9.88,5.0,7.0,,18.0,0.0,0.0,291.0,336.0,345.5,310.0,171.0,1.0,,1989,0.0
Jerry Rice *+,SFO,WR,27.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,5.0,33.0,6.6,0.0,82.0,1483.0,18.09,17.0,0.0,,17.0,0.0,0.0,254.0,335.6,338.6,294.6,146.0,1.0,,1989,0.0
Thurman Thomas*,BUF,RB,23.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,298.0,1244.0,4.17,6.0,60.0,669.0,11.15,6.0,7.0,,12.0,0.0,0.0,263.0,316.3,325.8,286.3,143.0,2.0,,1989,0.0
Neal Anderson *,CHI,RB,25.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,274.0,1275.0,4.65,11.0,50.0,434.0,8.68,4.0,5.0,,15.0,0.0,0.0,261.0,305.9,314.4,280.9,141.0,3.0,,1989,0.0
Barry Sanders *+,DET,RB,21.0,15.0,13.0,0.0,0.0,0.0,0.0,0.0,280.0,1470.0,5.25,14.0,24.0,282.0,11.75,0.0,10.0,,14.0,0.0,0.0,259.0,273.2,284.2,261.2,139.0,4.0,,1989,0.0
Don Majkowski*,GNB,QB,25.0,16.0,16.0,353.0,599.0,4318.0,27.0,20.0,75.0,358.0,4.77,5.0,0.0,0.0,0.0,0.0,15.0,,5.0,0.0,0.0,307.0,291.5,325.0,311.5,114.0,1.0,,1989,0.0
Sterling Sharpe*+,GNB,WR,24.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,2.0,25.0,12.5,0.0,90.0,1423.0,15.81,12.0,1.0,,13.0,0.0,0.0,217.0,311.8,315.3,266.8,109.0,2.0,,1989,0.0
Christian Okoye*+,KAN,RB,28.0,15.0,14.0,0.0,0.0,0.0,0.0,0.0,370.0,1480.0,4.0,12.0,2.0,12.0,6.0,0.0,8.0,,12.0,0.0,0.0,221.0,215.2,222.2,214.2,101.0,5.0,,1989,0.0
Ottis Anderson,NYG,RB,32.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,325.0,1023.0,3.15,14.0,28.0,268.0,9.57,0.0,2.0,,14.0,0.0,0.0,213.0,239.1,246.1,225.1,93.0,6.0,,1989,0.0
Greg Bell,RAM,RB,27.0,16.0,15.0,0.0,0.0,0.0,0.0,0.0,272.0,1137.0,4.18,15.0,19.0,85.0,4.47,0.0,7.0,,15.0,0.0,0.0,212.0,224.2,230.7,214.7,92.0,7.0,,1989,0.0
Mark Carrier*,TAM,WR,24.0,16.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.0,1422.0,16.53,9.0,1.0,,9.0,0.0,0.0,196.0,281.2,284.7,238.2,88.0,3.0,,1989,0.0
James Brooks*,CIN,RB,31.0,16.0,14.0,0.0,0.0,0.0,0.0,0.0,221.0,1239.0,5.61,7.0,37.0,306.0,8.27,2.0,9.0,,9.0,0.0,0.0,209.0,236.5,247.0,218.0,88.0,8.0,,1989,0.0
Randall Cunningham*,PHI,QB,26.0,16.0,16.0,290.0,532.0,3400.0,21.0,15.0,104.0,621.0,5.97,4.0,0.0,0.0,0.0,0.0,17.0,,4.0,0.0,0.0,276.0,259.1,288.6,274.1,84.0,2.0,,1989,0.0
