,Player,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,Y/A,TD,Rec,Yds,Y/R,TD,Fmb,FL,TD,2PM,2PP,FantPt,PPR,DKPt,FDPt,VBD,PosRank,OvRank,
38,Haskel Stanback,ATL,RB,25,14,14,0,0,0,0,0,247,873,3.53,6,30,261,8.70,0,8,,6,,,149,171.4,181.4,156.4,35,13,37,
39,James Scott,CHI,WR,25,14,14,0,0,0,0,0,0,0,,0,50,809,16.18,3,1,,3,,,99,147.9,151.4,122.9,35,13,38,
40,Bob Chandler,BUF,WR,28,14,14,0,0,0,0,0,0,0,,0,60,745,12.42,4,0,,4,,,99,158.5,161.5,128.5,34,14,39,
41,Chuck Muncie,NOR,RB,24,14,11,0,0,0,0,0,201,811,4.03,6,21,248,11.81,1,3,,7,,,148,165.9,173.4,155.4,33,14,40,
42,Wesley Walker,NYJ,WR,22,14,14,0,0,0,0,0,3,25,8.33,0,35,740,21.14,3,2,,3,,,95,127.5,131.5,110.0,30,15,41,
43,Gene Washington,SFO,WR,30,14,14,0,0,0,0,0,0,0,,0,32,638,19.94,5,0,,5,,,94,125.8,128.8,109.8,29,16,42,
44,Alfred Jenkins,ATL,WR,25,14,14,0,0,0,0,0,2,7,3.50,0,39,677,17.36,4,2,,4,,,92,129.4,133.4,109.9,27,17,43,
45,Wayne Morris,STL,RB,23,12,7,0,0,0,0,0,165,661,4.01,8,24,222,9.25,1,5,,9,,,142,161.3,169.8,149.3,27,15,44,
46,Jerome Barkum,NYJ,TE,27,14,14,0,0,0,0,0,0,0,,0,26,450,17.31,6,0,,6,,,81,107.0,110.0,94.0,27,5,45,
47,Charlie Joiner,SDG,WR,30,14,14,0,0,0,0,0,0,0,,0,35,542,15.49,6,1,,6,,,90,124.2,127.7,106.7,25,18,46,
48,Duriel Harris,MIA,WR,23,14,4,0,0,0,0,0,0,0,,0,34,601,17.68,5,0,,5,,,90,124.1,127.1,107.1,25,19,47,
49,Cliff Branch *,OAK,WR,29,13,13,0,0,0,0,0,0,0,,0,33,540,16.36,6,0,,6,,,90,123.0,126.0,106.5,24,20,48,
50,Reuben Gant,BUF,TE,25,14,1,0,0,0,0,0,0,0,,0,41,646,15.76,2,0,,2,,,77,117.6,120.6,97.1,22,6,49,
51,Wilbur Jackson,SFO,RB,26,14,14,0,0,0,0,0,179,780,4.36,7,22,169,7.68,0,3,,7,,,137,155.9,163.4,144.9,21,16,50,
52,Mike Thomas,WAS,RB,24,13,13,0,0,0,0,0,228,806,3.54,3,28,245,8.75,2,10,,5,,,135,153.1,164.1,139.1,19,17,51,
53,Raymond Chester,BAL,TE,29,14,14,0,0,0,0,0,0,0,,0,31,556,17.94,3,1,,3,,,74,103.6,107.1,88.1,18,7,52,
54,Cleo Miller,CLE,RB,25,14,14,0,0,0,0,0,163,756,4.64,4,41,291,7.10,1,5,,5,,,135,170.7,179.2,150.2,18,18,53,
55,Ken Anderson,CIN,QB,28,14,13,166,323,2145,11,11,26,128,4.92,2,0,0,,0,5,,2,,,133,127.6,147.1,138.6,18,9,54,
56,Morris Owens,TAM,WR,24,14,14,0,0,0,0,0,2,-2,-1.00,0,34,655,19.26,3,1,,3,,,83,116.3,119.8,99.3,17,21,55,
57,Keith Krepfle,PHI,TE,25,14,14,0,0,0,0,0,0,0,,0,27,530,19.63,3,1,,3,,,71,97.0,100.5,83.5,15,8,56,
58,Clark Gaines,NYJ,RB,23,14,13,0,0,0,0,0,158,595,3.77,3,55,469,8.53,1,3,,4,,,130,182.4,189.9,154.9,13,19,57,
59,Ahmad Rashad,MIN,WR,28,14,14,0,0,0,0,0,0,0,,0,51,681,13.35,2,2,,2,,,80,129.1,133.1,103.6,13,22,58,
60,Ken Stabler *,OAK,QB,32,13,13,169,294,2176,20,20,3,-3,-1.00,0,0,0,,0,3,,0,,,127,123.7,148.2,143.7,12,10,59,
61,Rk,Player,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,Y/A,TD,Rec,Yds,Y/R,TD,Fmb,FL,TD,2PM,2PP,FantPt,PPR,DKPt,FDPt,VBD,PosRank,OvRank
62,Haven Moses,DEN,WR,31,14,14,0,0,0,0,0,5,-1,-0.20,0,27,539,19.96,4,1,,4,,,78,103.8,107.3,90.3,11,23,60,
63,Fred Biletnikoff,OAK,WR,34,14,14,0,0,0,0,0,0,0,,0,33,446,13.52,5,1,,5,,,75,106.6,110.1,90.1,7,24,61,
64,Archie Manning,NOR,QB,28,10,9,113,205,1284,8,9,39,270,6.92,5,0,0,,0,5,,5,,,122,117.4,134.9,126.4,7,11,62,
65,Steve Odom,GNB,WR,25,14,10,0,0,0,0,0,1,6,6.00,0,27,549,20.33,3,0,,3,,,74,100.5,103.5,87.0,6,25,63,
66,Ike Harris,STL,WR,25,14,14,0,0,0,0,0,0,0,,0,40,547,13.68,3,0,,3,,,73,112.7,115.7,92.7,5,26,64,
67,Terry Nelson,RAM,TE,26,14,14,0,0,0,0,0,3,31,10.33,0,31,401,12.94,3,2,,3,,,61,90.2,94.2,74.7,4,9,65,
68,Riley Odoms,DEN,TE,27,14,14,0,0,0,0,0,0,0,,0,37,429,11.59,3,1,,3,,,61,96.9,100.4,78.4,4,10,66,
69,Charlie Smith,PHI,WR,27,14,14,0,0,0,0,0,2,13,6.50,0,33,464,14.06,4,1,,4,,,72,103.7,107.2,87.2,4,27,67,
70,Clarence Davis,OAK,RB,28,14,14,0,0,0,0,0,194,787,4.06,5,16,124,7.75,0,0,,5,,,121,137.1,143.1,129.1,3,20,68,
