Player,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,TD,Int,Att.1,Yds.1,Y/A,TD.1,Tgt,Rec,Yds.2,Y/R,TD.2,Fmb,FL,TD.3,2PM,2PP,FantPt,PPR,DKPt,FDPt,VBD,PosRank,Unnamed: 33,Year
Shaun Alexander *,SEA,RB,27.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,353.0,1696.0,4.8,16.0,38.0,23.0,170.0,7.39,4.0,5.0,3.0,20.0,0.0,0.0,307.0,323.6,332.6,312.1,149.0,1.0,,2004
Daunte Culpepper*,MIN,QB,27.0,16.0,16.0,379.0,548.0,4717.0,39.0,11.0,88.0,406.0,4.61,2.0,0.0,0.0,0.0,0.0,0.0,9.0,5.0,2.0,1.0,2.0,381.0,371.3,393.3,382.3,149.0,1.0,,2004
Tiki Barber*,NYG,RB,29.0,16.0,14.0,0.0,0.0,0.0,0.0,0.0,322.0,1518.0,4.71,13.0,79.0,52.0,578.0,11.12,2.0,5.0,2.0,15.0,0.0,0.0,300.0,347.6,355.6,321.6,142.0,2.0,,2004
LaDainian Tomlinson*+,SDG,RB,25.0,15.0,15.0,1.0,2.0,38.0,0.0,0.0,339.0,1335.0,3.94,17.0,66.0,53.0,441.0,8.32,1.0,6.0,2.0,18.0,0.0,0.0,287.0,336.1,344.1,309.6,130.0,3.0,,2004
Peyton Manning*+,IND,QB,28.0,16.0,16.0,336.0,497.0,4557.0,49.0,10.0,25.0,38.0,1.52,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,362.0,360.1,374.1,370.1,129.0,2.0,,2004
Curtis Martin *+,NYJ,RB,31.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,371.0,1697.0,4.57,12.0,49.0,41.0,245.0,5.98,2.0,2.0,,14.0,0.0,0.0,278.0,319.2,325.2,298.7,121.0,4.0,,2004
Muhsin Muhammad*+,CAR,WR,31.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,3.0,15.0,5.0,0.0,160.0,93.0,1405.0,15.11,16.0,3.0,1.0,16.0,0.0,0.0,238.0,329.0,333.0,282.5,111.0,1.0,,2004
Antonio Gates*+,SDG,TE,24.0,15.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,114.0,81.0,964.0,11.9,13.0,0.0,,13.0,0.0,0.0,174.0,255.4,258.4,214.9,107.0,1.0,,2004
Domanick Williams,HOU,RB,24.0,15.0,15.0,0.0,0.0,0.0,0.0,0.0,302.0,1188.0,3.93,13.0,84.0,68.0,588.0,8.65,1.0,4.0,3.0,14.0,0.0,0.0,262.0,323.6,332.6,289.6,104.0,5.0,,2004
Edgerrin James*,IND,RB,26.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,334.0,1548.0,4.63,9.0,60.0,51.0,483.0,9.47,0.0,6.0,2.0,9.0,1.0,0.0,259.0,306.1,314.1,280.6,102.0,6.0,,2004
Tony Gonzalez*,KAN,TE,28.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,5.0,0.0,148.0,102.0,1258.0,12.33,7.0,0.0,,7.0,0.0,0.0,168.0,270.3,273.3,219.3,101.0,2.0,,2004
Corey Dillon*,NWE,RB,30.0,15.0,14.0,0.0,0.0,0.0,0.0,0.0,345.0,1635.0,4.74,12.0,21.0,15.0,103.0,6.87,1.0,5.0,4.0,13.0,1.0,0.0,252.0,260.8,270.8,253.3,94.0,7.0,,2004
Javon Walker*,GNB,WR,26.0,16.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,144.0,89.0,1382.0,15.53,12.0,2.0,2.0,12.0,0.0,0.0,210.0,295.2,300.2,250.7,83.0,2.0,,2004
Joe Horn*,NOR,WR,32.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,153.0,94.0,1399.0,14.88,11.0,0.0,,11.0,1.0,0.0,208.0,301.9,304.9,254.9,81.0,3.0,,2004
Terrell Owens*+,PHI,WR,31.0,14.0,14.0,0.0,0.0,0.0,0.0,0.0,3.0,-5.0,-1.67,0.0,127.0,77.0,1200.0,15.58,14.0,2.0,1.0,14.0,0.0,0.0,204.0,278.5,282.5,240.0,76.0,4.0,,2004
Marvin Harrison*,IND,WR,32.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,139.0,86.0,1113.0,12.94,15.0,1.0,1.0,15.0,0.0,0.0,201.0,285.3,289.3,242.3,74.0,5.0,,2004
Donovan McNabb*,PHI,QB,28.0,15.0,15.0,300.0,469.0,3875.0,31.0,8.0,41.0,220.0,5.37,3.0,0.0,0.0,0.0,0.0,0.0,8.0,6.0,3.0,0.0,0.0,303.0,291.0,311.0,299.0,70.0,3.0,,2004
Torry Holt*,STL,WR,28.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,135.0,94.0,1372.0,14.6,10.0,3.0,,10.0,0.0,0.0,197.0,291.2,294.2,244.2,70.0,6.0,,2004
Drew Bennett,TEN,WR,26.0,16.0,16.0,1.0,1.0,26.0,1.0,0.0,1.0,12.0,12.0,0.0,144.0,80.0,1247.0,15.59,11.0,3.0,,11.0,0.0,0.0,197.0,276.9,279.9,236.9,70.0,7.0,,2004
Rudi Johnson*,CIN,RB,25.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,361.0,1454.0,4.03,12.0,28.0,15.0,84.0,5.6,0.0,4.0,4.0,12.0,0.0,0.0,226.0,232.8,239.8,225.3,68.0,8.0,,2004
Jason Witten*,DAL,TE,22.0,16.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,122.0,87.0,980.0,11.26,6.0,2.0,1.0,6.0,1.0,0.0,136.0,221.0,225.0,177.5,68.0,3.0,,2004
Reggie Wayne,IND,WR,26.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,1.0,-4.0,-4.0,0.0,115.0,77.0,1210.0,15.71,12.0,0.0,,12.0,0.0,0.0,193.0,269.6,272.6,231.1,65.0,8.0,,2004
Chad Johnson *,CIN,WR,26.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,4.0,39.0,9.75,0.0,170.0,95.0,1274.0,13.41,9.0,1.0,,9.0,0.0,0.0,185.0,280.3,283.3,232.8,58.0,9.0,,2004
Willis McGahee,BUF,RB,23.0,16.0,11.0,0.0,0.0,0.0,0.0,0.0,284.0,1128.0,3.97,13.0,36.0,22.0,169.0,7.68,0.0,4.0,2.0,13.0,0.0,0.0,208.0,225.7,233.7,214.7,50.0,9.0,,2004
Donald Driver,GNB,WR,29.0,16.0,11.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,1.33,0.0,137.0,84.0,1208.0,14.38,9.0,2.0,2.0,9.0,1.0,0.0,177.0,257.2,262.2,215.2,50.0,10.0,,2004
