Player,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,TD,Int,Att.1,Yds.1,Y/A,TD.1,Rec,Yds.2,Y/R,TD.2,Fmb,FL,TD.3,2PM,2PP,FantPt,PPR,DKPt,FDPt,VBD,PosRank,Unnamed: 32,Year,Tgt
Randall Cunningham*,PHI,QB,27.0,16.0,16.0,271.0,465.0,3466.0,30.0,13.0,118.0,942.0,7.98,5.0,0.0,0.0,0.0,0.0,9.0,,5.0,0.0,0.0,357.0,347.8,371.3,360.8,177.0,1.0,,1990,0.0
Warren Moon*,HOU,QB,34.0,15.0,15.0,362.0,584.0,4689.0,33.0,13.0,55.0,215.0,3.91,2.0,0.0,0.0,0.0,0.0,18.0,,2.0,0.0,0.0,327.0,309.1,337.1,322.1,147.0,2.0,,1990,0.0
Barry Sanders *+,DET,RB,22.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,255.0,1304.0,5.11,13.0,36.0,480.0,13.33,3.0,4.0,,16.0,0.0,0.0,274.0,306.4,314.4,288.4,146.0,1.0,,1990,0.0
Thurman Thomas*+,BUF,RB,24.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,271.0,1297.0,4.79,11.0,49.0,532.0,10.86,2.0,6.0,,13.0,0.0,0.0,261.0,303.9,312.9,279.4,133.0,2.0,,1990,0.0
Jerry Rice *+,SFO,WR,28.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,100.0,1502.0,15.02,13.0,1.0,,13.0,0.0,0.0,228.0,327.2,330.7,277.2,119.0,1.0,,1990,0.0
Neal Anderson *,CHI,RB,26.0,15.0,14.0,0.0,0.0,0.0,0.0,0.0,260.0,1078.0,4.15,10.0,42.0,484.0,11.52,3.0,2.0,,13.0,0.0,0.0,234.0,274.2,281.2,253.2,106.0,3.0,,1990,0.0
Joe Montana*+,SFO,QB,34.0,15.0,15.0,321.0,520.0,3944.0,26.0,16.0,40.0,162.0,4.05,1.0,0.0,0.0,0.0,0.0,4.0,,1.0,0.0,0.0,252.0,248.0,272.0,264.0,72.0,3.0,,1990,0.0
Andre Rison*+,ATL,WR,23.0,16.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.0,1208.0,14.73,10.0,2.0,,10.0,0.0,0.0,181.0,260.8,264.8,219.8,72.0,2.0,,1990,0.0
Earnest Byner*,WAS,RB,28.0,16.0,16.0,1.0,2.0,31.0,1.0,0.0,297.0,1219.0,4.1,6.0,31.0,279.0,9.0,1.0,2.0,,7.0,0.0,0.0,197.0,226.0,233.0,210.5,69.0,4.0,,1990,0.0
Derrick Fenner,SEA,RB,23.0,16.0,15.0,0.0,0.0,0.0,0.0,0.0,215.0,859.0,4.0,14.0,17.0,143.0,8.41,1.0,3.0,,15.0,0.0,0.0,190.0,204.2,211.7,195.7,62.0,5.0,,1990,0.0
Cleveland Gary,RAM,RB,24.0,15.0,7.0,0.0,0.0,0.0,0.0,0.0,204.0,808.0,3.96,14.0,30.0,150.0,5.0,1.0,12.0,,15.0,0.0,0.0,186.0,203.8,215.8,188.8,58.0,6.0,,1990,0.0
Emmitt Smith*,DAL,RB,21.0,16.0,15.0,0.0,0.0,0.0,0.0,0.0,241.0,937.0,3.89,11.0,24.0,228.0,9.5,0.0,7.0,,11.0,0.0,0.0,183.0,199.5,209.0,187.5,54.0,7.0,,1990,0.0
Marion Butts*,SDG,RB,24.0,14.0,13.0,0.0,0.0,0.0,0.0,0.0,265.0,1225.0,4.62,8.0,16.0,117.0,7.31,0.0,0.0,,8.0,0.0,0.0,182.0,198.2,204.2,190.2,54.0,8.0,,1990,0.0
James Brooks*,CIN,RB,32.0,16.0,15.0,0.0,0.0,0.0,0.0,0.0,195.0,1004.0,5.15,5.0,26.0,269.0,10.35,4.0,3.0,,9.0,0.0,0.0,181.0,204.3,211.8,191.3,53.0,9.0,,1990,0.0
Lorenzo White,HOU,RB,24.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,168.0,702.0,4.18,8.0,39.0,368.0,9.44,4.0,7.0,,12.0,0.0,0.0,179.0,211.0,220.5,191.5,51.0,10.0,,1990,0.0
