Player,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,TD,Int,Att.1,Yds.1,Y/A,TD.1,Rec,Yds.2,Y/R,TD.2,Fmb,FL,TD.3,2PM,2PP,FantPt,PPR,DKPt,FDPt,VBD,PosRank,Unnamed: 32,Year,Tgt
O.J. Simpson*+,BUF,RB,28.0,14.0,14.0,0.0,0.0,0.0,0.0,0.0,329.0,1817.0,5.52,16.0,28.0,426.0,15.21,7.0,7.0,,23.0,0.0,0.0,362.0,383.3,392.8,369.3,282.0,1.0,,1975,0.0
Chuck Foreman*+,MIN,RB,25.0,14.0,12.0,0.0,0.0,0.0,0.0,0.0,280.0,1070.0,3.82,13.0,73.0,691.0,9.47,9.0,12.0,,22.0,0.0,0.0,308.0,369.1,381.1,332.6,220.0,2.0,,1975,0.0
Lydell Mitchell *,BAL,RB,26.0,14.0,14.0,0.0,0.0,0.0,0.0,0.0,289.0,1193.0,4.13,11.0,60.0,544.0,9.07,4.0,5.0,,15.0,0.0,0.0,264.0,318.7,327.2,288.7,169.0,3.0,,1975,0.0
Ken Anderson *,CIN,QB,26.0,13.0,13.0,228.0,377.0,3169.0,21.0,11.0,49.0,188.0,3.84,2.0,0.0,0.0,0.0,0.0,4.0,,2.0,0.0,0.0,220.0,215.6,234.6,226.6,121.0,1.0,,1975,0.0
Fran Tarkenton*+,MIN,QB,35.0,14.0,14.0,273.0,425.0,2994.0,25.0,13.0,16.0,108.0,6.75,2.0,0.0,0.0,0.0,0.0,1.0,,2.0,0.0,0.0,217.0,215.6,235.1,228.6,118.0,2.0,,1975,0.0
Franco Harris*,PIT,RB,25.0,14.0,14.0,0.0,0.0,0.0,0.0,0.0,262.0,1246.0,4.76,10.0,28.0,214.0,7.64,1.0,9.0,,11.0,0.0,0.0,212.0,231.0,241.5,217.0,110.0,4.0,,1975,0.0
Bert Jones,BAL,QB,24.0,14.0,14.0,203.0,344.0,2483.0,18.0,8.0,47.0,321.0,6.83,3.0,0.0,0.0,0.0,0.0,1.0,,3.0,0.0,0.0,205.0,204.4,218.9,212.4,105.0,3.0,,1975,0.0
Mel Gray*+,STL,WR,27.0,14.0,14.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,6.0,0.0,48.0,926.0,19.29,11.0,1.0,,11.0,0.0,0.0,159.0,206.2,209.7,182.2,100.0,1.0,,1975,0.0
Roger Staubach*,DAL,QB,33.0,13.0,13.0,198.0,348.0,2666.0,17.0,16.0,55.0,316.0,5.75,4.0,0.0,0.0,0.0,0.0,5.0,,4.0,0.0,0.0,198.0,193.2,217.7,209.2,97.0,4.0,,1975,0.0
Ken Burrough*,HOU,WR,27.0,14.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,1063.0,20.06,8.0,1.0,,8.0,0.0,0.0,154.0,206.3,209.8,179.8,95.0,2.0,,1975,0.0
Terry Metcalf*,STL,RB,24.0,13.0,13.0,1.0,2.0,51.0,1.0,0.0,165.0,816.0,4.95,9.0,43.0,378.0,8.79,2.0,8.0,,13.0,0.0,0.0,191.0,238.4,248.4,216.9,87.0,5.0,,1975,0.0
John Riggins*,NYJ,RB,26.0,14.0,14.0,0.0,0.0,0.0,0.0,0.0,238.0,1005.0,4.22,8.0,30.0,363.0,12.1,1.0,5.0,,9.0,0.0,0.0,191.0,215.8,224.3,200.8,86.0,6.0,,1975,0.0
Greg Pruitt,CLE,RB,24.0,14.0,14.0,0.0,0.0,0.0,0.0,0.0,217.0,1067.0,4.92,8.0,44.0,299.0,6.8,1.0,10.0,,9.0,0.0,0.0,191.0,224.6,235.6,202.6,86.0,7.0,,1975,0.0
Lynn Swann*,PIT,WR,23.0,14.0,12.0,0.0,0.0,0.0,0.0,0.0,3.0,13.0,4.33,0.0,49.0,781.0,15.94,11.0,4.0,,11.0,0.0,0.0,145.0,190.4,195.4,165.9,84.0,3.0,,1975,0.0
Cliff Branch *+,OAK,WR,27.0,14.0,14.0,0.0,0.0,0.0,0.0,0.0,2.0,18.0,9.0,0.0,51.0,893.0,17.51,9.0,0.0,,9.0,0.0,0.0,145.0,196.1,199.1,170.6,84.0,4.0,,1975,0.0
Jim Braxton,BUF,RB,26.0,14.0,14.0,0.0,0.0,0.0,0.0,0.0,186.0,823.0,4.42,9.0,26.0,282.0,10.85,4.0,7.0,,13.0,0.0,0.0,189.0,207.5,217.0,194.5,83.0,8.0,,1975,0.0
Mike Thomas,WAS,RB,22.0,14.0,10.0,0.0,0.0,0.0,0.0,0.0,235.0,919.0,3.91,4.0,40.0,483.0,12.08,3.0,9.0,,7.0,0.0,0.0,182.0,213.2,223.7,193.2,76.0,9.0,,1975,0.0
Joe Ferguson,BUF,QB,25.0,14.0,14.0,169.0,321.0,2426.0,25.0,17.0,23.0,82.0,3.57,1.0,0.0,0.0,0.0,0.0,4.0,,1.0,0.0,0.0,177.0,173.2,195.2,190.2,73.0,5.0,,1975,0.0
Isaac Curtis*,CIN,WR,25.0,14.0,14.0,0.0,0.0,0.0,0.0,0.0,6.0,-9.0,-1.5,0.0,44.0,934.0,21.23,7.0,1.0,,7.0,0.0,0.0,135.0,177.5,181.0,155.5,72.0,5.0,,1975,0.0
Terry Bradshaw*,PIT,QB,27.0,14.0,14.0,165.0,286.0,2055.0,18.0,9.0,35.0,210.0,6.0,3.0,0.0,0.0,0.0,0.0,6.0,,3.0,0.0,0.0,175.0,169.2,187.2,178.2,70.0,6.0,,1975,0.0
Drew Pearson,DAL,WR,24.0,14.0,14.0,0.0,0.0,0.0,0.0,0.0,1.0,11.0,11.0,0.0,46.0,822.0,17.87,8.0,1.0,,8.0,0.0,0.0,131.0,176.3,179.8,153.3,68.0,6.0,,1975,0.0
Frank Grant,WAS,WR,25.0,14.0,9.0,0.0,0.0,0.0,0.0,0.0,3.0,46.0,15.33,0.0,41.0,776.0,18.93,8.0,2.0,,8.0,0.0,0.0,130.0,169.2,173.2,148.7,67.0,7.0,,1975,0.0
