Player,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,TD,Int,Att.1,Yds.1,Y/A,TD.1,Rec,Yds.2,Y/R,TD.2,Fmb,FL,TD.3,2PM,2PP,FantPt,PPR,DKPt,FDPt,VBD,PosRank,Unnamed: 32,Year,Tgt
Eric Dickerson*+,IND,RB,28.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,388.0,1659.0,4.28,14.0,36.0,377.0,10.47,1.0,5.0,,15.0,0.0,0.0,294.0,324.6,333.1,306.6,154.0,1.0,,1988,0.0
Randall Cunningham*,PHI,QB,25.0,16.0,16.0,301.0,560.0,3808.0,24.0,16.0,93.0,624.0,6.71,6.0,0.0,0.0,0.0,0.0,12.0,,6.0,0.0,0.0,315.0,302.7,330.7,318.7,136.0,1.0,,1988,0.0
Roger Craig*+,SFO,RB,28.0,16.0,15.0,0.0,0.0,0.0,0.0,0.0,310.0,1502.0,4.85,9.0,76.0,534.0,7.03,1.0,8.0,,10.0,0.0,0.0,264.0,331.6,341.6,293.6,124.0,2.0,,1988,0.0
Herschel Walker*,DAL,RB,26.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,361.0,1514.0,4.19,5.0,53.0,505.0,9.53,2.0,6.0,,7.0,0.0,0.0,244.0,290.9,299.9,264.4,104.0,3.0,,1988,0.0
Greg Bell,RAM,RB,26.0,16.0,13.0,0.0,0.0,0.0,0.0,0.0,288.0,1212.0,4.21,16.0,24.0,124.0,5.17,2.0,6.0,,18.0,0.0,0.0,242.0,259.6,268.6,247.6,102.0,4.0,,1988,0.0
Henry Ellard*+,RAM,WR,27.0,16.0,15.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,7.0,0.0,86.0,1414.0,16.44,10.0,3.0,,10.0,0.0,0.0,202.0,285.1,289.6,242.1,94.0,1.0,,1988,0.0
Jerry Rice *+,SFO,WR,26.0,16.0,16.0,1.0,3.0,14.0,0.0,1.0,13.0,107.0,8.23,1.0,64.0,1306.0,20.41,9.0,2.0,,10.0,0.0,0.0,200.0,261.9,269.9,230.9,91.0,2.0,,1988,0.0
Mark Clayton*,MIA,WR,27.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,4.0,0.0,86.0,1129.0,13.13,14.0,0.0,,14.0,0.0,0.0,197.0,283.3,286.3,240.3,89.0,3.0,,1988,0.0
Neal Anderson *,CHI,RB,24.0,16.0,16.0,0.0,1.0,0.0,0.0,0.0,249.0,1106.0,4.44,12.0,39.0,371.0,9.51,0.0,8.0,,12.0,0.0,0.0,220.0,250.7,260.7,231.2,80.0,5.0,,1988,0.0
Ricky Sanders,WAS,WR,28.0,16.0,4.0,0.0,0.0,0.0,0.0,0.0,2.0,14.0,7.0,0.0,73.0,1148.0,15.73,12.0,0.0,,12.0,0.0,0.0,188.0,261.2,264.2,224.7,80.0,4.0,,1988,0.0
Boomer Esiason*+,CIN,QB,27.0,16.0,16.0,223.0,388.0,3572.0,28.0,14.0,43.0,248.0,5.77,1.0,0.0,0.0,0.0,0.0,5.0,,1.0,0.0,0.0,258.0,252.7,275.2,266.7,79.0,2.0,,1988,0.0
Jim Everett,RAM,QB,25.0,16.0,16.0,308.0,517.0,3964.0,31.0,18.0,34.0,104.0,3.06,0.0,0.0,0.0,0.0,0.0,7.0,,0.0,0.0,0.0,257.0,250.0,277.5,268.0,79.0,3.0,,1988,0.0
Ickey Woods,CIN,RB,22.0,16.0,10.0,0.0,0.0,0.0,0.0,0.0,203.0,1066.0,5.25,15.0,21.0,199.0,9.48,0.0,8.0,,15.0,0.0,0.0,217.0,229.5,239.5,219.0,77.0,6.0,,1988,0.0
Eddie Brown*,CIN,WR,26.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,1.0,-5.0,-5.0,0.0,53.0,1273.0,24.02,9.0,1.0,,9.0,0.0,0.0,181.0,232.8,236.3,206.3,72.0,5.0,,1988,0.0
John Settle*,ATL,RB,23.0,16.0,13.0,0.0,0.0,0.0,0.0,0.0,232.0,1024.0,4.41,7.0,68.0,570.0,8.38,1.0,3.0,,8.0,0.0,0.0,207.0,272.4,279.9,238.4,68.0,7.0,,1988,0.0
Keith Jackson *+,PHI,TE,23.0,16.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.0,869.0,10.73,6.0,3.0,,6.0,0.0,0.0,123.0,200.9,205.4,160.4,67.0,1.0,,1988,0.0
James Brooks*,CIN,RB,30.0,15.0,15.0,0.0,0.0,0.0,0.0,0.0,182.0,931.0,5.12,8.0,29.0,287.0,9.9,6.0,1.0,,14.0,0.0,0.0,206.0,233.8,240.3,219.3,66.0,8.0,,1988,0.0
Drew Hill*,HOU,WR,32.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.0,1141.0,15.85,10.0,0.0,,10.0,0.0,0.0,174.0,246.1,249.1,210.1,66.0,6.0,,1988,0.0
Dan Marino,MIA,QB,27.0,16.0,16.0,354.0,606.0,4434.0,28.0,23.0,20.0,-17.0,-0.85,0.0,0.0,0.0,0.0,0.0,10.0,,0.0,0.0,0.0,242.0,231.7,262.7,254.7,63.0,4.0,,1988,0.0
John Williams,SEA,RB,24.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,189.0,877.0,4.64,4.0,58.0,651.0,11.22,3.0,0.0,,7.0,0.0,0.0,195.0,252.8,258.8,223.8,55.0,9.0,,1988,0.0
Mickey Shuler*,NYJ,TE,32.0,15.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,805.0,11.5,5.0,1.0,,5.0,0.0,0.0,111.0,179.5,183.0,144.5,55.0,2.0,,1988,0.0
Anthony Carter *,MIN,WR,28.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,4.0,41.0,10.25,0.0,72.0,1225.0,17.01,6.0,1.0,,6.0,0.0,0.0,163.0,233.6,237.1,197.6,54.0,7.0,,1988,0.0
