Player,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,TD,Int,Att.1,Yds.1,Y/A,TD.1,Tgt,Rec,Yds.2,Y/R,TD.2,Fmb,FL,TD.3,2PM,2PP,FantPt,PPR,DKPt,FDPt,VBD,PosRank,Unnamed: 33,Year
John Avery,MIA,RB,22.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,143.0,503.0,3.52,2.0,15.0,10.0,67.0,6.7,1.0,5.0,2.0,3.0,0.0,0.0,75.0,81.0,86.0,76.0,0.0,41.0,,1998
June Henley,STL,RB,23.0,11.0,3.0,0.0,0.0,0.0,0.0,0.0,88.0,313.0,3.56,3.0,45.0,35.0,252.0,7.2,0.0,1.0,1.0,3.0,0.0,0.0,75.0,107.5,114.5,90.0,0.0,42.0,,1998
Craig Whelihan,SDG,QB,27.0,10.0,7.0,149.0,320.0,1803.0,8.0,19.0,18.0,38.0,2.11,0.0,0.0,0.0,0.0,0.0,0.0,9.0,3.0,0.0,1.0,1.0,74.0,67.9,92.9,86.9,0.0,34.0,,1998
Charlie Garner,PHI,RB,26.0,10.0,3.0,0.0,0.0,0.0,0.0,0.0,96.0,381.0,3.97,4.0,25.0,19.0,110.0,5.79,0.0,1.0,1.0,4.0,0.0,0.0,73.0,90.1,97.1,80.6,0.0,43.0,,1998
Ernie Mills,DAL,WR,30.0,11.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,9.0,3.0,0.0,41.0,28.0,479.0,17.11,4.0,0.0,,4.0,0.0,0.0,73.0,100.8,103.8,86.8,0.0,55.0,,1998
Bryan Still,SDG,WR,24.0,14.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.0,43.0,605.0,14.07,2.0,0.0,,2.0,0.0,0.0,73.0,115.5,118.5,94.0,0.0,56.0,,1998
Irving Fryar,PHI,WR,36.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,3.0,46.0,15.33,0.0,112.0,48.0,556.0,11.58,2.0,0.0,,2.0,0.0,0.0,72.0,120.2,123.2,96.2,0.0,58.0,,1998
Jeff Graham,PHI,WR,29.0,15.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.0,47.0,600.0,12.77,2.0,0.0,,2.0,0.0,0.0,72.0,119.0,122.0,95.5,0.0,59.0,,1998
Jon Kitna,SEA,QB,26.0,6.0,5.0,98.0,172.0,1177.0,7.0,8.0,20.0,67.0,3.35,1.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,1.0,0.0,0.0,72.0,69.8,81.8,77.8,0.0,35.0,,1998
Dedric Ward,NYJ,WR,24.0,16.0,4.0,0.0,0.0,0.0,0.0,0.0,2.0,7.0,3.5,0.0,59.0,25.0,477.0,19.08,4.0,0.0,,4.0,0.0,0.0,72.0,97.4,100.4,84.9,0.0,57.0,,1998
Jake Reed,MIN,WR,31.0,11.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.0,34.0,474.0,13.94,4.0,0.0,,4.0,0.0,0.0,71.0,105.4,108.4,88.4,0.0,60.0,,1998
Tiki Barber,NYG,RB,23.0,16.0,4.0,0.0,0.0,0.0,0.0,0.0,52.0,166.0,3.19,0.0,59.0,42.0,348.0,8.29,3.0,1.0,,3.0,0.0,0.0,69.0,111.4,117.4,90.4,0.0,44.0,,1998
Germane Crowell,DET,WR,22.0,14.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,35.0,35.0,0.0,48.0,25.0,464.0,18.56,3.0,1.0,1.0,3.0,0.0,0.0,68.0,90.9,94.9,78.4,0.0,61.0,,1998
Andre Hastings,NOR,WR,28.0,16.0,12.0,0.0,0.0,0.0,0.0,0.0,3.0,32.0,10.67,0.0,87.0,35.0,455.0,13.0,3.0,0.0,,3.0,0.0,0.0,67.0,101.7,104.7,84.2,0.0,63.0,,1998
Yancey Thigpen,TEN,WR,29.0,9.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.0,38.0,493.0,12.97,3.0,0.0,,3.0,0.0,0.0,67.0,105.3,108.3,86.3,0.0,62.0,,1998
Amani Toomer,NYG,WR,24.0,16.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,27.0,360.0,13.33,5.0,0.0,,5.0,0.0,0.0,66.0,93.0,96.0,79.5,0.0,64.0,,1998
Chris Warren,DAL,RB,30.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,59.0,291.0,4.93,4.0,16.0,13.0,66.0,5.08,1.0,0.0,,5.0,0.0,0.0,66.0,78.7,81.7,72.2,0.0,45.0,,1998
Chris Penn,CHI,WR,27.0,14.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.0,31.0,448.0,14.45,3.0,1.0,1.0,3.0,1.0,0.0,65.0,93.8,97.8,78.3,0.0,66.0,,1998
Jay Riemersma,BUF,TE,25.0,16.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,25.0,288.0,11.52,6.0,0.0,,6.0,0.0,0.0,65.0,89.8,92.8,77.3,0.0,13.0,,1998
Tony Simmons,NWE,WR,24.0,11.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,23.0,474.0,20.61,3.0,0.0,,3.0,0.0,0.0,65.0,88.4,91.4,76.9,0.0,65.0,,1998
Willie Davis,TEN,WR,31.0,13.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,32.0,461.0,14.41,3.0,0.0,,3.0,0.0,0.0,64.0,96.1,99.1,80.1,0.0,67.0,,1998
Jason Garrett,DAL,QB,32.0,8.0,5.0,91.0,158.0,1206.0,5.0,3.0,11.0,14.0,1.27,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,64.0,59.6,67.6,62.6,0.0,37.0,,1998
Darick Holmes,2TM,RB,27.0,14.0,4.0,0.0,0.0,0.0,0.0,0.0,95.0,394.0,4.15,1.0,24.0,20.0,188.0,9.4,0.0,1.0,,1.0,0.0,0.0,64.0,84.2,90.2,74.2,0.0,46.0,,1998
Eric Zeier,BAL,QB,26.0,10.0,4.0,107.0,181.0,1312.0,4.0,3.0,11.0,17.0,1.55,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,64.0,62.2,69.2,65.2,0.0,36.0,,1998
Aaron Craver,NOR,RB,30.0,16.0,10.0,0.0,1.0,0.0,0.0,0.0,45.0,180.0,4.0,2.0,47.0,33.0,214.0,6.48,2.0,2.0,1.0,5.0,0.0,0.0,63.0,100.4,107.4,83.9,0.0,47.0,,1998
Keith Poole,NOR,WR,24.0,15.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.0,24.0,509.0,21.21,2.0,0.0,,2.0,0.0,0.0,63.0,86.9,89.9,74.9,0.0,68.0,,1998
Stephen Alexander,WAS,TE,23.0,15.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,37.0,383.0,10.35,4.0,2.0,2.0,4.0,0.0,0.0,62.0,95.3,100.3,76.8,0.0,14.0,,1998
Kyle Brady,NYJ,TE,26.0,16.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,30.0,315.0,10.5,5.0,1.0,1.0,5.0,0.0,0.0,62.0,89.5,93.5,74.5,0.0,15.0,,1998
Terry Kirby,SFO,RB,28.0,9.0,0.0,1.0,1.0,28.0,1.0,0.0,48.0,258.0,5.38,3.0,19.0,16.0,134.0,8.38,0.0,0.0,,3.0,0.0,0.0,62.0,78.3,84.3,70.3,0.0,48.0,,1998
Robert Brooks,GNB,WR,28.0,12.0,12.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,62.0,31.0,420.0,13.55,3.0,0.0,,3.0,0.0,0.0,60.0,91.2,94.2,75.7,0.0,69.0,,1998
Dorsey Levens,GNB,RB,28.0,7.0,4.0,0.0,0.0,0.0,0.0,0.0,115.0,378.0,3.29,1.0,30.0,27.0,162.0,6.0,0.0,0.0,,1.0,0.0,0.0,60.0,87.0,93.0,73.5,0.0,50.0,,1998
Tommy Vardell,DET,RB,29.0,14.0,9.0,0.0,0.0,0.0,0.0,0.0,18.0,37.0,2.06,6.0,24.0,14.0,143.0,10.21,1.0,1.0,1.0,7.0,0.0,0.0,60.0,72.0,76.0,65.0,0.0,49.0,,1998
Marcus Pollard,IND,TE,26.0,16.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,24.0,309.0,12.88,4.0,0.0,,4.0,2.0,0.0,59.0,82.9,85.9,70.9,0.0,16.0,,1998
Albert Connell,WAS,WR,24.0,14.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,28.0,451.0,16.11,2.0,0.0,,2.0,0.0,0.0,57.0,85.1,88.1,71.1,0.0,71.0,,1998
Derrick Mayes,GNB,WR,24.0,10.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.0,30.0,394.0,13.13,3.0,1.0,1.0,3.0,0.0,0.0,57.0,85.4,89.4,70.4,0.0,70.0,,1998
Jerome Pathon,IND,WR,23.0,16.0,15.0,0.0,0.0,0.0,0.0,0.0,3.0,-2.0,-0.67,0.0,106.0,50.0,511.0,10.22,1.0,0.0,,1.0,0.0,0.0,57.0,106.9,109.9,81.9,0.0,73.0,,1998
Mikhael Ricks,SDG,WR,24.0,16.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.0,30.0,450.0,15.0,2.0,1.0,1.0,2.0,0.0,0.0,57.0,85.0,89.0,70.0,0.0,72.0,,1998
Irv Smith,SFO,TE,27.0,16.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,25.0,266.0,10.64,5.0,0.0,,5.0,0.0,0.0,57.0,81.6,84.6,69.1,0.0,17.0,,1998
Isaac Bruce,STL,WR,26.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,30.0,30.0,0.0,48.0,32.0,457.0,14.28,1.0,0.0,,1.0,0.0,0.0,55.0,86.7,89.7,70.7,0.0,74.0,,1998
Mario Bates,ARI,RB,25.0,16.0,1.0,0.0,0.0,0.0,0.0,0.0,60.0,165.0,2.75,6.0,1.0,1.0,14.0,14.0,0.0,0.0,1.0,6.0,0.0,0.0,54.0,52.9,56.9,52.4,0.0,51.0,,1998
Jeff George,OAK,QB,31.0,8.0,7.0,93.0,169.0,1186.0,4.0,5.0,8.0,2.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,7.0,3.0,0.0,0.0,0.0,54.0,47.6,58.6,52.6,0.0,38.0,,1998
Jackie Harris,TEN,TE,30.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,43.0,412.0,9.58,2.0,0.0,,2.0,0.0,0.0,53.0,96.2,99.2,74.7,0.0,18.0,,1998
Brandon Bennett,CIN,RB,25.0,14.0,1.0,0.0,0.0,0.0,0.0,0.0,77.0,243.0,3.16,2.0,12.0,8.0,153.0,19.13,0.0,1.0,,2.0,0.0,0.0,52.0,59.6,65.6,55.6,0.0,53.0,,1998
Koy Detmer,PHI,QB,25.0,8.0,5.0,97.0,181.0,1011.0,5.0,5.0,7.0,20.0,2.86,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,0.0,0.0,0.0,52.0,52.4,60.4,57.4,0.0,39.0,,1998
Curtis Enis,CHI,RB,22.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,133.0,497.0,3.74,0.0,8.0,6.0,20.0,3.33,0.0,1.0,1.0,0.0,0.0,0.0,52.0,55.7,59.7,52.7,0.0,52.0,,1998
