Player,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,TD,Int,Att.1,Yds.1,Y/A,TD.1,Tgt,Rec,Yds.2,Y/R,TD.2,Fmb,FL,TD.3,2PM,2PP,FantPt,PPR,DKPt,FDPt,VBD,PosRank,Unnamed: 33,Year
Brett Favre *+,GNB,QB,27.0,16.0,16.0,325.0,543.0,3899.0,39.0,13.0,49.0,136.0,2.78,2.0,0.0,0.0,0.0,0.0,0.0,11.0,4.0,2.0,0.0,3.0,318.0,309.6,332.6,322.6,155.0,1.0,,1996
Terry Allen*,WAS,RB,28.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,347.0,1353.0,3.9,21.0,42.0,32.0,194.0,6.06,0.0,4.0,2.0,21.0,0.0,0.0,281.0,308.7,316.7,292.7,152.0,1.0,,1996
Terrell Davis *+,DEN,RB,24.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,345.0,1538.0,4.46,13.0,52.0,36.0,310.0,8.61,2.0,5.0,3.0,15.0,0.0,0.0,277.0,304.8,313.8,286.8,148.0,2.0,,1996
Vinny Testaverde*,BAL,QB,33.0,16.0,16.0,325.0,549.0,4177.0,33.0,19.0,34.0,188.0,5.53,2.0,0.0,0.0,0.0,0.0,0.0,9.0,7.0,2.0,1.0,3.0,300.0,285.9,317.9,304.9,138.0,2.0,,1996
Ricky Watters*,PHI,RB,27.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,353.0,1411.0,4.0,13.0,70.0,51.0,444.0,8.71,0.0,5.0,5.0,13.0,0.0,0.0,264.0,304.5,315.5,279.0,135.0,3.0,,1996
Curtis Martin *,NWE,RB,23.0,16.0,15.0,0.0,0.0,0.0,0.0,0.0,316.0,1152.0,3.65,14.0,52.0,46.0,333.0,7.24,3.0,4.0,3.0,17.0,1.0,0.0,253.0,292.5,301.5,269.5,124.0,4.0,,1996
Mark Brunell*,JAX,QB,26.0,16.0,16.0,353.0,557.0,4367.0,19.0,20.0,80.0,396.0,4.95,3.0,0.0,0.0,0.0,0.0,0.0,14.0,3.0,3.0,2.0,3.0,278.0,272.3,301.3,292.3,116.0,3.0,,1996
Emmitt Smith,DAL,RB,27.0,15.0,15.0,0.0,0.0,0.0,0.0,0.0,327.0,1204.0,3.68,12.0,57.0,47.0,249.0,5.3,3.0,5.0,2.0,15.0,0.0,0.0,235.0,278.3,286.3,254.8,107.0,5.0,,1996
Barry Sanders *,DET,RB,28.0,16.0,16.0,0.0,1.0,0.0,0.0,1.0,307.0,1553.0,5.06,11.0,32.0,24.0,147.0,6.13,0.0,4.0,2.0,11.0,0.0,0.0,234.0,254.0,263.0,243.0,105.0,6.0,,1996
Shannon Sharpe*+,DEN,TE,28.0,15.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,117.0,80.0,1062.0,13.28,10.0,1.0,1.0,10.0,0.0,0.0,166.0,244.2,248.2,204.2,104.0,1.0,,1996
Jeff Blake,CIN,QB,26.0,16.0,16.0,308.0,549.0,3624.0,24.0,14.0,72.0,317.0,4.4,2.0,0.0,0.0,0.0,0.0,0.0,7.0,3.0,2.0,0.0,1.0,259.0,252.7,275.7,266.7,96.0,4.0,,1996
John Elway*,DEN,QB,36.0,15.0,15.0,287.0,466.0,3328.0,26.0,14.0,50.0,249.0,4.98,4.0,0.0,0.0,0.0,0.0,0.0,6.0,4.0,4.0,0.0,0.0,258.0,250.0,274.0,264.0,96.0,5.0,,1996
Jerome Bettis*+,PIT,RB,24.0,16.0,12.0,0.0,0.0,0.0,0.0,0.0,320.0,1431.0,4.47,11.0,32.0,22.0,122.0,5.55,0.0,7.0,3.0,11.0,0.0,0.0,221.0,237.3,246.3,226.3,93.0,7.0,,1996
Michael Jackson,BAL,WR,27.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150.0,76.0,1201.0,15.8,14.0,0.0,,14.0,2.0,0.0,208.0,284.1,287.1,246.1,92.0,1.0,,1996
Drew Bledsoe*,NWE,QB,24.0,16.0,16.0,373.0,623.0,4086.0,27.0,15.0,24.0,27.0,1.13,0.0,0.0,0.0,0.0,0.0,0.0,9.0,2.0,0.0,0.0,4.0,252.0,248.1,268.1,263.1,90.0,6.0,,1996
Tony Martin *,SDG,WR,31.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,167.0,85.0,1171.0,13.78,14.0,0.0,,14.0,0.0,0.0,201.0,286.1,289.1,243.6,85.0,2.0,,1996
Carl Pickens*,CIN,WR,26.0,16.0,16.0,1.0,1.0,12.0,0.0,0.0,2.0,2.0,1.0,0.0,174.0,100.0,1180.0,11.8,12.0,0.0,,12.0,1.0,0.0,193.0,292.7,295.7,242.7,77.0,3.0,,1996
Eddie George,HOU,RB,23.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,335.0,1368.0,4.08,8.0,28.0,23.0,182.0,7.91,0.0,3.0,3.0,8.0,0.0,0.0,203.0,220.0,229.0,208.5,74.0,8.0,,1996
Jerry Rice *+,SFO,WR,34.0,16.0,16.0,0.0,1.0,0.0,0.0,0.0,11.0,77.0,7.0,1.0,153.0,108.0,1254.0,11.61,8.0,0.0,,9.0,0.0,0.0,187.0,295.1,298.1,241.1,71.0,4.0,,1996
Herman Moore*+,DET,WR,27.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,178.0,106.0,1296.0,12.23,9.0,0.0,,9.0,1.0,0.0,186.0,291.6,294.6,238.6,70.0,5.0,,1996
Irving Fryar*,PHI,WR,34.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,1.0,-4.0,-4.0,0.0,152.0,88.0,1195.0,13.58,11.0,0.0,,11.0,0.0,0.0,185.0,273.1,276.1,229.1,69.0,6.0,,1996
Wesley Walls*,CAR,TE,30.0,16.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,111.0,61.0,713.0,11.69,10.0,0.0,,10.0,0.0,0.0,131.0,192.3,195.3,161.8,69.0,2.0,,1996
Karim Abdul-Jabbar,MIA,RB,22.0,16.0,14.0,0.0,0.0,0.0,0.0,0.0,307.0,1116.0,3.64,11.0,46.0,23.0,139.0,6.04,0.0,4.0,3.0,11.0,0.0,0.0,192.0,208.5,217.5,197.0,63.0,9.0,,1996
Cris Carter *,MIN,WR,31.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,167.0,96.0,1163.0,12.11,10.0,1.0,1.0,10.0,0.0,0.0,178.0,270.3,274.3,222.3,62.0,7.0,,1996
