Player,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,TD,Int,Att.1,Yds.1,Y/A,TD.1,Rec,Yds.2,Y/R,TD.2,Fmb,FL,TD.3,2PM,2PP,FantPt,PPR,DKPt,FDPt,VBD,PosRank,Unnamed: 32,Year,Tgt
Billy Sims*,DET,RB,26.0,14.0,14.0,0.0,0.0,0.0,0.0,0.0,296.0,1437.0,4.85,13.0,28.0,451.0,16.11,2.0,9.0,,15.0,0.0,0.0,279.0,297.8,308.3,283.8,133.0,1.0,,1981,0.0
William Andrews*,ATL,RB,26.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,289.0,1301.0,4.5,10.0,81.0,735.0,9.07,2.0,12.0,,12.0,0.0,0.0,276.0,344.6,356.6,304.1,129.0,2.0,,1981,0.0
Chuck Muncie*,SDG,RB,28.0,15.0,14.0,1.0,1.0,3.0,1.0,0.0,251.0,1144.0,4.56,19.0,43.0,362.0,8.42,0.0,9.0,,19.0,0.0,0.0,269.0,302.7,313.2,281.2,122.0,3.0,,1981,0.0
Alfred Jenkins*+,ATL,WR,29.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,1358.0,19.4,13.0,3.0,,13.0,0.0,0.0,214.0,280.8,285.3,245.8,117.0,1.0,,1981,0.0
George Rogers*+,NOR,RB,23.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,378.0,1674.0,4.43,13.0,16.0,126.0,7.88,0.0,13.0,,13.0,0.0,0.0,258.0,261.0,273.5,253.0,112.0,4.0,,1981,0.0
Wendell Tyler,RAM,RB,26.0,15.0,15.0,0.0,0.0,0.0,0.0,0.0,260.0,1074.0,4.13,12.0,45.0,436.0,9.69,5.0,11.0,,17.0,0.0,0.0,253.0,287.0,298.5,264.5,107.0,5.0,,1981,0.0
Wilbert Montgomery,PHI,RB,27.0,15.0,15.0,0.0,0.0,0.0,0.0,0.0,286.0,1402.0,4.9,8.0,49.0,521.0,10.63,2.0,6.0,,10.0,0.0,0.0,252.0,295.3,304.3,270.8,106.0,6.0,,1981,0.0
Steve Watson*,DEN,WR,24.0,16.0,13.0,0.0,0.0,0.0,0.0,0.0,2.0,6.0,3.0,0.0,60.0,1244.0,20.73,13.0,0.0,,13.0,0.0,0.0,203.0,263.0,266.0,233.0,106.0,2.0,,1981,0.0
Dan Fouts*,SDG,QB,30.0,16.0,16.0,360.0,609.0,4802.0,33.0,17.0,22.0,56.0,2.55,0.0,0.0,0.0,0.0,0.0,9.0,,0.0,0.0,0.0,296.0,286.7,311.2,303.7,101.0,1.0,,1981,0.0
Kellen Winslow*+,SDG,TE,24.0,16.0,16.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.0,1075.0,12.22,10.0,2.0,,10.0,0.0,0.0,168.0,253.5,257.5,209.5,92.0,1.0,,1981,0.0
Steve Largent*,SEA,WR,27.0,16.0,16.0,0.0,1.0,0.0,0.0,0.0,6.0,47.0,7.83,1.0,75.0,1224.0,16.32,9.0,2.0,,10.0,0.0,0.0,187.0,260.1,264.1,222.6,90.0,3.0,,1981,0.0
Ken Anderson *+,CIN,QB,32.0,16.0,16.0,300.0,479.0,3754.0,29.0,10.0,46.0,320.0,6.96,1.0,0.0,0.0,0.0,0.0,5.0,,1.0,0.0,0.0,284.0,279.2,297.7,289.2,90.0,2.0,,1981,0.0
Pete Johnson*,CIN,RB,27.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,274.0,1077.0,3.93,12.0,46.0,320.0,6.96,4.0,4.0,,16.0,0.0,0.0,236.0,277.7,285.7,254.7,89.0,7.0,,1981,0.0
Joe Cribbs*,BUF,RB,23.0,15.0,15.0,1.0,1.0,9.0,1.0,0.0,257.0,1097.0,4.27,3.0,40.0,603.0,15.08,7.0,12.0,,10.0,0.0,0.0,234.0,262.4,274.4,242.4,88.0,8.0,,1981,0.0
