Player,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,TD,Int,Att.1,Yds.1,Y/A,TD.1,Tgt,Rec,Yds.2,Y/R,TD.2,Fmb,FL,TD.3,2PM,2PP,FantPt,PPR,DKPt,FDPt,VBD,PosRank,Unnamed: 33,Year
LaDainian Tomlinson*+,SDG,RB,27.0,16.0,16.0,2.0,3.0,20.0,2.0,0.0,348.0,1815.0,5.22,28.0,80.0,56.0,508.0,9.07,3.0,2.0,1.0,31.0,0.0,0.0,427.0,481.1,488.1,453.1,269.0,1.0,,2006
Larry Johnson*+,KAN,RB,27.0,16.0,16.0,0.0,1.0,0.0,0.0,0.0,416.0,1789.0,4.3,17.0,66.0,41.0,410.0,10.0,2.0,2.0,2.0,19.0,0.0,0.0,334.0,370.9,378.9,350.4,176.0,2.0,,2006
Steven Jackson*,STL,RB,23.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,346.0,1528.0,4.42,13.0,110.0,90.0,806.0,8.96,3.0,4.0,2.0,16.0,0.0,0.0,329.0,415.4,423.4,370.4,171.0,3.0,,2006
Peyton Manning*,IND,QB,30.0,16.0,16.0,362.0,557.0,4397.0,31.0,9.0,23.0,36.0,1.57,4.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,4.0,0.0,2.0,313.0,311.5,324.5,320.5,122.0,1.0,,2006
Frank Gore*,SFO,RB,23.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,312.0,1695.0,5.43,8.0,86.0,61.0,485.0,7.95,1.0,6.0,5.0,9.0,0.0,0.0,272.0,323.0,334.0,292.5,114.0,4.0,,2006
Willie Parker*,PIT,RB,26.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,337.0,1494.0,4.43,13.0,42.0,31.0,222.0,7.16,3.0,7.0,5.0,16.0,0.0,0.0,268.0,288.6,299.6,273.1,109.0,5.0,,2006
Brian Westbrook,PHI,RB,27.0,15.0,14.0,0.0,0.0,0.0,0.0,0.0,240.0,1217.0,5.07,7.0,105.0,77.0,699.0,9.08,4.0,2.0,2.0,11.0,0.0,0.0,258.0,330.6,338.6,292.1,99.0,6.0,,2006
Marvin Harrison*+,IND,WR,34.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,148.0,95.0,1366.0,14.38,12.0,1.0,1.0,12.0,0.0,0.0,211.0,301.6,305.6,254.1,93.0,1.0,,2006
Tiki Barber*,NYG,RB,31.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,327.0,1662.0,5.08,5.0,75.0,58.0,465.0,8.02,0.0,3.0,1.0,5.0,0.0,0.0,243.0,298.7,305.7,269.7,84.0,7.0,,2006
Terrell Owens,DAL,WR,33.0,16.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150.0,85.0,1180.0,13.88,13.0,0.0,,13.0,1.0,0.0,198.0,283.0,286.0,240.5,80.0,2.0,,2006
Michael Vick,ATL,QB,26.0,16.0,16.0,204.0,388.0,2474.0,20.0,13.0,123.0,1039.0,8.45,2.0,1.0,1.0,1.0,1.0,0.0,9.0,3.0,2.0,0.0,0.0,269.0,264.0,286.0,276.5,77.0,2.0,,2006
Drew Brees*+,NOR,QB,27.0,16.0,16.0,356.0,554.0,4418.0,26.0,11.0,42.0,32.0,0.76,0.0,0.0,0.0,0.0,0.0,0.0,8.0,3.0,0.0,0.0,2.0,266.0,259.9,276.9,270.9,74.0,3.0,,2006
Reggie Wayne*,IND,WR,28.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,137.0,86.0,1310.0,15.23,9.0,1.0,,9.0,1.0,0.0,187.0,273.0,276.0,230.0,69.0,3.0,,2006
Maurice Jones-Drew,JAX,RB,21.0,16.0,1.0,0.0,0.0,0.0,0.0,0.0,166.0,941.0,5.67,13.0,62.0,46.0,436.0,9.48,2.0,1.0,1.0,16.0,0.0,0.0,228.0,277.7,284.7,254.7,69.0,8.0,,2006
Marc Bulger*,STL,QB,29.0,16.0,16.0,370.0,588.0,4301.0,24.0,8.0,18.0,44.0,2.44,0.0,0.0,0.0,0.0,0.0,0.0,6.0,3.0,0.0,0.0,1.0,258.0,252.4,266.4,260.4,67.0,4.0,,2006
Antonio Gates*+,SDG,TE,26.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,71.0,924.0,13.01,9.0,0.0,,9.0,0.0,0.0,146.0,217.4,220.4,181.9,65.0,1.0,,2006
Chad Johnson *+,CIN,WR,28.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,6.0,24.0,4.0,0.0,152.0,87.0,1369.0,15.74,7.0,1.0,1.0,7.0,0.0,0.0,181.0,266.3,270.3,222.8,64.0,4.0,,2006
Donald Driver*,GNB,WR,31.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,7.0,16.0,2.29,0.0,173.0,92.0,1295.0,14.08,8.0,1.0,,8.0,0.0,0.0,179.0,271.1,274.1,225.1,62.0,5.0,,2006
Torry Holt*,STL,WR,30.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,179.0,93.0,1188.0,12.77,10.0,2.0,1.0,10.0,0.0,0.0,179.0,269.8,273.8,223.3,61.0,6.0,,2006
Lee Evans,BUF,WR,25.0,16.0,15.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,137.0,82.0,1292.0,15.76,8.0,1.0,1.0,8.0,0.0,0.0,177.0,257.2,261.2,216.2,60.0,7.0,,2006
Carson Palmer*,CIN,QB,27.0,16.0,16.0,324.0,520.0,4035.0,28.0,13.0,26.0,37.0,1.42,0.0,0.0,0.0,0.0,0.0,0.0,15.0,7.0,0.0,0.0,0.0,251.0,237.1,260.1,250.1,59.0,5.0,,2006
