,Player,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,Y/A,TD,Rec,Yds,Y/R,TD,Fmb,FL,TD,2PM,2PP,FantPt,PPR,DKPt,FDPt,VBD,PosRank,OvRank,
1,Chuck Foreman*,MIN,RB,26,14,14,0,0,0,0,0,278,1155,4.15,13,55,567,10.31,1,7,,14,,,256,304.2,313.7,276.7,152,1,1,
2,Cliff Branch *+,OAK,WR,28,14,14,0,0,0,0,0,3,12,4.00,0,46,1111,24.15,12,0,,12,,,184,230.3,233.3,207.3,126,1,2,
3,Walter Payton*+,CHI,RB,22,14,14,0,0,0,0,0,311,1390,4.47,13,15,149,9.93,0,10,,13,,,232,236.9,247.9,229.4,124,2,3,
4,O.J. Simpson*+,BUF,RB,29,14,13,0,0,0,0,0,290,1503,5.18,8,22,259,11.77,1,6,,9,,,230,246.2,255.2,235.2,123,3,4,
5,Roger Carr*,BAL,WR,24,14,14,0,0,0,0,0,0,0,,0,43,1112,25.86,11,0,,11,,,177,220.2,223.2,198.7,118,2,5,
6,Bert Jones*+,BAL,QB,25,14,14,207,343,3104,24,9,38,214,5.63,2,0,0,,0,4,,2,,,236,231.6,248.6,240.6,117,1,6,
7,Lydell Mitchell *,BAL,RB,27,14,14,0,0,0,0,0,289,1200,4.15,5,60,555,9.25,3,4,,8,,,224,279.5,287.5,249.5,115,4,7,
8,Lawrence McCutcheon*,RAM,RB,26,14,14,0,0,0,0,0,291,1168,4.01,9,28,305,10.89,2,10,,11,,,213,231.3,242.3,217.3,103,5,8,
9,Franco Harris*,PIT,RB,26,14,14,0,0,0,0,0,289,1128,3.90,14,23,151,6.57,0,8,,14,,,212,226.9,236.9,215.4,102,6,9,
10,Steve Grogan,NWE,QB,23,14,14,145,302,1903,18,20,60,397,6.62,12,0,0,,0,6,,13,,,220,219.8,248.8,239.8,99,2,10,
11,Delvin Williams*,SFO,RB,25,13,13,1,1,18,0,0,248,1203,4.85,7,27,283,10.48,2,6,,9,,,203,224.3,233.3,210.8,92,7,11,
12,Sammy White*,MIN,WR,22,14,14,0,0,0,0,0,5,-10,-2.00,0,51,906,17.76,10,3,,10,,,150,197.6,202.1,172.1,87,3,12,
13,Charlie Joiner*,SDG,WR,29,14,14,0,1,0,0,0,0,0,,0,50,1056,21.12,7,0,,7,,,148,197.6,200.6,172.6,84,4,13,
14,Dave Casper*+,OAK,TE,24,13,13,0,0,0,0,0,1,5,5.00,0,53,691,13.04,10,0,,10,,,130,182.6,185.6,156.1,84,1,14,
15,Mike Thomas *,WAS,RB,23,13,12,0,0,0,0,0,254,1101,4.33,5,28,290,10.36,4,7,,9,,,193,214.1,223.6,200.1,80,8,15,
16,Bob Chandler,BUF,WR,27,14,14,0,0,0,0,0,1,0,0.00,0,61,824,13.51,10,3,,10,,,142,200.4,204.9,169.9,79,5,16,
17,Walter White,KAN,TE,25,14,5,0,0,0,0,0,2,15,7.50,0,47,808,17.19,7,0,,7,,,124,171.3,174.3,147.8,78,2,17,
18,Ken Burrough,HOU,WR,28,14,14,0,0,0,0,0,3,22,7.33,0,51,932,18.27,7,0,,7,,,137,188.4,191.4,162.9,73,6,18,
19,Otis Armstrong *,DEN,RB,26,14,14,0,0,0,0,0,247,1008,4.08,5,39,457,11.72,1,4,,6,,,183,217.5,225.5,198.0,68,9,19,
20,Ken Stabler *,OAK,QB,31,12,12,194,291,2737,27,17,7,-2,-0.29,1,0,0,,0,5,,1,,,189,184.3,206.8,201.3,64,3,20,
21,Drew Pearson*+,DAL,WR,25,14,14,1,1,39,1,0,2,20,10.00,0,58,806,13.90,6,1,,7,,,124,187.2,190.7,158.2,58,7,21,
22,Fran Tarkenton*,MIN,QB,36,13,13,255,412,2961,17,8,27,45,1.67,1,0,0,,0,4,,1,,,181,176.9,189.9,184.9,54,4,22,
23,Greg Pruitt*,CLE,RB,25,14,13,2,3,39,1,0,209,1000,4.78,4,45,341,7.58,1,7,,5,,,170,207.7,217.2,185.2,53,10,23,
24,Roger Staubach*,DAL,QB,34,14,14,208,369,2715,14,11,43,184,4.28,3,0,0,,0,4,,3,,,179,175.0,194.0,186.0,52,5,24,
25,Reggie Rucker,CLE,WR,29,14,14,0,0,0,0,0,2,30,15.00,0,49,676,13.80,8,1,,8,,,119,166.6,170.1,142.1,51,8,25,
26,Ron Jessie*,RAM,WR,28,14,14,0,0,0,0,0,4,37,9.25,0,34,779,22.91,6,1,,6,,,118,150.6,154.1,133.6,50,9,26,
27,Isaac Curtis*,CIN,WR,26,14,14,0,0,0,0,0,3,29,9.67,0,41,766,18.68,6,1,,6,,,116,155.5,159.0,135.0,48,10,27,
28,Andy Johnson,NWE,RB,24,14,13,0,2,0,0,0,169,699,4.14,6,29,343,11.83,4,5,,10,,,164,188.2,196.7,173.7,47,11,28,
29,Rocky Bleier,PIT,RB,30,14,14,0,0,0,0,0,220,1036,4.71,5,24,294,12.25,0,4,,5,,,163,183.0,191.0,171.0,46,12,29,
30,Rk,Player,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,Y/A,TD,Rec,Yds,Y/R,TD,Fmb,FL,TD,2PM,2PP,FantPt,PPR,DKPt,FDPt,VBD,PosRank,OvRank
31,Ray Jarvis,DET,WR,27,14,13,0,0,0,0,0,0,0,,0,39,822,21.08,5,2,,5,,,112,149.2,153.2,129.7,44,11,30,
32,Frank Grant,WAS,WR,26,14,14,0,0,0,0,0,1,-9,-9.00,0,50,818,16.36,5,0,,5,,,111,160.9,163.9,135.9,43,12,31,
33,MacArthur Lane,KAN,RB,34,14,14,0,0,0,0,0,162,542,3.35,5,66,686,10.39,1,9,,6,,,159,215.8,226.3,182.8,41,13,32,
34,Greg Landry,DET,QB,30,14,12,168,291,2191,17,8,43,234,5.44,1,0,0,,0,5,,1,,,169,164.0,180.5,172.0,40,6,33,
35,Harold Jackson,RAM,WR,30,14,14,0,0,0,0,0,1,15,15.00,0,39,751,19.26,5,1,,5,,,107,144.6,148.1,125.1,38,13,34,
36,Rickey Young,SDG,RB,23,14,14,0,0,0,0,0,162,802,4.95,4,47,441,9.38,1,2,,5,,,154,199.3,206.3,175.8,36,14,35,
37,Alfred Jenkins,ATL,WR,24,14,14,0,1,0,0,1,0,0,,0,41,710,17.32,6,0,,6,,,105,146.0,150.0,126.5,36,14,36,
38,Jim Hart *,STL,QB,32,14,14,218,388,2946,18,13,8,7,0.88,0,0,0,,0,4,,0,,,165,160.5,178.5,173.5,35,7,37,
39,Billy Joe DuPree*,DAL,TE,26,14,14,0,0,0,0,0,7,50,7.14,0,42,680,16.19,2,2,,2,,,85,125.0,129.0,104.0,33,3,38,
40,Charlie Sanders *,DET,TE,30,13,13,0,0,0,0,0,0,0,,0,35,545,15.57,5,0,,5,,,85,119.5,122.5,102.0,33,4,39,
41,Ken Anderson *,CIN,QB,27,14,14,179,338,2367,19,14,31,134,4.32,1,0,0,,0,3,,1,,,162,159.1,180.6,173.1,33,8,40,
42,Riley Odoms,DEN,TE,26,14,14,0,0,0,0,0,3,36,12.00,2,30,477,15.90,3,0,,5,,,81,111.3,114.3,96.3,29,5,41,
43,Mel Gray*,STL,WR,28,11,11,0,0,0,0,0,0,0,,0,36,686,19.06,5,0,,5,,,99,134.6,137.6,116.6,28,15,42,
44,Tony Galbreath,NOR,RB,22,14,13,0,0,0,0,0,136,570,4.19,7,54,420,7.78,1,7,,8,,,147,194.0,203.5,167.0,27,15,43,
45,Paul Warfield,CLE,WR,34,14,14,0,0,0,0,0,1,3,3.00,0,38,613,16.13,6,3,,6,,,98,132.6,137.1,113.6,27,16,44,
46,Fred Biletnikoff,OAK,WR,33,13,13,0,0,0,0,0,0,0,,0,43,551,12.81,7,0,,7,,,97,140.1,143.1,118.6,27,17,45,
47,Glenn Doughty,BAL,WR,29,14,14,0,0,0,0,0,3,7,2.33,0,40,628,15.70,5,2,,5,,,94,131.5,135.5,111.5,23,18,46,
48,Clark Gaines,NYJ,RB,22,14,8,0,0,0,0,0,157,724,4.61,3,41,400,9.76,2,4,,5,,,142,179.4,187.4,158.9,22,16,47,
49,Steve Largent,SEA,WR,22,14,13,0,1,0,0,0,4,-14,-3.50,0,54,705,13.06,4,2,,4,,,93,145.1,149.1,118.1,22,19,48,
50,Bob Trumpy,CIN,TE,31,13,13,0,0,0,0,0,0,0,,0,21,323,15.38,7,1,,7,,,74,94.3,97.8,83.8,21,6,49,
