Player,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,TD,Int,Att.1,Yds.1,Y/A,TD.1,Rec,Yds.2,Y/R,TD.2,Fmb,FL,TD.3,2PM,2PP,FantPt,PPR,DKPt,FDPt,VBD,PosRank,Unnamed: 32,Year,Tgt
Walter Payton*,CHI,RB,25.0,16.0,16.0,1.0,1.0,54.0,1.0,0.0,369.0,1610.0,4.36,14.0,31.0,313.0,10.1,2.0,7.0,,16.0,0.0,0.0,294.0,318.5,328.0,303.0,148.0,1.0,,1979,0.0
Earl Campbell*+,HOU,RB,24.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,368.0,1697.0,4.61,19.0,16.0,94.0,5.88,0.0,8.0,,19.0,0.0,0.0,293.0,301.1,308.1,293.1,147.0,2.0,,1979,0.0
Wilbert Montgomery*,PHI,RB,25.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,338.0,1512.0,4.47,9.0,41.0,494.0,12.05,5.0,14.0,,14.0,0.0,0.0,285.0,311.6,324.6,291.1,139.0,3.0,,1979,0.0
Ottis Anderson *+,STL,RB,22.0,16.0,16.0,0.0,1.0,0.0,0.0,0.0,331.0,1605.0,4.85,8.0,41.0,308.0,7.51,2.0,10.0,,10.0,0.0,0.0,251.0,282.3,293.3,261.8,105.0,4.0,,1979,0.0
Mike Pruitt*,CLE,RB,25.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,264.0,1294.0,4.9,9.0,41.0,372.0,9.07,2.0,6.0,,11.0,0.0,0.0,233.0,267.6,276.6,247.1,87.0,5.0,,1979,0.0
Steve Largent*,SEA,WR,25.0,15.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.0,1237.0,18.74,9.0,0.0,,9.0,0.0,0.0,178.0,243.7,246.7,210.7,78.0,1.0,,1979,0.0
Stanley Morgan*,NWE,WR,24.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,7.0,39.0,5.57,0.0,44.0,1002.0,22.77,12.0,1.0,,13.0,0.0,0.0,176.0,225.1,228.6,203.1,76.0,2.0,,1979,0.0
Chuck Muncie*,NOR,RB,26.0,16.0,15.0,1.0,2.0,40.0,1.0,0.0,238.0,1198.0,5.03,11.0,40.0,308.0,7.7,0.0,8.0,,11.0,0.0,0.0,222.0,254.2,264.2,234.2,76.0,6.0,,1979,0.0
Steve Grogan,NWE,QB,26.0,16.0,16.0,206.0,423.0,3286.0,28.0,20.0,64.0,368.0,5.75,2.0,0.0,0.0,0.0,0.0,12.0,,2.0,0.0,0.0,252.0,240.2,272.2,260.2,75.0,1.0,,1979,0.0
Franco Harris*,PIT,RB,29.0,15.0,15.0,0.0,0.0,0.0,0.0,0.0,267.0,1186.0,4.44,11.0,36.0,291.0,8.08,1.0,11.0,,12.0,0.0,0.0,220.0,244.7,256.2,226.7,74.0,7.0,,1979,0.0
