Player,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,TD,Int,Att.1,Yds.1,Y/A,TD.1,Tgt,Rec,Yds.2,Y/R,TD.2,Fmb,FL,TD.3,2PM,2PP,FantPt,PPR,DKPt,FDPt,VBD,PosRank,Unnamed: 33,Year
Shaun Alexander *+,SEA,RB,28.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,370.0,1880.0,5.08,27.0,29.0,15.0,78.0,5.2,1.0,5.0,1.0,28.0,0.0,0.0,364.0,376.8,380.8,369.3,221.0,1.0,,2005
Larry Johnson*,KAN,RB,26.0,16.0,9.0,0.0,0.0,0.0,0.0,0.0,336.0,1750.0,5.21,20.0,49.0,33.0,343.0,10.39,1.0,5.0,4.0,21.0,0.0,0.0,335.0,360.3,370.3,343.8,192.0,2.0,,2005
LaDainian Tomlinson*,SDG,RB,26.0,16.0,16.0,3.0,4.0,47.0,3.0,0.0,339.0,1462.0,4.31,18.0,77.0,51.0,370.0,7.25,2.0,3.0,1.0,20.0,0.0,0.0,317.0,366.1,373.1,340.6,174.0,3.0,,2005
Tiki Barber*+,NYG,RB,30.0,16.0,16.0,0.0,1.0,0.0,0.0,0.0,357.0,1860.0,5.21,9.0,70.0,54.0,530.0,9.81,2.0,1.0,1.0,11.0,1.0,0.0,307.0,359.0,366.0,332.0,164.0,4.0,,2005
Edgerrin James*,IND,RB,27.0,15.0,15.0,0.0,0.0,0.0,0.0,0.0,360.0,1506.0,4.18,13.0,50.0,44.0,337.0,7.66,1.0,2.0,1.0,14.0,0.0,0.0,268.0,310.3,317.3,288.3,125.0,5.0,,2005
Steve Smith*+,CAR,WR,26.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,4.0,25.0,6.25,1.0,150.0,103.0,1563.0,15.17,12.0,2.0,1.0,13.0,0.0,0.0,237.0,337.8,341.8,286.3,120.0,1.0,,2005
Clinton Portis,WAS,RB,24.0,16.0,16.0,1.0,2.0,17.0,1.0,0.0,352.0,1516.0,4.31,11.0,41.0,30.0,216.0,7.2,0.0,3.0,2.0,11.0,1.0,0.0,246.0,271.9,279.9,256.9,103.0,6.0,,2005
Antonio Gates*+,SDG,TE,25.0,15.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,140.0,89.0,1101.0,12.37,10.0,0.0,,10.0,0.0,0.0,170.0,259.1,262.1,214.6,97.0,1.0,,2005
Larry Fitzgerald*,ARI,WR,22.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,8.0,41.0,5.13,0.0,165.0,103.0,1409.0,13.68,10.0,0.0,,10.0,0.0,0.0,205.0,308.0,311.0,256.5,88.0,2.0,,2005
Santana Moss*,WAS,WR,26.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,3.0,-3.0,-1.0,0.0,134.0,84.0,1483.0,17.65,9.0,3.0,1.0,9.0,0.0,0.0,202.0,284.0,288.0,242.0,85.0,3.0,,2005
Chad Johnson *+,CIN,WR,27.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,5.0,33.0,6.6,0.0,155.0,97.0,1432.0,14.76,9.0,1.0,,9.0,0.0,0.0,201.0,297.5,300.5,249.0,84.0,4.0,,2005
LaMont Jordan,OAK,RB,27.0,14.0,14.0,0.0,0.0,0.0,0.0,0.0,272.0,1025.0,3.77,9.0,103.0,70.0,563.0,8.04,2.0,2.0,1.0,11.0,1.0,0.0,227.0,294.8,301.8,259.8,84.0,8.0,,2005
Rudi Johnson,CIN,RB,26.0,16.0,14.0,0.0,0.0,0.0,0.0,0.0,337.0,1458.0,4.33,12.0,30.0,23.0,90.0,3.91,0.0,1.0,,12.0,0.0,0.0,227.0,249.8,252.8,238.3,84.0,7.0,,2005
Joey Galloway,TAM,WR,34.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,2.0,0.0,152.0,83.0,1287.0,15.51,10.0,0.0,,10.0,0.0,0.0,189.0,272.1,275.1,230.6,72.0,5.0,,2005
Anquan Boldin,ARI,WR,25.0,14.0,14.0,0.0,1.0,0.0,0.0,0.0,12.0,45.0,3.75,0.0,171.0,102.0,1402.0,13.75,7.0,2.0,1.0,7.0,1.0,0.0,189.0,288.7,292.7,237.7,72.0,6.0,,2005
Torry Holt*,STL,WR,29.0,14.0,14.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,163.0,102.0,1331.0,13.05,9.0,2.0,,9.0,0.0,0.0,187.0,289.3,292.3,238.3,71.0,7.0,,2005
