,Player,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Fmb,FL,TD,2PM,2PP,FantPt,PPR,DKPt,FDPt,VBD,PosRank,OvRank,
1,Priest Holmes*+,KAN,RB,29,14,14,0,1,0,0,0,313,1615,5.16,21,81,70,672,9.60,3,1,1,24,,,372,440.7,447.7,405.7,232,1,1,
2,Ricky Williams*+,MIA,RB,25,16,16,0,0,0,0,0,383,1853,4.84,16,59,47,363,7.72,1,7,4,17,,,317,362.6,372.6,339.1,176,2,2,
3,LaDainian Tomlinson*,SDG,RB,23,16,16,0,0,0,0,0,372,1683,4.52,14,101,79,489,6.19,1,3,1,15,,,304,384.2,391.2,344.7,164,3,3,
4,Clinton Portis,DEN,RB,21,16,12,0,0,0,0,0,273,1508,5.52,15,49,33,364,11.03,2,5,3,17,,,284,316.2,325.2,299.7,144,4,4,
5,Shaun Alexander,SEA,RB,25,16,16,0,0,0,0,0,295,1175,3.98,16,78,59,460,7.80,2,3,1,18,,,269,328.5,335.5,299.0,128,5,5,
6,Deuce McAllister*,NOR,RB,24,15,15,0,0,0,0,0,325,1388,4.27,13,74,47,352,7.49,3,4,3,16,,,266,311.0,320.0,287.5,126,6,6,
7,Marvin Harrison*+,IND,WR,30,16,16,0,0,0,0,0,2,10,5.00,0,205,143,1722,12.04,11,0,,11,1,,241,384.2,387.2,312.7,120,1,7,
8,Charlie Garner,OAK,RB,30,16,15,0,0,0,0,0,182,962,5.29,7,111,91,941,10.34,4,0,,11,,,256,347.3,353.3,301.8,116,7,8,
9,Tiki Barber,NYG,RB,27,16,15,0,0,0,0,0,304,1387,4.56,11,95,69,597,8.65,0,9,6,11,,,255,321.4,333.4,286.9,115,8,9,
10,Travis Henry *,BUF,RB,24,16,16,0,0,0,0,0,325,1438,4.42,13,59,43,309,7.19,1,11,9,14,,,248,283.7,298.7,262.2,108,9,10,
11,Hines Ward *,PIT,WR,26,16,16,0,0,0,0,0,12,142,11.83,0,160,112,1329,11.87,12,1,1,12,3,1,226,337.1,344.1,281.1,105,2,11,
12,Terrell Owens*+,SFO,WR,29,14,14,0,0,0,0,0,7,79,11.29,1,159,100,1300,13.00,13,0,,14,,,222,321.9,324.9,271.9,101,3,12,
13,Eddie George,TEN,RB,29,16,16,0,0,0,0,0,343,1165,3.40,12,46,36,255,7.08,2,1,1,14,,,225,260.0,267.0,242.0,85,10,13,
