Player,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,TD,Int,Att.1,Yds.1,Y/A,TD.1,Tgt,Rec,Yds.2,Y/R,TD.2,Fmb,FL,TD.3,2PM,2PP,FantPt,PPR,DKPt,FDPt,VBD,PosRank,Unnamed: 33,Year
Marshall Faulk*+,STL,RB,28.0,14.0,14.0,0.0,1.0,0.0,0.0,0.0,260.0,1382.0,5.32,12.0,104.0,83.0,765.0,9.22,9.0,3.0,3.0,21.0,1.0,0.0,343.0,419.7,428.7,378.2,208.0,1.0,,2001
Priest Holmes*+,KAN,RB,28.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,327.0,1555.0,4.76,8.0,75.0,62.0,614.0,9.9,2.0,4.0,3.0,10.0,0.0,0.0,277.0,332.9,341.9,301.9,142.0,2.0,,2001
Ahman Green*,GNB,RB,24.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,304.0,1387.0,4.56,9.0,82.0,62.0,594.0,9.58,2.0,5.0,4.0,11.0,0.0,0.0,264.0,318.1,328.1,287.1,129.0,3.0,,2001
Shaun Alexander,SEA,RB,24.0,16.0,12.0,0.0,0.0,0.0,0.0,0.0,309.0,1318.0,4.27,14.0,59.0,44.0,343.0,7.8,2.0,4.0,4.0,16.0,0.0,0.0,262.0,298.1,308.1,276.1,127.0,4.0,,2001
Marvin Harrison*,IND,WR,29.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,3.0,0.0,164.0,109.0,1524.0,13.98,15.0,0.0,,15.0,0.0,0.0,243.0,351.7,354.7,297.2,114.0,1.0,,2001
Curtis Martin *,NYJ,RB,28.0,16.0,16.0,1.0,1.0,18.0,1.0,0.0,333.0,1513.0,4.54,10.0,63.0,53.0,320.0,6.04,0.0,2.0,2.0,10.0,0.0,0.0,248.0,297.0,305.0,270.5,113.0,5.0,,2001
Terrell Owens*+,SFO,WR,28.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,4.0,21.0,5.25,0.0,155.0,93.0,1412.0,15.18,16.0,0.0,,16.0,0.0,0.0,239.0,332.3,335.3,285.8,110.0,2.0,,2001
Corey Dillon*,CIN,RB,27.0,16.0,16.0,0.0,1.0,0.0,0.0,1.0,340.0,1315.0,3.87,10.0,61.0,34.0,228.0,6.71,3.0,5.0,3.0,13.0,0.0,0.0,230.0,258.3,268.3,242.3,95.0,6.0,,2001
Jeff Garcia*,SFO,QB,31.0,16.0,16.0,316.0,504.0,3538.0,32.0,12.0,72.0,254.0,3.53,5.0,0.0,0.0,0.0,0.0,0.0,9.0,3.0,5.0,0.0,2.0,305.0,298.9,319.9,310.9,95.0,1.0,,2001
Kurt Warner*+,STL,QB,30.0,16.0,16.0,375.0,546.0,4830.0,36.0,22.0,28.0,60.0,2.14,0.0,0.0,0.0,0.0,0.0,0.0,10.0,4.0,0.0,0.0,1.0,301.0,293.2,322.2,315.2,91.0,2.0,,2001
LaDainian Tomlinson,SDG,RB,22.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,339.0,1236.0,3.65,10.0,74.0,59.0,367.0,6.22,0.0,8.0,5.0,10.0,0.0,0.0,220.0,269.3,280.3,239.8,85.0,7.0,,2001
Ricky Williams,NOR,RB,24.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,313.0,1245.0,3.98,6.0,88.0,60.0,511.0,8.52,1.0,8.0,6.0,7.0,0.0,0.0,218.0,265.6,277.6,235.6,83.0,8.0,,2001
David Boston*+,ARI,WR,23.0,16.0,15.0,0.0,0.0,0.0,0.0,0.0,5.0,35.0,7.0,0.0,175.0,98.0,1598.0,16.31,8.0,1.0,1.0,8.0,0.0,0.0,211.0,307.3,311.3,258.3,82.0,3.0,,2001
Antowain Smith,NWE,RB,29.0,16.0,15.0,0.0,0.0,0.0,0.0,0.0,287.0,1157.0,4.03,12.0,28.0,19.0,192.0,10.11,1.0,4.0,4.0,13.0,0.0,0.0,213.0,223.9,233.9,214.4,78.0,9.0,,2001
Rod Smith*,DEN,WR,31.0,15.0,14.0,0.0,0.0,0.0,0.0,0.0,3.0,27.0,9.0,0.0,172.0,113.0,1343.0,11.88,11.0,1.0,,11.0,1.0,0.0,205.0,318.0,321.0,261.5,76.0,4.0,,2001
Rich Gannon*,OAK,QB,36.0,16.0,16.0,361.0,549.0,3828.0,27.0,9.0,63.0,231.0,3.67,2.0,0.0,0.0,0.0,0.0,0.0,13.0,7.0,2.0,1.0,0.0,278.0,266.2,288.2,275.2,68.0,3.0,,2001
Steve McNair,TEN,QB,28.0,15.0,15.0,264.0,431.0,3350.0,21.0,12.0,75.0,414.0,5.52,5.0,0.0,0.0,0.0,0.0,0.0,5.0,3.0,5.0,0.0,3.0,271.0,265.4,286.4,277.4,61.0,4.0,,2001
Stephen Davis,WAS,RB,27.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,356.0,1432.0,4.02,5.0,37.0,28.0,205.0,7.32,0.0,6.0,3.0,5.0,1.0,0.0,196.0,217.7,226.7,203.7,61.0,10.0,,2001
