Player,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,TD,Int,Att.1,Yds.1,Y/A,TD.1,Rec,Yds.2,Y/R,TD.2,Fmb,FL,TD.3,2PM,2PP,FantPt,PPR,DKPt,FDPt,VBD,PosRank,Unnamed: 32,Year,Tgt
Eric Dickerson*+,RAM,RB,24.0,16.0,16.0,0.0,1.0,0.0,0.0,1.0,379.0,2105.0,5.55,14.0,21.0,139.0,6.62,0.0,14.0,,14.0,0.0,0.0,306.0,313.4,327.4,303.9,180.0,1.0,,1984,0.0
Dan Marino*+,MIA,QB,23.0,16.0,16.0,362.0,564.0,5084.0,48.0,17.0,28.0,-7.0,-0.25,0.0,0.0,0.0,0.0,0.0,6.0,,0.0,0.0,0.0,361.0,354.7,377.7,371.7,180.0,1.0,,1984,0.0
James Wilder*,TAM,RB,26.0,16.0,16.0,1.0,1.0,16.0,1.0,0.0,407.0,1544.0,3.79,13.0,85.0,685.0,8.06,0.0,10.0,,13.0,0.0,0.0,306.0,380.5,391.5,338.0,180.0,2.0,,1984,0.0
Marcus Allen*,RAI,RB,24.0,16.0,16.0,1.0,4.0,38.0,0.0,0.0,275.0,1168.0,4.25,13.0,64.0,758.0,11.84,5.0,8.0,,18.0,0.0,0.0,302.0,358.1,368.1,326.1,176.0,3.0,,1984,0.0
Walter Payton*+,CHI,RB,30.0,16.0,16.0,3.0,8.0,47.0,2.0,1.0,381.0,1684.0,4.42,11.0,45.0,368.0,8.18,0.0,5.0,,11.0,0.0,0.0,279.0,319.1,328.6,297.6,153.0,4.0,,1984,0.0
Mark Clayton*,MIA,WR,23.0,15.0,15.0,0.0,1.0,0.0,0.0,1.0,3.0,35.0,11.67,0.0,73.0,1389.0,19.03,18.0,2.0,,18.0,0.0,0.0,248.0,319.4,324.4,283.9,146.0,1.0,,1984,0.0
Gerald Riggs,ATL,RB,24.0,15.0,14.0,0.0,0.0,0.0,0.0,0.0,353.0,1486.0,4.21,13.0,42.0,277.0,6.6,0.0,11.0,,13.0,0.0,0.0,254.0,285.3,296.8,264.3,128.0,5.0,,1984,0.0
Roy Green*+,STL,WR,27.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,1.0,-10.0,-10.0,0.0,78.0,1555.0,19.94,12.0,1.0,,12.0,0.0,0.0,227.0,303.5,307.0,264.5,124.0,2.0,,1984,0.0
Neil Lomax*,STL,QB,25.0,16.0,16.0,345.0,560.0,4614.0,28.0,16.0,35.0,184.0,5.26,3.0,0.0,0.0,0.0,0.0,11.0,,3.0,0.0,0.0,301.0,290.0,317.5,306.0,120.0,2.0,,1984,0.0
John Stallworth*,PIT,WR,32.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,1395.0,17.44,11.0,1.0,,11.0,0.0,0.0,206.0,284.5,288.0,244.5,103.0,3.0,,1984,0.0
