Player,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,TD,Int,Att.1,Yds.1,Y/A,TD.1,Tgt,Rec,Yds.2,Y/R,TD.2,Fmb,FL,TD.3,2PM,2PP,FantPt,PPR,DKPt,FDPt,VBD,PosRank,Unnamed: 33,Year
Emmitt Smith*+,DAL,RB,25.0,15.0,15.0,0.0,0.0,0.0,0.0,0.0,368.0,1484.0,4.03,21.0,61.0,50.0,341.0,6.82,1.0,1.0,,22.0,0.0,0.0,315.0,364.5,370.5,339.5,187.0,1.0,,1994
Steve Young*+,SFO,QB,33.0,16.0,16.0,324.0,461.0,3969.0,35.0,10.0,58.0,293.0,5.05,7.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,7.0,0.0,2.0,354.0,348.1,367.1,358.1,173.0,1.0,,1994
Jerry Rice *+,SFO,WR,32.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,7.0,93.0,13.29,2.0,151.0,112.0,1499.0,13.38,13.0,1.0,1.0,15.0,1.0,0.0,251.0,361.2,365.2,305.2,139.0,1.0,,1994
Barry Sanders *+,DET,RB,26.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,331.0,1883.0,5.69,7.0,65.0,44.0,283.0,6.43,1.0,0.0,,8.0,0.0,0.0,265.0,308.6,314.6,286.6,137.0,2.0,,1994
Chris Warren*,SEA,RB,26.0,16.0,15.0,0.0,0.0,0.0,0.0,0.0,333.0,1545.0,4.64,9.0,61.0,41.0,323.0,7.88,2.0,5.0,4.0,11.0,1.0,0.0,255.0,287.8,297.8,267.3,127.0,3.0,,1994
Marshall Faulk*,IND,RB,21.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,314.0,1282.0,4.08,11.0,74.0,52.0,522.0,10.04,1.0,5.0,5.0,12.0,0.0,0.0,252.0,294.4,305.4,268.4,125.0,4.0,,1994
Brett Favre,GNB,QB,25.0,16.0,16.0,363.0,582.0,3882.0,33.0,14.0,42.0,202.0,4.81,2.0,0.0,0.0,0.0,0.0,0.0,7.0,5.0,2.0,0.0,1.0,293.0,283.5,308.5,297.5,112.0,2.0,,1994
Sterling Sharpe*,GNB,WR,29.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,3.0,15.0,5.0,0.0,159.0,94.0,1119.0,11.9,18.0,1.0,,18.0,0.0,0.0,221.0,315.4,318.4,268.4,109.0,2.0,,1994
Ben Coates*+,NWE,TE,25.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,148.0,96.0,1174.0,12.23,7.0,2.0,1.0,7.0,0.0,0.0,159.0,253.4,257.4,205.4,104.0,1.0,,1994
Natrone Means*,SDG,RB,22.0,16.0,16.0,0.0,1.0,0.0,0.0,0.0,343.0,1350.0,3.94,12.0,43.0,39.0,235.0,6.03,0.0,5.0,4.0,12.0,0.0,0.0,231.0,261.5,271.5,242.0,103.0,5.0,,1994
Ricky Watters*,SFO,RB,25.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,239.0,877.0,3.67,6.0,88.0,66.0,719.0,10.89,5.0,8.0,3.0,11.0,0.0,0.0,226.0,285.6,294.6,252.6,98.0,6.0,,1994
Dan Marino*,MIA,QB,33.0,16.0,16.0,385.0,615.0,4453.0,30.0,17.0,22.0,-6.0,-0.27,1.0,0.0,0.0,0.0,0.0,0.0,9.0,5.0,1.0,0.0,3.0,276.0,265.5,290.5,282.5,95.0,3.0,,1994
Terance Mathis*,ATL,WR,27.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,151.0,111.0,1342.0,12.09,11.0,0.0,,11.0,2.0,0.0,204.0,315.2,318.2,259.7,92.0,3.0,,1994
Andre Reed*,BUF,WR,30.0,16.0,16.0,1.0,1.0,32.0,0.0,0.0,10.0,87.0,8.7,0.0,143.0,90.0,1303.0,14.48,8.0,3.0,2.0,8.0,0.0,0.0,188.0,274.3,279.3,229.3,76.0,4.0,,1994
Shannon Sharpe*,DEN,TE,26.0,15.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,140.0,87.0,1010.0,11.61,4.0,1.0,1.0,4.0,2.0,0.0,129.0,214.0,218.0,170.5,74.0,2.0,,1994
Tim Brown*,RAI,WR,28.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142.0,89.0,1309.0,14.71,9.0,3.0,3.0,9.0,0.0,0.0,185.0,267.9,273.9,223.4,72.0,5.0,,1994
Thurman Thomas,BUF,RB,28.0,15.0,15.0,0.0,0.0,0.0,0.0,0.0,287.0,1093.0,3.81,7.0,71.0,50.0,349.0,6.98,2.0,1.0,1.0,9.0,0.0,0.0,198.0,246.2,253.2,221.2,71.0,7.0,,1994
Herman Moore*,DET,WR,25.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,132.0,72.0,1173.0,16.29,11.0,1.0,2.0,11.0,0.0,0.0,183.0,251.3,256.3,215.3,71.0,6.0,,1994
Brent Jones*,SFO,TE,31.0,15.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.0,49.0,670.0,13.67,9.0,1.0,1.0,9.0,1.0,0.0,123.0,170.0,174.0,145.5,68.0,3.0,,1994
Carl Pickens,CIN,WR,24.0,15.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,132.0,71.0,1127.0,15.87,11.0,1.0,,11.0,0.0,0.0,179.0,249.7,252.7,214.2,66.0,7.0,,1994
Henry Ellard,WAS,WR,33.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,1.0,-5.0,-5.0,0.0,150.0,74.0,1397.0,18.88,6.0,1.0,1.0,6.0,0.0,0.0,175.0,247.2,251.2,210.2,63.0,8.0,,1994
Irving Fryar*,MIA,WR,32.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,126.0,73.0,1270.0,17.4,7.0,0.0,,7.0,2.0,0.0,173.0,246.0,249.0,209.5,60.0,9.0,,1994
Leroy Hoard*,CLE,RB,26.0,16.0,12.0,0.0,0.0,0.0,0.0,0.0,209.0,890.0,4.26,5.0,68.0,45.0,445.0,9.89,4.0,8.0,5.0,9.0,0.0,0.0,188.0,222.5,233.5,200.0,60.0,8.0,,1994
Cris Carter *+,MIN,WR,29.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,188.0,122.0,1256.0,10.3,7.0,4.0,,7.0,2.0,0.0,172.0,293.6,296.6,232.6,59.0,10.0,,1994
Keith Jackson,MIA,TE,29.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.0,59.0,673.0,11.41,7.0,2.0,1.0,7.0,1.0,0.0,111.0,168.3,172.3,138.8,56.0,4.0,,1994
John Elway*,DEN,QB,34.0,14.0,14.0,307.0,494.0,3490.0,16.0,10.0,58.0,235.0,4.05,4.0,1.0,0.0,0.0,0.0,0.0,11.0,7.0,4.0,0.0,2.0,235.0,221.1,244.1,231.1,54.0,4.0,,1994
Harvey Williams,RAI,RB,27.0,16.0,10.0,0.0,0.0,0.0,0.0,0.0,282.0,983.0,3.49,4.0,64.0,47.0,391.0,8.32,3.0,4.0,2.0,7.0,1.0,0.0,181.0,224.4,232.4,200.9,54.0,9.0,,1994
Drew Bledsoe*,NWE,QB,22.0,16.0,16.0,400.0,691.0,4555.0,25.0,27.0,44.0,40.0,0.91,0.0,0.0,0.0,0.0,0.0,0.0,9.0,5.0,0.0,0.0,0.0,232.0,222.2,257.2,249.2,51.0,5.0,,1994
