Player,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,TD,Int,Att.1,Yds.1,Y/A,TD.1,Tgt,Rec,Yds.2,Y/R,TD.2,Fmb,FL,TD.3,2PM,2PP,FantPt,PPR,DKPt,FDPt,VBD,PosRank,Unnamed: 33,Year
Emmitt Smith*+,DAL,RB,23.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,373.0,1713.0,4.59,18.0,74.0,59.0,335.0,5.68,1.0,4.0,,19.0,0.0,0.0,319.0,373.8,381.8,344.3,209.0,1.0,,1992
Thurman Thomas*,BUF,RB,26.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,312.0,1487.0,4.77,9.0,87.0,58.0,626.0,10.79,3.0,6.0,,12.0,0.0,0.0,283.0,335.3,344.3,306.3,174.0,2.0,,1992
Barry Foster *+,PIT,RB,24.0,16.0,15.0,0.0,1.0,0.0,0.0,0.0,390.0,1690.0,4.33,11.0,50.0,36.0,344.0,9.56,0.0,9.0,,11.0,0.0,0.0,269.0,296.4,306.9,278.4,160.0,3.0,,1992
Terry Allen,MIN,RB,24.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,266.0,1201.0,4.52,13.0,70.0,49.0,478.0,9.76,2.0,9.0,,15.0,0.0,0.0,258.0,297.9,308.4,273.4,148.0,4.0,,1992
Steve Young*+,SFO,QB,31.0,16.0,16.0,268.0,402.0,3465.0,25.0,7.0,76.0,537.0,7.07,4.0,,0.0,0.0,0.0,0.0,9.0,,4.0,0.0,0.0,302.0,293.3,310.8,300.3,136.0,1.0,,1992
Sterling Sharpe*+,GNB,WR,27.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,4.0,8.0,2.0,0.0,162.0,108.0,1461.0,13.53,13.0,2.0,,13.0,0.0,0.0,225.0,330.9,334.9,276.9,132.0,1.0,,1992
Lorenzo White*,HOU,RB,26.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,265.0,1226.0,4.63,7.0,77.0,57.0,641.0,11.25,1.0,2.0,,8.0,0.0,0.0,235.0,289.7,296.7,261.2,125.0,5.0,,1992
Rodney Hampton *,NYG,RB,23.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,257.0,1141.0,4.44,14.0,38.0,28.0,215.0,7.68,0.0,1.0,,14.0,0.0,0.0,220.0,246.6,253.1,232.6,110.0,6.0,,1992
Barry Sanders *,DET,RB,24.0,16.0,16.0,0.0,1.0,0.0,0.0,0.0,312.0,1352.0,4.33,9.0,40.0,29.0,225.0,7.76,1.0,6.0,,10.0,0.0,0.0,218.0,240.7,249.7,226.2,108.0,7.0,,1992
Jerry Rice *+,SFO,WR,30.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,9.0,58.0,6.44,1.0,139.0,84.0,1201.0,14.3,10.0,2.0,,11.0,0.0,0.0,192.0,273.9,277.9,231.9,99.0,2.0,,1992
Ricky Watters*,SFO,RB,23.0,14.0,13.0,0.0,1.0,0.0,0.0,0.0,206.0,1013.0,4.92,9.0,52.0,43.0,405.0,9.42,2.0,2.0,,11.0,0.0,0.0,208.0,248.8,255.8,227.3,98.0,8.0,,1992
Cleveland Gary,RAM,RB,26.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,279.0,1125.0,4.03,7.0,55.0,52.0,293.0,5.63,3.0,9.0,,10.0,0.0,0.0,202.0,244.8,255.3,218.8,92.0,9.0,,1992
Michael Irvin*,DAL,WR,26.0,16.0,14.0,0.0,0.0,0.0,0.0,0.0,1.0,-9.0,-9.0,0.0,122.0,78.0,1396.0,17.9,7.0,1.0,,7.0,0.0,0.0,181.0,257.7,261.2,218.7,88.0,3.0,,1992
Andre Rison*,ATL,WR,25.0,15.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,144.0,93.0,1119.0,12.03,11.0,2.0,,11.0,0.0,0.0,178.0,268.9,272.9,222.4,85.0,4.0,,1992
Herschel Walker,PHI,RB,30.0,16.0,16.0,0.0,1.0,0.0,0.0,0.0,267.0,1070.0,4.01,8.0,47.0,38.0,278.0,7.32,2.0,6.0,,10.0,0.0,0.0,195.0,226.8,235.8,207.8,85.0,10.0,,1992
Randall Cunningham,PHI,QB,29.0,15.0,15.0,233.0,384.0,2775.0,19.0,11.0,87.0,549.0,6.31,5.0,1.0,0.0,0.0,0.0,0.0,13.0,,5.0,0.0,0.0,250.0,236.9,260.4,247.9,84.0,2.0,,1992
Reggie Cobb,TAM,RB,24.0,16.0,13.0,0.0,0.0,0.0,0.0,0.0,310.0,1171.0,3.78,9.0,25.0,21.0,156.0,7.43,0.0,3.0,,9.0,0.0,0.0,187.0,204.7,212.2,194.2,77.0,11.0,,1992
