,Player,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,Y/A,TD,Rec,Yds,Y/R,TD,Fmb,FL,TD,2PM,2PP,FantPt,PPR,DKPt,FDPt,VBD,PosRank,OvRank,
60,Ken Burrough,HOU,WR,24,14,11,0,0,0,0,0,0,0,,0,26,521,20.04,4,0,,4,,,76,102.1,105.1,89.1,10,23,59,
61,Rk,Player,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,Y/A,TD,Rec,Yds,Y/R,TD,Fmb,FL,TD,2PM,2PP,FantPt,PPR,DKPt,FDPt,VBD,PosRank,OvRank
62,Frank Lewis,PIT,WR,25,13,8,0,0,0,0,0,3,68,22.67,0,27,391,14.48,5,1,,5,,,76,101.9,105.4,88.4,10,24,60,
63,Eddie Bell,NYJ,WR,26,13,13,0,0,0,0,0,1,-5,-5.00,0,35,629,17.97,2,1,,2,,,74,108.4,111.9,90.9,8,25,61,
64,Daryle Lamonica*,OAK,QB,31,14,13,149,281,1998,18,12,10,33,3.30,0,0,0,,0,5,,0,,,131,126.2,143.7,138.2,8,10,62,
65,Bob Trumpy,CIN,TE,27,12,12,0,0,0,0,0,0,0,,0,44,500,11.36,2,0,,2,,,62,106.0,109.0,84.0,7,9,63,
66,Doug Dressler,CIN,RB,24,14,10,0,0,0,0,0,128,565,4.41,6,39,348,8.92,1,4,,7,,,133,168.3,176.3,148.8,7,20,64,
67,Don Herrmann,NYG,WR,25,14,14,0,0,0,0,0,3,9,3.00,0,28,422,15.07,5,0,,5,,,73,101.1,104.1,87.1,7,26,65,
68,Roy Jefferson,WAS,WR,29,14,14,0,0,0,0,0,0,0,,0,35,550,15.71,3,1,,3,,,73,107.0,110.5,89.5,7,27,66,
69,Ahmad Rashad,STL,WR,23,14,13,0,0,0,0,0,9,44,4.89,0,29,500,17.24,3,5,,3,,,72,96.4,101.9,81.9,6,28,67,
70,Ed Podolak,KAN,RB,25,13,10,0,0,0,0,0,171,615,3.60,4,46,345,7.50,2,10,,6,,,132,168.0,179.0,145.0,5,21,68,
71,Leroy Kelly,CLE,RB,30,14,14,0,1,0,0,0,224,811,3.62,4,23,204,8.87,1,4,,5,,,132,150.5,158.5,139.0,5,22,69,
72,Milt Morin,CLE,TE,30,14,14,0,0,0,0,0,0,0,,0,30,540,18.00,1,0,,1,,,60,90.0,93.0,75.0,5,10,70,
73,Craig Morton,DAL,QB,29,14,14,185,339,2396,15,21,8,26,3.25,2,0,0,,0,4,,2,,,128,124.4,150.4,145.4,5,11,71,
74,Bob Newland,NOR,WR,24,14,10,0,0,0,0,0,0,0,,0,47,579,12.32,2,1,,2,,,70,115.9,119.4,92.4,3,29,72,
75,MacArthur Lane,GNB,RB,30,14,14,2,2,19,0,0,177,821,4.64,3,26,285,10.96,0,6,,3,,,129,149.4,158.4,136.4,2,23,73,
76,Steve Spurrier,SFO,QB,27,13,9,147,269,1983,18,16,11,51,4.64,0,0,0,,0,2,,0,,,124,122.4,142.4,138.4,,12,74,
77,Billy Masters,DEN,TE,28,14,14,0,0,0,0,0,3,-15,-5.00,0,25,393,15.72,3,1,,3,,,56,79.8,83.3,67.3,,13,75,
78,Jim Bertelsen,RAM,RB,22,14,7,0,0,0,0,0,123,581,4.72,5,29,331,11.41,1,4,,6,,,127,152.2,160.2,137.7,,24,76,
79,Earl Thomas,CHI,TE,24,14,14,0,0,0,0,0,5,13,2.60,0,20,365,18.25,3,1,,4,,,56,80.8,84.3,70.8,,12,77,
80,Jackie Smith,STL,TE,32,14,14,0,2,0,0,0,5,31,6.20,0,26,407,15.65,2,0,,2,,,56,81.8,84.8,68.8,,11,78,
81,Willie Ellison,RAM,RB,27,13,12,0,0,0,0,0,170,764,4.49,5,23,141,6.13,1,3,,6,,,127,146.5,154.0,135.0,,26,,
82,Altie Taylor,DET,RB,25,13,12,0,0,0,0,0,154,658,4.27,4,29,250,8.62,2,2,,6,,,127,153.8,160.8,139.3,,25,,
83,Donny Anderson,STL,RB,29,14,13,2,3,71,0,0,153,536,3.50,4,28,298,10.64,2,6,,6,,,122,144.2,153.2,130.2,,27,,
84,John Hadl*,SDG,QB,32,14,14,190,370,2449,15,26,22,99,4.50,1,1,4,4.00,0,7,,1,,,122,116.3,148.8,141.8,,13,,
85,Billy Kilmer*,WAS,QB,33,12,10,120,225,1648,19,11,3,-3,-1.00,0,0,0,,0,1,,0,,,120,118.6,133.1,129.6,,14,,
86,Ken Anderson,CIN,QB,23,13,13,171,301,1918,7,7,22,94,4.27,3,0,0,,0,5,,3,,,118,113.1,125.6,120.1,,15,,
87,Carl Garrett,NWE,RB,25,10,6,0,1,0,0,1,131,488,3.73,5,30,410,13.67,0,5,,5,,,118,142.8,152.3,128.8,,28,,
88,Don McCauley,BAL,RB,23,14,10,0,0,0,0,0,178,675,3.79,2,30,256,8.53,2,2,,5,,,117,151.1,158.1,136.1,,29,,
89,Vic Washington,SFO,RB,26,13,13,0,0,0,0,0,141,468,3.32,3,43,393,9.14,1,7,,5,,,110,152.1,161.6,130.6,,30,,
90,Len Dawson,KAN,QB,37,14,12,175,305,1835,13,12,15,75,5.00,0,0,0,,0,2,,0,,,109,106.9,122.9,118.9,,16,,
91,Marty Domres,BAL,QB,25,12,9,115,222,1392,11,6,30,137,4.57,1,0,0,,0,4,,1,,,107,103.4,117.4,109.4,,17,,
92,Rk,Player,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,Y/A,TD,Rec,Yds,Y/R,TD,Fmb,FL,TD,2PM,2PP,FantPt,PPR,DKPt,FDPt,VBD,PosRank,OvRank
93,Roman Gabriel,RAM,QB,32,14,12,165,323,2027,12,15,14,16,1.14,1,0,0,,0,6,,1,,,107,100.7,121.7,115.7,,18,,
94,John Fuqua,PIT,RB,26,13,13,0,0,0,0,0,150,665,4.43,4,18,152,8.44,0,1,,4,,,106,122.7,129.2,113.7,,31,,
95,Jim Braxton,BUF,RB,23,14,13,0,0,0,0,0,116,453,3.91,5,24,232,9.67,1,2,,6,,,105,126.5,133.5,114.5,,32,,
96,Dan Pastorini,HOU,QB,23,14,12,144,299,1711,7,12,38,205,5.39,2,0,0,,0,6,,2,,,105,98.9,119.9,110.9,,19,,
97,Bill Brown,MIN,RB,34,14,0,0,0,0,0,0,82,263,3.21,4,22,298,13.55,4,4,,8,,,104,122.1,130.1,111.1,,33,,
98,Charlie Harraway,WAS,RB,28,14,14,0,0,0,0,0,148,567,3.83,6,15,105,7.00,0,2,,6,,,103,116.2,123.2,108.7,,34,,
99,Jim Kiick,MIA,RB,26,14,3,0,0,0,0,0,137,521,3.80,5,21,147,7.00,1,3,,6,,,103,120.8,128.3,110.3,,35,,
100,Dennis Shaw,BUF,QB,25,14,13,136,258,1666,14,17,35,138,3.94,0,0,0,,0,6,,0,,,102,96.4,122.4,113.4,,20,,
101,Wendell Hayes,KAN,RB,32,13,12,0,0,0,0,0,128,536,4.19,0,31,295,9.52,3,0,,3,,,101,132.1,138.1,116.6,,36,,
102,Josh Ashton,NWE,RB,23,14,12,0,0,0,0,0,128,546,4.27,3,22,207,9.41,1,3,,4,,,99,118.3,125.8,107.3,,37,,
103,Charley Johnson,DEN,QB,34,12,9,132,238,1783,14,14,3,0,0.00,0,0,0,,0,4,,0,,,99,95.3,114.3,109.3,,21,,
104,Jim Plunkett,NWE,QB,25,14,14,169,355,2196,8,25,36,230,6.39,1,0,0,,0,6,,1,,,99,92.8,126.8,117.8,,22,,
105,Johnny Roland,STL,RB,29,14,9,0,0,0,0,0,105,414,3.94,2,38,321,8.45,2,7,,4,,,98,128.5,138.0,109.5,,38,,
106,Earl Morrall+,MIA,QB,38,14,9,83,150,1360,11,7,17,67,3.94,1,0,0,,0,3,,1,,,97,94.1,105.6,101.1,,23,,
107,Oscar Reed,MIN,RB,28,14,14,0,0,0,0,0,151,639,4.23,2,30,205,6.83,0,7,,2,,,96,119.4,128.9,104.4,,39,,
108,Scott Hunter,GNB,QB,25,14,14,86,199,1252,6,9,22,37,1.68,5,0,0,,0,5,,5,,,90,84.8,99.3,93.8,,24,,
109,Larry Schreiber,SFO,RB,25,14,3,0,0,0,0,0,118,420,3.56,2,31,283,9.13,1,4,,3,,,88,115.3,123.3,99.8,,40,,
110,Steve Owens,DET,RB,25,10,9,0,0,0,0,0,143,519,3.63,4,15,100,6.67,0,0,,4,,,86,100.9,106.9,93.4,,43,,
111,Bo Scott,CLE,RB,29,12,12,0,0,0,0,0,123,571,4.64,2,23,172,7.48,0,2,,2,,,86,107.3,114.3,95.8,,42,,
112,Fred Willis,2TM,RB,25,13,12,1,4,16,0,1,134,461,3.44,0,45,297,6.60,2,3,,2,,,86,128.4,136.9,106.9,,41,,
113,Don Nottingham,BAL,RB,23,14,11,0,0,0,0,0,123,466,3.79,3,25,191,7.64,0,6,,3,,,84,102.7,111.7,90.2,,44,,
114,Jim Harrison,CHI,RB,24,14,14,0,0,0,0,0,167,622,3.72,2,8,30,3.75,1,7,,3,,,83,84.2,90.7,80.2,,45,,
115,Clarence Davis,OAK,RB,23,11,0,0,0,0,0,0,71,363,5.11,6,8,82,10.25,0,4,,6,,,81,84.5,89.5,80.5,,46,,
116,John Reaves,PHI,QB,22,11,7,108,224,1508,7,12,18,109,6.06,1,0,0,,0,5,,1,,,81,76.2,96.7,88.2,,25,,
117,Charlie Evans,NYG,RB,24,8,8,0,0,0,0,0,91,317,3.48,4,26,182,7.00,1,6,,5,,,80,99.9,108.9,86.9,,47,,
118,Po James,PHI,RB,23,14,14,0,0,0,0,0,182,565,3.10,0,20,156,7.80,1,6,,1,,,78,92.1,101.1,82.1,,48,,
119,Ken Willard,SFO,RB,29,14,11,0,0,0,0,0,100,345,3.45,4,24,131,5.46,1,3,,5,,,78,98.6,106.1,86.6,,49,,
120,Bob Gresham,NOR,RB,24,14,9,0,1,0,0,0,121,381,3.15,3,29,192,6.62,0,5,,3,,,75,99.3,107.8,84.8,,50,,
121,Paul Robinson,2TM,RB,28,12,7,0,0,0,0,0,107,449,4.20,3,14,112,8.00,0,0,,3,,,74,88.1,94.1,81.1,,51,,
122,Bob Thomas,RAM,RB,24,14,5,0,0,0,0,0,77,433,5.62,3,11,95,8.64,0,1,,3,,,71,80.8,84.3,75.3,,52,,
123,Rk,Player,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,Y/A,TD,Rec,Yds,Y/R,TD,Fmb,FL,TD,2PM,2PP,FantPt,PPR,DKPt,FDPt,VBD,PosRank,OvRank
124,Bobby Anderson,DEN,RB,25,9,9,1,3,14,1,0,72,319,4.43,1,23,215,9.35,1,2,,2,,,70,91.0,98.0,79.5,,53,,
125,Walker Gillette,STL,WR,25,14,13,0,0,0,0,0,0,0,,0,33,550,16.67,2,1,,2,,,67,99.0,102.5,82.5,,30,,
126,Ron Jessie,DET,WR,24,14,14,0,1,0,0,0,0,0,,0,24,424,17.67,4,2,,4,,,66,88.4,92.4,76.4,,31,,
127,Haven Moses,2TM,WR,26,13,6,0,0,0,0,0,2,11,5.50,0,18,284,15.78,6,0,,6,,,66,83.5,86.5,74.5,,32,,
128,Rich Houston,NYG,WR,27,14,14,0,0,0,0,0,0,0,,0,27,468,17.33,3,1,,3,,,65,90.8,94.3,77.3,,33,,
129,Larry Smith,RAM,RB,25,12,3,0,0,0,0,0,60,276,4.60,2,15,186,12.40,1,1,,3,,,64,78.2,84.7,70.7,,54,,
130,John Brodie,SFO,QB,37,6,5,70,110,905,9,8,3,8,2.67,1,0,0,,0,0,,1,,,63,63.0,74.0,71.0,,26,,
131,Don Maynard,NYJ,WR,37,14,14,0,0,0,0,0,0,0,,0,29,510,17.59,2,0,,2,,,63,92.0,95.0,77.5,,34,,
132,Joe Dawkins,DEN,RB,24,14,5,0,0,0,0,0,56,243,4.34,2,18,242,13.44,0,3,,2,,,61,75.5,83.0,66.5,,56,,
133,Dave Osborn,MIN,RB,29,14,5,0,0,0,0,0,82,261,3.18,2,20,166,8.30,1,3,,3,,,61,77.7,85.2,67.7,,55,,
134,Bill Butler,NOR,RB,22,14,9,0,0,0,0,0,54,233,4.31,0,25,226,9.04,2,3,,2,,,58,79.9,87.4,67.4,,57,,
135,Ben Hawkins,PHI,WR,28,14,14,0,0,0,0,0,3,0,0.00,0,30,512,17.07,1,0,,1,,,57,87.2,90.2,72.2,,36,,
136,Charlie Joiner,2TM,WR,25,12,10,0,0,0,0,0,3,14,4.67,0,24,439,18.29,2,2,,2,,,57,79.3,83.3,67.3,,35,,
137,Fair Hooker,CLE,WR,25,14,14,0,0,0,0,0,0,0,,0,32,441,13.78,2,0,,2,,,56,88.1,91.1,72.1,,37,,
138,Lance Rentzel,RAM,WR,29,14,14,0,0,0,0,0,7,71,10.14,1,27,365,13.52,1,1,,2,,,56,81.6,85.1,68.1,,38,,
139,Marlin Briscoe,MIA,WR,27,10,3,3,3,72,0,0,0,0,,0,16,279,17.44,4,0,,4,,,55,70.8,73.8,62.8,,39,,
140,Charlie Sanders,DET,TE,26,9,8,0,0,0,0,0,0,0,,0,27,416,15.41,2,1,,2,,,54,79.6,83.1,66.1,,14,,
141,Howard Twilley,MIA,WR,29,13,11,0,0,0,0,0,0,0,,0,20,364,18.20,3,0,,3,,,54,74.4,77.4,64.4,,40,,
142,Mel Farr,DET,RB,28,10,4,0,0,0,0,0,62,216,3.48,3,10,132,13.20,0,0,,3,,,53,62.8,68.8,57.8,,58,,
143,Don Shy,CHI,RB,27,13,7,0,0,0,0,0,91,342,3.76,1,10,109,10.90,0,5,,1,,,51,56.1,64.6,51.1,,59,,
144,Dave Williams,SDG,WR,27,12,6,0,0,0,0,0,1,14,14.00,0,14,315,22.50,3,0,,3,,,51,64.9,67.9,57.9,,41,,
145,Ed Marinaro,MIN,RB,22,10,6,0,0,0,0,0,66,223,3.38,0,28,218,7.79,1,4,,1,,,50,74.1,82.1,60.1,,60,,
146,Steve Ramsey,DEN,QB,24,9,5,65,137,1050,3,9,6,15,2.50,2,0,0,,0,5,,2,,,50,44.5,59.0,53.5,,28,,
147,Johnny Unitas,BAL,QB,39,8,5,88,157,1111,4,6,3,15,5.00,0,0,0,,0,3,,0,,,50,46.9,57.4,52.9,,27,,
148,George Farmer,CHI,WR,24,14,14,0,0,0,0,0,2,-13,-6.50,0,14,380,27.14,2,0,,2,,,49,62.7,65.7,55.7,,43,,
149,Cyril Pinder,CHI,RB,26,13,7,0,0,0,0,0,87,300,3.45,3,1,13,13.00,0,4,,3,,,49,46.3,51.3,45.8,,61,,
150,Randy Vataha,NWE,WR,24,14,14,0,0,0,0,0,0,0,,0,25,369,14.76,2,0,,2,,,49,73.9,76.9,61.4,,42,,
151,Lydell Mitchell,BAL,RB,23,11,1,0,0,0,0,0,45,215,4.78,1,18,147,8.17,1,3,,2,,,48,63.2,70.7,54.2,,62,,
152,Willie Frazier,KAN,TE,30,14,7,0,0,0,0,0,0,0,,0,13,172,13.23,5,0,,5,,,47,60.2,63.2,53.7,,15,,
153,Jim Hart,STL,QB,28,6,3,60,119,857,5,5,9,17,1.89,0,0,0,,0,3,,0,,,46,43.0,52.5,48.0,,29,,
154,Rk,Player,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,Y/A,TD,Rec,Yds,Y/R,TD,Fmb,FL,TD,2PM,2PP,FantPt,PPR,DKPt,FDPt,VBD,PosRank,OvRank
155,Jimmy Thomas,SFO,RB,25,14,1,0,0,0,0,0,52,250,4.81,1,15,148,9.87,0,3,,1,,,46,57.8,65.3,50.3,,63,,
156,Virgil Carter,CIN,QB,27,10,1,47,82,579,3,4,12,57,4.75,2,0,0,,0,2,,2,,,45,42.9,50.9,46.9,,30,,
157,Mike Livingston,KAN,QB,27,5,2,41,78,480,7,8,14,133,9.50,0,0,0,,0,0,,0,,,45,44.5,58.5,52.5,,31,,
158,Riley Odoms,DEN,TE,22,14,0,0,0,0,0,0,5,72,14.40,0,21,320,15.24,1,1,,1,,,45,65.2,68.7,54.7,,16,,
159,Mike Adamle,KAN,RB,23,14,4,0,0,0,0,0,73,303,4.15,1,15,76,5.07,0,3,,1,,,44,55.9,60.4,48.4,,64,,
160,Tony Baker,PHI,RB,27,13,6,0,0,0,0,0,90,322,3.58,0,16,114,7.13,0,2,,0,,,44,57.6,64.6,49.6,,65,,
161,Bob Windsor,NWE,TE,30,14,14,0,0,0,0,0,1,-4,-4.00,0,33,383,11.61,1,1,,1,,,44,75.9,79.4,59.4,,17,,
162,Brian Dowling,NWE,QB,25,14,0,29,54,383,2,1,7,35,5.00,3,0,0,,0,0,,3,,,43,42.8,46.8,43.8,,32,,
163,Jerome Barkum,NYJ,TE,22,14,1,0,0,0,0,0,0,0,,0,16,304,19.00,2,1,,2,,,42,57.4,60.9,49.4,,18,,
164,Bob Griese,MIA,QB,27,6,5,53,97,638,4,4,3,11,3.67,1,0,0,,0,0,,1,,,41,40.6,47.6,44.6,,33,,
165,Harold Carmichael,PHI,WR,23,13,2,0,0,0,0,0,0,0,,0,20,276,13.80,2,1,,2,,,40,58.6,62.1,48.6,,45,,
166,Wes Chesson,ATL,WR,23,13,13,0,0,0,0,0,0,0,,0,18,338,18.78,1,0,,1,,,40,57.8,60.8,48.8,,44,,
167,Otto Stowe,MIA,WR,23,9,3,0,0,0,0,0,0,0,,0,13,276,21.23,2,0,,2,,,40,52.6,55.6,46.1,,46,,
168,Pete Liske,PHI,QB,30,14,7,71,138,973,3,7,7,20,2.86,0,0,0,,0,3,,0,,,39,35.9,47.4,42.9,,34,,
169,Cliff McClain,NYJ,RB,25,13,4,0,1,0,0,0,59,305,5.17,0,6,88,14.67,0,5,,0,,,39,40.3,45.8,37.3,,66,,
170,Jim O'Brien,BAL,WR,25,14,8,0,0,0,0,0,3,9,3.00,0,11,263,23.91,2,0,,2,,,39,113.2,53.2,109.7,,47,,
