,Player,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,Y/A,TD,Rec,Yds,Y/R,TD,Fmb,FL,TD,2PM,2PP,FantPt,PPR,DKPt,FDPt,VBD,PosRank,OvRank,
1,Ron Johnson*,NYG,RB,25,14,14,0,1,0,0,0,298,1182,3.97,9,45,451,10.02,5,3,,14,,,247,289.3,296.8,266.8,137,1,1,
2,Larry Brown*+,WAS,RB,25,12,12,0,0,0,0,0,285,1216,4.27,8,32,473,14.78,4,9,,12,,,241,263.9,274.4,247.9,130,2,2,
3,Greg Landry,DET,QB,26,14,14,134,268,2066,18,17,81,524,6.47,9,0,0,,0,3,,9,,,229,224.0,248.5,241.0,120,1,3,
4,Gene Washington*+,SFO,WR,25,14,14,0,0,0,0,0,0,0,,0,46,918,19.96,12,0,,12,,,164,209.8,212.8,186.8,111,1,4,
5,Rich Caster*,NYJ,TE,24,14,13,0,0,0,0,0,2,6,3.00,0,39,833,21.36,10,0,,10,,,144,182.9,185.9,163.4,101,1,5,
6,Bobby Douglass,CHI,QB,25,14,14,75,198,1246,9,12,141,968,6.87,8,0,0,,0,9,,8,,,209,197.6,220.1,209.6,96,2,6,
7,John Gilliam*,MIN,WR,27,14,14,0,0,0,0,0,8,14,1.75,0,47,1035,22.02,7,2,,7,,,147,191.9,195.9,168.4,91,2,7,
8,Floyd Little,DEN,RB,30,14,14,2,2,43,1,0,216,859,3.98,9,28,367,13.11,4,4,,13,,,206,230.3,238.3,216.3,90,3,8,
9,Ted Kwalick*+,SFO,TE,25,14,14,0,0,0,0,0,5,11,2.20,0,40,751,18.78,9,2,,9,,,130,168.2,172.2,148.2,85,2,9,
10,Calvin Hill*,DAL,RB,25,14,14,1,3,55,1,0,245,1036,4.23,6,43,364,8.47,3,7,,9,,,200,236.2,245.7,214.7,83,4,10,
11,Art Malone,ATL,RB,24,14,14,0,0,0,0,0,180,798,4.43,8,50,585,11.70,2,10,,10,,,198,238.3,249.3,213.3,81,5,11,
12,Harold Jackson*,PHI,WR,26,14,14,0,0,0,0,0,9,76,8.44,0,62,1048,16.90,4,2,,4,,,136,196.4,200.4,165.4,79,3,12,
13,Archie Manning,NOR,QB,23,14,14,230,448,2781,18,21,63,351,5.57,2,0,0,,0,9,,2,,,188,179.3,210.8,200.3,73,3,13,
14,Franco Harris*,PIT,RB,22,14,10,0,0,0,0,0,188,1055,5.61,10,21,180,8.57,1,7,,11,,,190,203.5,213.0,193.0,71,6,14,
15,O.J. Simpson*+,BUF,RB,25,14,14,5,8,113,1,0,292,1251,4.28,6,27,198,7.33,0,8,,6,,,189,208.4,218.4,194.9,71,7,15,
16,Mercury Morris *,MIA,RB,25,14,11,0,0,0,0,0,190,1000,5.26,12,15,168,11.20,0,8,,12,,,189,195.8,205.8,188.3,70,8,16,
17,Fred Biletnikoff+,OAK,WR,29,14,14,0,0,0,0,0,0,0,,0,58,802,13.83,7,0,,7,,,122,180.2,183.2,151.2,63,4,17,
18,John Brockington *,GNB,RB,24,14,14,0,0,0,0,0,274,1027,3.75,8,19,243,12.79,1,4,,9,,,181,196.0,204.0,186.5,61,9,18,
19,Otis Taylor*,KAN,WR,30,14,12,0,0,0,0,0,5,13,2.60,0,57,821,14.40,6,2,,6,,,119,174.4,178.4,145.9,60,5,19,
20,Terry Bradshaw,PIT,QB,24,14,14,147,308,1887,12,12,58,346,5.97,7,0,0,,0,4,,7,,,176,172.1,192.1,184.1,59,4,20,
21,Bob Tucker,NYG,TE,27,14,14,0,0,0,0,0,3,6,2.00,1,55,764,13.89,4,4,,5,,,107,158.0,163.0,130.5,59,3,21,
22,Walt Garrison*,DAL,RB,28,14,14,0,0,0,0,0,167,784,4.69,7,37,390,10.54,3,6,,10,,,177,208.4,217.4,189.9,57,10,22,
23,Raymond Chester*,OAK,TE,24,13,11,0,0,0,0,0,1,3,3.00,0,34,576,16.94,8,0,,8,,,106,139.9,142.9,122.9,57,4,23,
24,Gary Garrison*,SDG,WR,28,14,13,0,0,0,0,0,2,-6,-3.00,0,52,744,14.31,7,0,,7,,,116,167.8,170.8,141.8,56,6,24,
25,Charley Taylor*,WAS,WR,31,14,14,0,0,0,0,0,3,39,13.00,0,49,673,13.73,7,1,,7,,,113,161.2,164.7,136.7,53,7,25,
26,Frank Pitts,CLE,WR,29,14,13,0,0,0,0,0,3,29,9.67,0,36,620,17.22,8,0,,8,,,113,148.9,151.9,130.9,52,8,26,
27,Fran Tarkenton,MIN,QB,32,14,14,215,378,2651,18,13,27,180,6.67,0,0,0,,0,3,,0,,,170,167.0,187.5,180.0,52,5,27,
28,Mike Garrett,SDG,RB,28,14,14,0,1,0,0,0,272,1031,3.79,6,31,245,7.90,1,8,,7,,,170,192.6,202.6,177.1,48,11,28,
29,Danny Abramowicz,NOR,WR,27,13,13,0,0,0,0,0,0,0,,0,38,668,17.58,7,1,,7,,,109,145.8,149.3,126.8,48,9,29,
30,Rk,Player,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,Y/A,TD,Rec,Yds,Y/R,TD,Fmb,FL,TD,2PM,2PP,FantPt,PPR,DKPt,FDPt,VBD,PosRank,OvRank
31,J.D. Hill*,BUF,WR,24,14,14,0,0,0,0,0,1,11,11.00,0,52,754,14.50,5,1,,5,,,107,157.5,161.0,131.5,45,10,30,
32,Dave Hampton,ATL,RB,25,13,11,0,0,0,0,0,230,995,4.33,6,23,244,10.61,1,9,,7,,,166,179.9,190.4,168.4,44,12,31,
33,Cid Edwards,SDG,RB,29,12,12,0,0,0,0,0,157,679,4.32,5,40,557,13.93,2,4,,7,,,166,201.6,209.6,181.6,44,13,32,
34,John Riggins,NYJ,RB,23,12,11,0,0,0,0,0,207,944,4.56,7,21,230,10.95,1,2,,8,,,165,184.4,191.4,173.9,44,14,33,
35,Charlie Smith,OAK,RB,26,14,13,0,0,0,0,0,170,686,4.04,8,28,353,12.61,2,2,,10,,,164,189.9,196.9,175.9,42,15,34,
36,Dave Parks,NOR,TE,31,12,9,0,0,0,0,0,1,-7,-7.00,0,32,542,16.94,6,0,,6,,,90,121.5,124.5,105.5,39,5,35,
37,Essex Johnson,CIN,RB,26,14,11,0,0,0,0,0,212,825,3.89,4,29,420,14.48,2,4,,6,,,161,185.5,193.5,171.0,38,16,36,
38,Sam Havrilak,BAL,WR,25,14,14,0,1,0,0,0,12,72,6.00,2,33,571,17.30,4,0,,6,,,100,133.3,136.3,116.8,38,11,37,
39,Mike Phipps,CLE,QB,25,14,13,144,305,1994,13,16,60,256,4.27,5,0,0,,0,8,,5,,,155,147.4,173.4,163.4,35,6,38,
40,Chip Myers*,CIN,WR,27,14,14,0,0,0,0,0,0,0,,0,57,792,13.89,3,0,,3,,,97,154.2,157.2,125.7,35,12,39,
41,Ron Sellers,DAL,WR,25,14,9,0,0,0,0,0,0,0,,0,31,653,21.06,5,1,,5,,,95,125.3,128.8,109.8,32,13,40,
42,Emerson Boozer,NYJ,RB,29,11,10,0,0,0,0,0,120,549,4.58,11,11,142,12.91,3,3,,14,,,153,161.1,168.6,155.6,30,17,41,
43,Larry Csonka *,MIA,RB,26,14,14,0,0,0,0,0,213,1117,5.24,6,5,48,9.60,0,2,,6,,,153,155.5,159.5,153.0,29,18,42,
44,Joe Namath*,NYJ,QB,29,13,13,162,324,2816,19,21,6,8,1.33,0,0,0,,0,3,,0,,,147,144.4,169.9,165.4,26,7,43,
45,Jerry Smith,WAS,TE,29,14,14,0,0,0,0,0,1,9,9.00,0,21,353,16.81,7,0,,7,,,78,99.2,102.2,88.7,26,6,44,
46,Reggie Rucker,NWE,WR,25,14,14,0,0,0,0,0,3,5,1.67,0,44,681,15.48,3,2,,3,,,87,128.6,132.6,106.6,22,14,45,
47,Bob Chandler,BUF,WR,23,14,14,0,0,0,0,0,3,27,9.00,0,33,528,16.00,5,1,,5,,,86,117.5,121.0,101.0,21,15,46,
48,Tom Mitchell,BAL,TE,28,14,14,0,0,0,0,0,0,7,,0,40,494,12.35,4,1,,4,,,74,113.1,116.6,93.1,21,7,47,
49,Ron Shanklin,PIT,WR,24,14,13,0,0,0,0,0,0,0,,0,38,669,17.61,3,0,,3,,,85,122.9,125.9,103.9,20,16,48,
50,Larry Walton,DET,WR,25,14,9,0,0,0,0,0,0,0,,0,24,485,20.21,6,2,,6,,,85,106.5,110.5,94.5,20,17,49,
51,Rod Sherman,DEN,WR,28,14,13,0,0,0,0,0,1,2,2.00,0,38,661,17.39,3,1,,3,,,84,121.3,124.8,102.3,20,18,50,
52,Marv Hubbard*,OAK,RB,26,14,14,0,0,0,0,0,219,1100,5.02,4,22,103,4.68,0,5,,4,,,144,161.3,169.8,150.3,20,19,51,
53,Jim Mitchell *,ATL,TE,25,14,14,0,0,0,0,0,2,19,9.50,0,28,470,16.79,4,0,,4,,,73,100.9,103.9,86.9,20,8,52,
54,Jack Snow,RAM,WR,29,14,14,0,0,0,0,0,0,0,,0,30,590,19.67,4,0,,4,,,83,113.0,116.0,98.0,18,19,53,
55,Norm Snead *,NYG,QB,33,14,13,196,325,2307,17,12,10,21,2.10,0,0,0,,0,4,,0,,,138,134.4,151.4,146.4,16,8,54,
56,Paul Warfield*,MIA,WR,30,12,11,0,0,0,0,0,4,23,5.75,0,29,606,20.90,3,1,,3,,,81,108.9,112.4,94.4,16,20,55,
57,Mike Siani,OAK,WR,22,14,13,0,0,0,0,0,0,0,,0,28,496,17.71,5,1,,5,,,80,106.6,110.1,92.6,14,21,56,
58,Ken Burrow,ATL,WR,24,14,14,0,0,0,0,0,3,3,1.00,0,29,492,16.97,5,1,,5,,,80,107.5,111.0,93.0,14,22,57,
59,Bob Berry,ATL,QB,30,14,14,154,277,2158,13,12,24,86,3.58,2,1,-9,-9.00,0,7,,2,,,134,128.0,146.5,139.5,11,9,58,
