Player,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,TD,Int,Att.1,Yds.1,Y/A,TD.1,Rec,Yds.2,Y/R,TD.2,Fmb,FL,TD.3,2PM,2PP,FantPt,PPR,DKPt,FDPt,VBD,PosRank,Unnamed: 32,Year,Tgt
Jerry Rice *+,SFO,WR,25.0,12.0,12.0,0.0,0.0,0.0,0.0,0.0,8.0,51.0,6.38,1.0,65.0,1078.0,16.58,22.0,2.0,,23.0,0.0,0.0,251.0,313.9,317.9,281.4,215.0,1.0,,1987,0.0
Charles White*+,RAM,RB,29.0,15.0,12.0,0.0,0.0,0.0,0.0,0.0,324.0,1374.0,4.24,11.0,23.0,121.0,5.26,0.0,8.0,,11.0,0.0,0.0,216.0,230.5,240.5,219.0,132.0,1.0,,1987,0.0
Randall Cunningham,PHI,QB,24.0,12.0,12.0,223.0,406.0,2786.0,23.0,12.0,76.0,505.0,6.64,3.0,1.0,-3.0,-3.0,0.0,12.0,,3.0,0.0,0.0,248.0,236.6,260.6,248.1,130.0,1.0,,1987,0.0
Herschel Walker*,DAL,RB,25.0,12.0,11.0,0.0,0.0,0.0,0.0,0.0,209.0,891.0,4.26,7.0,60.0,715.0,11.92,1.0,4.0,,8.0,0.0,0.0,209.0,264.6,272.6,234.6,123.0,2.0,,1987,0.0
Joe Montana*+,SFO,QB,31.0,13.0,11.0,266.0,398.0,3054.0,31.0,13.0,35.0,141.0,4.03,1.0,0.0,0.0,0.0,0.0,3.0,,1.0,0.0,0.0,240.0,237.3,257.8,250.3,120.0,2.0,,1987,0.0
Mark Bavaro*+,NYG,TE,24.0,12.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,867.0,15.76,8.0,2.0,,8.0,0.0,0.0,135.0,187.7,191.7,160.2,117.0,1.0,,1987,0.0
John Elway*,DEN,QB,27.0,12.0,12.0,224.0,410.0,3198.0,19.0,12.0,66.0,304.0,4.61,4.0,0.0,0.0,0.0,0.0,2.0,,4.0,0.0,0.0,234.0,232.3,251.3,244.3,113.0,3.0,,1987,0.0
J.T. Smith,STL,WR,32.0,15.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.0,1117.0,12.27,8.0,2.0,,8.0,0.0,0.0,160.0,248.7,252.7,203.2,94.0,2.0,,1987,0.0
Neil Lomax*,STL,QB,28.0,12.0,12.0,275.0,463.0,3387.0,24.0,12.0,29.0,107.0,3.69,0.0,0.0,0.0,0.0,0.0,7.0,,0.0,0.0,0.0,218.0,211.2,232.7,223.2,91.0,4.0,,1987,0.0
Eric Dickerson*+,2TM,RB,27.0,12.0,10.0,0.0,0.0,0.0,0.0,0.0,283.0,1288.0,4.55,6.0,18.0,171.0,9.5,0.0,7.0,,6.0,0.0,0.0,182.0,192.9,202.4,183.9,87.0,3.0,,1987,0.0
Dan Marino*,MIA,QB,26.0,12.0,12.0,263.0,444.0,3245.0,26.0,13.0,12.0,-5.0,-0.42,1.0,0.0,0.0,0.0,0.0,5.0,,1.0,0.0,0.0,213.0,208.3,226.8,221.3,84.0,5.0,,1987,0.0
Gary Clark*+,WAS,WR,25.0,12.0,11.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,56.0,1066.0,19.04,7.0,3.0,,7.0,0.0,0.0,149.0,201.6,206.1,173.6,79.0,3.0,,1987,0.0
Curt Warner*,SEA,RB,26.0,12.0,12.0,0.0,0.0,0.0,0.0,0.0,234.0,985.0,4.21,8.0,17.0,167.0,9.82,2.0,4.0,,10.0,0.0,0.0,175.0,188.2,196.2,179.7,78.0,4.0,,1987,0.0
Carlos Carson*,KAN,WR,29.0,12.0,12.0,0.0,0.0,0.0,0.0,0.0,1.0,-7.0,-7.0,0.0,55.0,1044.0,18.98,7.0,1.0,,7.0,0.0,0.0,146.0,199.7,203.2,172.2,75.0,4.0,,1987,0.0
Mike Quick*,PHI,WR,28.0,12.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,790.0,17.17,11.0,3.0,,11.0,0.0,0.0,145.0,188.0,192.5,165.0,74.0,5.0,,1987,0.0
Steve Largent*,SEA,WR,33.0,13.0,13.0,0.0,2.0,0.0,0.0,0.0,2.0,33.0,16.5,0.0,58.0,912.0,15.72,8.0,2.0,,8.0,0.0,0.0,143.0,198.5,202.5,169.5,71.0,6.0,,1987,0.0
Bernie Kosar*,CLE,QB,24.0,12.0,12.0,241.0,389.0,3033.0,22.0,9.0,15.0,22.0,1.47,1.0,0.0,0.0,0.0,0.0,2.0,,1.0,0.0,0.0,200.0,197.5,210.5,206.5,66.0,6.0,,1987,0.0
Albert Bentley,IND,RB,27.0,12.0,4.0,0.0,0.0,0.0,0.0,0.0,142.0,631.0,4.44,7.0,34.0,447.0,13.15,2.0,3.0,,9.0,0.0,0.0,162.0,192.8,200.3,175.8,61.0,5.0,,1987,0.0
Drew Hill,HOU,WR,31.0,12.0,12.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,989.0,20.18,6.0,1.0,,6.0,0.0,0.0,135.0,182.9,186.4,158.4,61.0,7.0,,1987,0.0
Anthony Carter *,MIN,WR,27.0,12.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,922.0,24.26,7.0,0.0,,7.0,0.0,0.0,134.0,172.2,175.2,153.2,60.0,8.0,,1987,0.0
Earnest Byner,CLE,RB,25.0,12.0,12.0,0.0,0.0,0.0,0.0,0.0,105.0,432.0,4.11,8.0,52.0,552.0,10.62,2.0,5.0,,10.0,0.0,0.0,158.0,205.4,213.9,179.4,56.0,6.0,,1987,0.0
Robert Awalt,STL,TE,23.0,12.0,9.0,0.0,0.0,0.0,0.0,0.0,2.0,-9.0,-4.5,0.0,42.0,526.0,12.52,6.0,0.0,,6.0,0.0,0.0,88.0,129.7,132.7,108.7,54.0,2.0,,1987,0.0
Warren Moon,HOU,QB,31.0,12.0,12.0,184.0,368.0,2806.0,21.0,18.0,34.0,112.0,3.29,3.0,0.0,0.0,0.0,0.0,8.0,,3.0,0.0,0.0,189.0,181.4,209.4,199.4,53.0,7.0,,1987,0.0
Ernest Givins,HOU,WR,23.0,12.0,12.0,0.0,0.0,0.0,0.0,0.0,1.0,-13.0,-13.0,0.0,53.0,933.0,17.6,6.0,2.0,,6.0,0.0,0.0,128.0,179.0,183.0,152.5,51.0,9.0,,1987,0.0
Roger Craig*,SFO,RB,27.0,14.0,14.0,0.0,0.0,0.0,0.0,0.0,215.0,815.0,3.79,3.0,66.0,492.0,7.45,1.0,5.0,,4.0,0.0,0.0,155.0,215.7,224.2,182.7,51.0,7.0,,1987,0.0
Al Toon*,NYJ,WR,24.0,12.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.0,976.0,14.35,5.0,0.0,,5.0,0.0,0.0,128.0,195.6,198.6,161.6,51.0,10.0,,1987,0.0
