Player,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,TD,Int,Att.1,Yds.1,Y/A,TD.1,Tgt,Rec,Yds.2,Y/R,TD.2,Fmb,FL,TD.3,2PM,2PP,FantPt,PPR,DKPt,FDPt,VBD,PosRank,Unnamed: 33,Year
Aaron Rodgers *+,GNB,QB,28.0,15.0,15.0,343.0,502.0,4643.0,45.0,6.0,60.0,257.0,4.28,3.0,0.0,0.0,0.0,0.0,0.0,5.0,,3.0,0.0,0.0,399.0,397.4,409.4,403.4,171.0,1.0,,2011
Drew Brees*,NOR,QB,32.0,16.0,16.0,468.0,657.0,5476.0,46.0,14.0,21.0,86.0,4.1,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,3.0,396.0,393.6,411.6,407.6,167.0,2.0,,2011
Ray Rice*,BAL,RB,24.0,16.0,16.0,1.0,1.0,1.0,1.0,0.0,291.0,1364.0,4.69,12.0,104.0,76.0,704.0,9.26,3.0,2.0,2.0,15.0,0.0,0.0,301.0,372.8,380.8,334.8,152.0,1.0,,2011
Calvin Johnson *+,DET,WR,26.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,1.0,11.0,11.0,0.0,158.0,96.0,1681.0,17.51,16.0,1.0,1.0,16.0,0.0,0.0,267.0,359.2,363.2,311.2,151.0,1.0,,2011
Cam Newton*,CAR,QB,22.0,16.0,16.0,310.0,517.0,4051.0,21.0,17.0,126.0,706.0,5.6,14.0,1.0,1.0,27.0,27.0,0.0,5.0,2.0,14.0,0.0,2.0,375.0,370.3,395.3,386.8,147.0,3.0,,2011
Rob Gronkowski*+,NWE,TE,22.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,1.0,124.0,90.0,1327.0,14.74,17.0,0.0,,18.0,0.0,0.0,241.0,330.9,333.9,285.9,143.0,1.0,,2011
Tom Brady *,NWE,QB,34.0,16.0,16.0,401.0,611.0,5235.0,39.0,12.0,43.0,109.0,2.53,3.0,0.0,0.0,0.0,0.0,0.0,6.0,2.0,3.0,0.0,0.0,370.0,366.3,386.3,378.3,142.0,4.0,,2011
LeSean McCoy*+,PHI,RB,23.0,15.0,15.0,0.0,0.0,0.0,0.0,0.0,273.0,1309.0,4.79,17.0,69.0,48.0,315.0,6.56,3.0,1.0,1.0,20.0,0.0,0.0,282.0,328.4,335.4,304.4,134.0,2.0,,2011
Matthew Stafford,DET,QB,23.0,16.0,16.0,421.0,663.0,5038.0,41.0,16.0,22.0,78.0,3.55,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,2.0,347.0,343.3,363.3,359.3,119.0,5.0,,2011
Maurice Jones-Drew*+,JAX,RB,26.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,343.0,1606.0,4.68,8.0,64.0,43.0,374.0,8.7,3.0,6.0,1.0,11.0,0.0,0.0,264.0,305.0,312.0,283.5,115.0,3.0,,2011
Arian Foster *,HOU,RB,25.0,13.0,13.0,0.0,0.0,0.0,0.0,0.0,278.0,1224.0,4.4,10.0,72.0,53.0,617.0,11.64,2.0,6.0,2.0,12.0,0.0,0.0,256.0,305.1,313.1,278.6,108.0,4.0,,2011
Jordy Nelson,GNB,WR,26.0,16.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.0,68.0,1263.0,18.57,15.0,0.0,,15.0,0.0,0.0,216.0,284.3,287.3,250.3,100.0,2.0,,2011
Jimmy Graham*,NOR,TE,25.0,16.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,149.0,99.0,1310.0,13.23,11.0,1.0,1.0,11.0,0.0,0.0,197.0,294.0,298.0,244.5,99.0,2.0,,2011
Wes Welker*+,NWE,WR,30.0,16.0,15.0,0.0,0.0,0.0,0.0,0.0,4.0,30.0,7.5,0.0,173.0,122.0,1569.0,12.86,9.0,1.0,,9.0,0.0,0.0,214.0,335.9,338.9,274.9,98.0,3.0,,2011
Victor Cruz,NYG,WR,25.0,16.0,7.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,3.0,0.0,131.0,82.0,1536.0,18.73,9.0,1.0,1.0,9.0,0.0,0.0,208.0,287.9,291.9,246.9,92.0,4.0,,2011
Larry Fitzgerald*,ARI,WR,28.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,154.0,80.0,1411.0,17.64,8.0,0.0,,8.0,0.0,0.0,189.0,269.1,272.1,229.1,73.0,5.0,,2011
Steve Smith*,CAR,WR,32.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,6.0,56.0,9.33,0.0,129.0,79.0,1394.0,17.65,7.0,3.0,2.0,7.0,1.0,0.0,189.0,264.0,269.0,224.5,73.0,6.0,,2011
Marshawn Lynch *,SEA,RB,25.0,15.0,15.0,0.0,2.0,0.0,0.0,0.0,285.0,1204.0,4.22,12.0,41.0,28.0,212.0,7.57,1.0,3.0,2.0,13.0,0.0,0.0,220.0,243.6,251.6,229.6,71.0,5.0,,2011
Michael Turner,ATL,RB,29.0,16.0,15.0,0.0,0.0,0.0,0.0,0.0,301.0,1340.0,4.45,11.0,26.0,17.0,168.0,9.88,0.0,3.0,2.0,11.0,0.0,0.0,217.0,229.8,237.8,221.3,68.0,6.0,,2011
Percy Harvin,MIN,WR,23.0,16.0,14.0,0.0,0.0,0.0,0.0,0.0,52.0,345.0,6.63,2.0,121.0,87.0,967.0,11.11,6.0,2.0,2.0,9.0,0.0,0.0,179.0,268.2,276.2,224.7,63.0,7.0,,2011
Roddy White*,ATL,WR,30.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,180.0,100.0,1296.0,12.96,8.0,0.0,,8.0,0.0,0.0,178.0,277.6,280.6,227.6,62.0,8.0,,2011
Eli Manning*,NYG,QB,30.0,16.0,16.0,359.0,589.0,4933.0,29.0,16.0,35.0,15.0,0.43,1.0,0.0,0.0,0.0,0.0,0.0,8.0,4.0,1.0,0.0,0.0,289.0,280.8,303.8,296.8,60.0,6.0,,2011
Mike Wallace*,PIT,WR,25.0,16.0,14.0,0.0,0.0,0.0,0.0,0.0,5.0,57.0,11.4,0.0,114.0,72.0,1193.0,16.57,8.0,1.0,1.0,8.0,0.0,0.0,173.0,243.0,247.0,207.0,57.0,9.0,,2011
Vincent Jackson*,SDG,WR,28.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,3.0,51.0,17.0,0.0,115.0,60.0,1106.0,18.43,9.0,0.0,,9.0,0.0,0.0,170.0,229.7,232.7,199.7,54.0,10.0,,2011
Tony Romo,DAL,QB,31.0,16.0,16.0,346.0,522.0,4184.0,31.0,10.0,22.0,46.0,2.09,1.0,0.0,0.0,0.0,0.0,0.0,7.0,3.0,1.0,0.0,0.0,282.0,276.0,292.0,286.0,53.0,7.0,,2011
Matt Ryan,ATL,QB,26.0,16.0,16.0,347.0,566.0,4177.0,29.0,12.0,37.0,84.0,2.27,2.0,0.0,0.0,0.0,0.0,0.0,5.0,3.0,2.0,0.0,0.0,281.0,273.5,291.5,285.5,53.0,8.0,,2011
Marques Colston,NOR,WR,28.0,14.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,107.0,80.0,1143.0,14.29,8.0,1.0,1.0,8.0,0.0,0.0,162.0,240.3,244.3,200.3,46.0,11.0,,2011
Hakeem Nicks,NYG,WR,23.0,15.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,133.0,76.0,1192.0,15.68,7.0,0.0,,7.0,0.0,0.0,161.0,237.2,240.2,199.2,45.0,12.0,,2011
Brandon Marshall*,MIA,WR,27.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,1.0,13.0,13.0,0.0,141.0,81.0,1214.0,14.99,6.0,1.0,1.0,6.0,0.0,0.0,161.0,237.7,241.7,197.2,45.0,13.0,,2011
Ryan Mathews*,SDG,RB,24.0,14.0,14.0,0.0,0.0,0.0,0.0,0.0,222.0,1091.0,4.91,6.0,59.0,50.0,455.0,9.1,0.0,5.0,2.0,6.0,0.0,0.0,191.0,236.6,244.6,211.6,42.0,7.0,,2011
Adrian Peterson,MIN,RB,26.0,12.0,12.0,0.0,0.0,0.0,0.0,0.0,208.0,970.0,4.66,12.0,24.0,18.0,139.0,7.72,1.0,1.0,,13.0,0.0,0.0,189.0,206.9,212.9,197.9,40.0,8.0,,2011
Aaron Hernandez,NWE,TE,22.0,14.0,12.0,0.0,0.0,0.0,0.0,0.0,5.0,45.0,9.0,0.0,113.0,79.0,910.0,11.52,7.0,1.0,1.0,7.0,0.0,0.0,138.0,214.5,218.5,175.0,40.0,3.0,,2011
Michael Bush,OAK,RB,27.0,16.0,9.0,0.0,0.0,0.0,0.0,0.0,256.0,977.0,3.82,7.0,47.0,37.0,418.0,11.3,1.0,1.0,1.0,8.0,0.0,0.0,188.0,222.5,229.5,204.0,39.0,9.0,,2011
