,Player,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,Y/A,TD,Rec,Yds,Y/R,TD,Fmb,FL,TD,2PM,2PP,FantPt,PPR,DKPt,FDPt,VBD,PosRank,OvRank,
44,Ken Burrough,HOU,WR,25,14,12,0,0,0,0,0,5,38,7.60,1,43,577,13.42,2,2,,3,,,80,120.5,124.5,99.0,21,16,43,
45,Otis Taylor,KAN,WR,31,14,14,0,0,0,0,0,4,-14,-3.50,0,34,565,16.62,4,2,,4,,,79,111.1,115.1,94.1,20,17,44,
46,Jim Bertelsen*,RAM,RB,23,14,14,0,0,0,0,0,206,854,4.15,4,19,267,14.05,1,4,,5,,,142,157.1,165.1,147.6,20,15,45,
47,Otto Stowe,DAL,WR,24,7,7,0,0,0,0,0,3,28,9.33,0,23,389,16.91,6,0,,6,,,78,100.7,103.7,89.2,19,18,46,
48,Billy Joe DuPree,DAL,TE,23,14,14,0,0,0,0,0,2,2,1.00,0,29,392,13.52,5,0,,5,,,69,98.4,101.4,83.9,16,7,47,
49,Jerry LeVias,SDG,WR,27,14,11,0,0,0,0,0,2,33,16.50,0,30,536,17.87,3,0,,3,,,75,104.9,107.9,89.9,15,19,48,
50,Marv Hubbard*,OAK,RB,27,14,14,0,0,0,0,0,193,903,4.68,6,15,116,7.73,0,6,,6,,,138,146.9,155.9,139.4,15,16,49,
51,Bob Newland,NOR,WR,25,14,12,0,0,0,0,0,1,6,6.00,0,29,489,16.86,4,0,,4,,,74,102.5,105.5,88.0,14,20,50,
52,Mike Phipps,CLE,QB,26,14,14,148,299,1719,9,20,60,395,6.58,5,0,0,,0,8,,5,,,134,126.3,156.3,146.3,13,8,51,
53,Gene Washington,SFO,WR,26,13,13,0,0,0,0,0,0,0,,0,37,606,16.38,2,1,,2,,,73,108.6,112.1,90.1,13,21,52,
54,Ed Podolak,KAN,RB,26,14,13,0,1,0,0,0,210,721,3.43,3,55,445,8.09,0,7,,3,,,135,182.6,192.1,155.1,11,17,53,
55,Larry Walton,DET,WR,26,13,11,0,0,0,0,0,5,100,20.00,1,22,309,14.05,4,0,,5,,,71,92.9,98.9,81.9,11,22,54,
56,Jackie Smith,STL,TE,33,14,14,0,0,0,0,0,1,-14,-14.00,0,41,600,14.63,1,1,,1,,,65,104.6,108.1,84.1,11,8,55,
57,Bob Grim,NYG,WR,28,14,14,0,0,0,0,0,1,-10,-10.00,0,37,593,16.03,2,1,,2,,,70,106.3,109.8,87.8,10,23,56,
58,Bobby Douglass,CHI,QB,26,13,12,81,174,1057,5,7,94,525,5.59,5,0,0,,0,7,,5,,,131,123.8,140.3,130.8,9,9,57,
59,Larry Csonka *+,MIA,RB,27,14,14,0,0,0,0,0,219,1003,4.58,5,7,22,3.14,0,3,,5,,,133,136.5,141.0,133.0,9,18,58,
60,Jubilee Dunbar,NOR,WR,24,14,14,0,0,0,0,0,3,3,1.00,0,23,447,19.43,4,1,,4,,,69,91.0,94.5,79.5,9,24,59,
61,Rk,Player,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,Y/A,TD,Rec,Yds,Y/R,TD,Fmb,FL,TD,2PM,2PP,FantPt,PPR,DKPt,FDPt,VBD,PosRank,OvRank
62,Emerson Boozer,NYJ,RB,30,13,12,0,0,0,0,0,182,831,4.57,3,22,130,5.91,3,6,,6,,,132,148.1,157.1,137.1,8,19,60,
63,Jon Staggers,GNB,WR,25,14,12,0,0,0,0,0,4,33,8.25,1,25,412,16.48,3,1,,4,,,69,92.5,96.0,80.0,8,25,61,
64,Bob Moore,OAK,TE,24,14,14,0,0,0,0,0,0,0,,0,34,375,11.03,4,0,,4,,,62,95.5,98.5,78.5,7,9,62,
65,Jim Hart,STL,QB,29,12,12,178,320,2223,15,10,3,-3,-1.00,0,0,0,,0,2,,0,,,129,126.6,140.6,136.6,6,10,63,
66,Roy Jefferson,WAS,WR,30,14,14,0,0,0,0,0,1,1,1.00,0,41,595,14.51,1,0,,1,,,66,106.6,109.6,86.1,5,26,64,
67,Eddie Ray,ATL,RB,26,14,6,0,0,0,0,0,96,434,4.52,9,19,192,10.11,2,8,,11,,,129,139.6,149.6,130.1,4,20,65,
68,Bob Windsor,NWE,TE,31,13,9,0,0,0,0,0,1,-6,-6.00,0,23,348,15.13,4,2,,4,,,58,79.2,83.2,67.7,3,10,66,
69,Ken Stabler *,OAK,QB,28,14,11,163,260,1997,14,10,21,101,4.81,0,0,0,,0,5,,0,,,126,121.0,139.5,131.0,3,11,67,
70,Billy Parks,HOU,WR,25,14,14,0,0,0,0,0,0,0,,0,43,581,13.51,1,1,,1,,,64,106.1,109.6,84.6,3,27,68,
71,Don Herrmann,NYG,WR,26,14,14,0,0,0,0,0,0,0,,0,43,520,12.09,2,1,,2,,,64,106.0,109.5,84.5,3,28,69,
72,Altie Taylor,DET,RB,26,13,13,0,0,0,0,0,176,719,4.09,5,27,252,9.33,0,5,,5,,,127,149.1,157.6,135.6,3,21,70,
73,Ron Jessie,DET,WR,25,14,12,0,0,0,0,0,5,31,6.20,1,20,364,18.20,3,1,,4,,,64,82.5,86.0,72.5,2,29,71,
74,Vic Washington,SFO,RB,27,13,13,0,0,0,0,0,151,534,3.54,8,33,238,7.21,0,9,,8,,,125,149.2,159.7,132.7,1,22,72,
75,Fred Willis,HOU,RB,26,14,14,0,1,0,0,0,171,579,3.39,4,57,371,6.51,1,5,,5,,,125,177.0,185.5,148.5,,23,73,
76,Tom Mitchell,BAL,TE,29,13,8,0,0,0,0,0,0,0,,0,25,313,12.52,4,0,,4,,,55,80.3,83.3,67.8,,11,74,
77,Archie Manning,NOR,QB,24,13,13,140,267,1642,10,12,63,293,4.65,2,0,0,,0,9,,2,,,123,114.0,136.5,126.0,,12,75,
78,Charlie Sanders,DET,TE,27,14,14,0,0,0,0,0,1,-1,-1.00,0,28,433,15.46,2,1,,2,,,55,82.2,85.7,68.2,,12,76,
79,Carl Garrett,CHI,RB,26,13,11,0,1,0,0,0,175,655,3.74,5,23,292,12.70,0,13,,5,,,125,134.7,147.2,123.2,,24,77,
80,Cotton Speyrer,BAL,WR,24,14,10,1,1,54,1,0,1,1,1.00,0,17,311,18.29,4,0,,5,,,61,84.4,87.4,75.9,,30,78,
81,Charlie Smith,OAK,RB,27,14,14,0,0,0,0,0,173,682,3.94,4,28,260,9.29,1,4,,5,,,124,148.2,156.2,134.2,,25,,
82,Lydell Mitchell,BAL,RB,24,14,11,0,0,0,0,0,253,963,3.81,2,17,113,6.65,0,2,,2,,,120,134.6,141.6,126.1,,26,,
83,Walt Garrison,DAL,RB,29,13,8,0,1,0,0,0,105,440,4.19,6,26,273,10.50,2,3,,8,,,119,142.3,149.8,129.3,,27,,
84,Joe Dawkins,DEN,RB,25,14,14,0,0,0,0,0,160,706,4.41,2,30,329,10.97,0,4,,2,,,116,141.5,149.5,126.5,,28,,
85,Bob Griese*,MIA,QB,28,13,13,116,218,1422,17,8,13,20,1.54,0,0,0,,0,5,,0,,,111,105.9,119.4,113.9,,13,,
86,Norm Bulaich,PHI,RB,27,14,14,0,0,0,0,0,106,436,4.11,1,42,403,9.60,3,8,,4,,,108,141.9,151.9,120.9,,29,,
87,Terry Metcalf,STL,RB,22,12,10,0,0,0,0,0,148,628,4.24,2,37,316,8.54,0,9,,2,,,106,134.4,144.9,115.9,,30,,
88,Billy Kilmer,WAS,QB,34,10,10,122,227,1656,14,9,9,10,1.11,0,0,0,,0,6,,0,,,105,99.2,114.2,108.2,,14,,
89,Bob Lee,ATL,QB,27,12,10,120,230,1786,10,8,29,67,2.31,0,0,0,,0,6,,0,,,102,96.1,110.1,104.1,,15,,
90,Charlie Harraway,WAS,RB,29,14,14,0,0,0,0,0,128,452,3.53,1,32,291,9.09,3,6,,4,,,98,124.3,133.3,108.3,,31,,
91,Preston Pearson,PIT,RB,28,14,13,0,0,0,0,0,132,554,4.20,2,11,173,15.73,2,2,,4,,,97,105.7,112.7,100.2,,32,,
92,Rk,Player,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,Y/A,TD,Rec,Yds,Y/R,TD,Fmb,FL,TD,2PM,2PP,FantPt,PPR,DKPt,FDPt,VBD,PosRank,OvRank
93,Sam Cunningham,NWE,RB,23,14,10,0,0,0,0,0,155,516,3.33,4,15,144,9.60,1,10,,5,,,96,101.0,112.0,93.5,,33,,
94,Franco Harris*,PIT,RB,23,12,8,0,0,0,0,0,188,698,3.71,3,10,69,6.90,0,8,,3,,,95,96.7,103.7,91.7,,35,,
95,MacArthur Lane,GNB,RB,31,13,13,1,2,23,1,0,170,528,3.11,1,27,255,9.44,1,4,,2,,,95,118.2,126.2,104.7,,34,,
96,Clarence Davis,OAK,RB,24,14,0,0,0,0,0,0,116,609,5.25,4,7,76,10.86,0,5,,4,,,93,94.5,100.0,91.0,,36,,
97,Terry Bradshaw,PIT,QB,25,10,9,89,180,1183,10,15,34,145,4.26,3,0,0,,0,3,,3,,,90,86.8,109.3,101.8,,16,,
98,John Riggins,NYJ,RB,24,11,9,0,0,0,0,0,134,482,3.60,4,23,158,6.87,0,6,,4,,,88,105.0,114.0,93.5,,37,,
99,Robert Holmes,SDG,RB,28,13,2,0,0,0,0,0,78,289,3.71,7,19,151,7.95,0,5,,7,,,86,100.0,108.5,90.5,,38,,
100,Jim Braxton,BUF,RB,24,6,4,0,0,0,0,0,108,494,4.57,4,6,101,16.83,0,2,,4,,,84,87.5,94.5,84.5,,39,,
101,Cid Edwards,SDG,RB,30,13,12,0,0,0,0,0,133,609,4.58,1,25,164,6.56,0,3,,1,,,83,105.3,112.8,92.8,,40,,
102,Jess Phillips,NOR,RB,26,14,14,0,0,0,0,0,198,663,3.35,0,22,169,7.68,0,3,,0,,,83,102.2,109.7,91.2,,41,,
103,Bob Gresham,HOU,RB,25,13,10,0,0,0,0,0,104,400,3.85,2,28,244,8.71,1,5,,4,,,82,111.4,119.9,97.4,,42,,
104,Don McCauley,BAL,RB,24,13,12,0,0,0,0,0,144,514,3.57,2,25,186,7.44,0,3,,2,,,82,104.0,111.5,91.5,,43,,
105,Marty Domres,BAL,QB,26,11,9,93,191,1153,9,13,32,126,3.94,2,0,0,,0,3,,2,,,81,77.7,98.2,90.7,,17,,
106,Steve Owens,DET,RB,26,12,8,0,0,0,0,0,113,401,3.55,3,24,232,9.67,0,2,,3,,,81,103.3,110.3,91.3,,44,,
107,Mel Farr,DET,RB,29,11,7,0,0,0,0,0,97,373,3.85,4,26,183,7.04,0,3,,4,,,80,102.6,110.1,89.6,,45,,
108,Greg Pruitt*,CLE,RB,22,13,0,0,1,0,0,0,61,369,6.05,4,9,110,12.22,1,7,,5,,,78,79.9,89.4,75.4,,46,,
109,Tony Baker,RAM,RB,28,14,0,0,0,0,0,0,85,344,4.05,7,0,0,,0,0,,7,,,76,76.4,79.4,76.4,,47,,
110,Al Woodall,NYJ,QB,28,9,6,101,201,1228,9,8,13,68,5.23,0,0,0,,0,1,,0,,,76,74.9,86.4,82.9,,18,,
111,Jim Harrison,CHI,RB,25,13,11,0,0,0,0,0,100,370,3.70,1,21,200,9.52,2,2,,3,,,75,94.0,101.0,83.5,,48,,
112,Leroy Kelly,CLE,RB,31,13,13,0,0,0,0,0,132,389,2.95,3,15,180,12.00,0,3,,3,,,75,86.9,94.4,79.4,,49,,
113,Ed Marinaro,MIN,RB,23,13,7,0,0,0,0,0,95,302,3.18,2,26,196,7.54,2,3,,4,,,74,96.8,104.3,83.8,,50,,
114,John Fuqua,PIT,RB,27,11,7,0,0,0,0,0,117,457,3.91,2,17,150,8.82,0,3,,2,,,73,86.7,94.2,78.2,,51,,
115,Ken Brown,CLE,RB,28,14,14,0,0,0,0,0,161,537,3.34,0,22,187,8.50,0,5,,0,,,72,89.4,97.9,78.4,,52,,
116,Randy Johnson,NYG,QB,29,9,7,99,177,1279,7,8,4,24,6.00,1,0,0,,0,2,,1,,,72,69.6,81.6,77.6,,19,,
117,Oscar Reed,MIN,RB,29,12,8,0,0,0,0,0,100,401,4.01,3,19,122,6.42,0,2,,3,,,70,87.3,94.3,77.8,,53,,
118,Art Malone,ATL,RB,25,10,8,0,0,0,0,0,76,336,4.42,2,19,177,9.32,1,2,,3,,,69,86.3,93.3,76.8,,54,,
119,Mike Livingston,KAN,QB,28,8,8,75,145,916,6,7,19,94,4.95,2,0,0,,0,4,,2,,,68,64.0,76.0,71.0,,21,,
120,Bill Munson,DET,QB,32,10,7,95,187,1129,9,8,10,33,3.30,0,0,0,,0,3,,0,,,68,65.5,78.0,73.5,,20,,
121,Larry Watkins,BUF,RB,27,14,10,0,0,0,0,0,98,414,4.22,2,12,86,7.17,1,3,,3,,,68,77.0,81.5,71.0,,55,,
122,Greg Landry,DET,QB,27,7,7,70,128,908,3,10,42,267,6.36,2,0,0,,0,2,,2,,,67,65.0,82.0,75.0,,22,,
123,Rk,Player,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,Y/A,TD,Rec,Yds,Y/R,TD,Fmb,FL,TD,2PM,2PP,FantPt,PPR,DKPt,FDPt,VBD,PosRank,OvRank
124,Bill Butler,NOR,RB,23,13,10,0,0,0,0,0,87,348,4.00,1,19,125,6.58,2,5,,3,,,65,79.3,87.8,69.8,,56,,
125,Mike Garrett,SDG,RB,29,10,9,0,1,0,0,0,114,467,4.10,0,15,124,8.27,1,6,,1,,,65,74.1,83.1,66.6,,57,,
126,Ken Willard,SFO,RB,30,14,10,0,0,0,0,0,83,366,4.41,1,22,160,7.27,1,2,,2,,,65,84.6,91.6,73.6,,58,,
127,Robert Newhouse,DAL,RB,23,14,6,0,0,0,0,0,84,436,5.19,1,9,87,9.67,1,3,,2,,,64,70.3,74.8,65.8,,59,,
128,Bob Chandler,BUF,WR,24,14,14,0,1,0,0,0,5,-14,-2.80,0,30,427,14.23,3,2,,3,,,61,88.3,91.3,73.3,,31,,
129,Wendell Hayes,KAN,RB,33,13,7,0,0,0,0,0,95,352,3.71,2,18,134,7.44,0,2,,2,,,61,76.6,83.6,67.6,,61,,
130,John Tarver,NWE,RB,24,9,7,0,0,0,0,0,72,321,4.46,4,9,51,5.67,0,8,,4,,,61,62.2,69.2,57.7,,60,,
131,Willie Ellison,KAN,RB,28,10,7,0,0,0,0,0,108,411,3.81,2,9,64,7.11,0,3,,2,,,60,65.5,70.0,61.0,,62,,
132,Joe Ferguson,BUF,QB,23,14,14,73,164,939,4,10,48,147,3.06,2,1,-3,-3.00,0,7,,2,,,60,54.0,73.5,63.5,,23,,
133,Frank Lewis,PIT,WR,26,9,5,0,0,0,0,0,1,-1,-1.00,0,23,409,17.78,3,0,,3,,,59,81.8,84.8,70.3,,33,,
134,Ahmad Rashad,STL,WR,24,13,10,0,0,0,0,0,0,0,,0,30,409,13.63,3,0,,3,,,59,88.9,91.9,73.9,,32,,
135,Earl Thomas,CHI,WR,25,14,14,0,1,0,0,1,1,5,5.00,0,24,343,14.29,4,1,,4,,,57,79.8,84.3,68.8,,34,,
136,Marlin Briscoe,MIA,WR,28,14,14,0,0,0,0,0,2,-5,-2.50,0,30,447,14.90,2,0,,2,,,56,86.2,89.2,71.2,,35,,
137,Frank Pitts,CLE,WR,30,13,12,0,0,0,0,0,0,0,,0,31,317,10.23,4,1,,4,,,56,85.7,89.2,70.2,,36,,
138,Joe Profit,2TM,RB,24,11,4,0,0,0,0,0,90,329,3.66,2,11,108,9.82,0,6,,2,,,56,60.7,69.7,55.2,,63,,
139,Dan Pastorini,HOU,QB,24,14,10,154,290,1482,5,17,31,102,3.29,0,0,0,,0,17,,0,,,55,38.5,70.0,55.5,,24,,
140,Bob Hayes,DAL,WR,31,13,13,0,0,0,0,0,0,0,,0,22,360,16.36,3,0,,3,,,54,76.0,79.0,65.0,,37,,
141,Jim Mandich,MIA,TE,25,14,3,0,0,0,0,0,0,0,,0,24,302,12.58,4,0,,4,,,54,78.2,81.2,66.2,,13,,
142,Danny Abramowicz,2TM,WR,28,14,13,0,0,0,0,0,0,0,,0,37,460,12.43,1,0,,1,,,52,89.0,92.0,70.5,,39,,
143,Steve Spurrier,SFO,QB,28,11,5,83,157,882,4,7,9,32,3.56,2,0,0,,0,3,,2,,,52,49.5,61.0,56.5,,25,,
144,Darryl Stingley,NWE,WR,22,14,10,0,0,0,0,0,6,64,10.67,0,23,339,14.74,2,1,,2,,,52,74.3,77.8,62.8,,38,,
145,Sonny Jurgensen,WAS,QB,39,14,4,87,145,904,6,5,3,7,2.33,0,1,-3,-3.00,0,1,,0,,,51,50.6,59.1,55.1,,26,,
146,Drew Pearson,DAL,WR,22,14,6,0,0,0,0,0,0,0,,0,22,388,17.64,2,1,,2,,,51,71.8,75.3,60.8,,40,,
147,Barry Pearson,PIT,WR,23,14,10,0,0,0,0,0,0,0,,0,23,317,13.78,3,1,,3,,,50,71.7,75.2,60.2,,41,,
148,Larry Smith,RAM,RB,26,14,2,2,2,31,0,0,79,291,3.68,2,10,65,6.50,0,0,,2,,,49,58.8,61.8,53.8,,64,,
149,Steve Davis,PIT,RB,25,14,0,0,0,0,0,0,67,266,3.97,2,7,31,4.43,1,3,,3,,,48,51.7,56.2,48.2,,65,,
150,Terry Hanratty,PIT,QB,25,9,4,31,69,643,8,5,3,0,0.00,0,0,0,,0,4,,0,,,48,43.7,53.7,48.7,,27,,
151,Milt Morin,CLE,TE,31,14,13,0,0,0,0,0,0,0,,0,26,417,16.04,1,0,,1,,,48,73.7,76.7,60.7,,14,,
152,Jimmy Thomas,SFO,RB,26,11,0,0,0,0,0,0,56,259,4.63,1,19,157,8.26,0,2,,1,,,48,64.6,71.6,55.1,,66,,
153,Cliff Branch,OAK,WR,25,13,0,0,0,0,0,0,0,0,,0,19,290,15.26,3,0,,3,,,47,66.0,69.0,56.5,,42,,
154,Rk,Player,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,Y/A,TD,Rec,Yds,Y/R,TD,Fmb,FL,TD,2PM,2PP,FantPt,PPR,DKPt,FDPt,VBD,PosRank,OvRank
155,Bill Brown,MIN,RB,35,14,2,0,0,0,0,0,47,206,4.38,3,5,22,4.40,1,2,,4,,,47,49.8,53.8,47.3,,67,,
156,Jim Kiick,MIA,RB,27,14,4,0,0,0,0,0,76,257,3.38,0,27,208,7.70,0,3,,0,,,47,70.5,78.0,57.0,,68,,
157,Vince Clements,NYG,RB,24,12,5,0,0,0,0,0,57,214,3.75,1,15,129,8.60,1,0,,2,,,46,61.3,67.3,53.8,,69,,
158,Dan Fouts,SDG,QB,22,10,6,87,194,1126,6,13,7,32,4.57,0,0,0,,0,2,,0,,,46,44.2,61.2,57.2,,29,,
159,Joe Namath,NYJ,QB,30,6,5,68,133,966,5,6,1,-2,-2.00,0,0,0,,0,1,,0,,,46,45.4,54.9,51.4,,28,,
160,Mack Alston,HOU,TE,26,14,14,0,0,0,0,0,1,13,13.00,0,19,195,10.26,4,0,,4,,,45,63.8,66.8,54.3,,16,,
161,Jim Mitchell,ATL,TE,26,14,14,0,0,0,0,0,5,34,6.80,0,32,420,13.13,0,0,,0,,,45,77.4,80.4,61.4,,15,,
162,Johnny Roland,NYG,RB,30,7,6,0,0,0,0,0,53,142,2.68,1,22,190,8.64,1,2,,2,,,45,65.2,72.2,54.2,,70,,
163,Norm Snead,NYG,QB,34,10,7,131,235,1483,7,22,4,13,3.25,0,0,0,,0,2,,0,,,45,42.6,68.6,64.6,,30,,
164,Randy Vataha,NWE,WR,25,14,4,0,0,0,0,0,2,-15,-7.50,0,20,341,17.05,2,0,,3,,,45,70.6,73.6,60.6,,43,,
165,Eddie Bell,NYJ,WR,27,13,9,0,0,0,0,0,0,0,,0,24,319,13.29,2,0,,2,,,44,67.9,70.9,55.9,,44,,
166,Stu Voigt,MIN,TE,25,13,13,0,0,0,0,0,1,2,2.00,0,23,318,13.83,2,1,,2,,,44,66.0,69.5,54.5,,17,,
167,Josh Ashton,NWE,RB,24,12,8,0,0,0,0,0,93,305,3.28,0,11,113,10.27,0,4,,0,,,42,48.8,56.8,43.3,,71,,
168,Lynn Dickey,HOU,QB,24,12,4,71,120,888,6,10,6,9,1.50,0,0,0,,0,5,,0,,,42,36.4,50.9,46.4,,31,,
169,J.D. Hill,BUF,WR,25,14,14,0,0,0,0,0,0,0,,0,29,422,14.55,0,2,,0,,,42,69.2,73.2,54.7,,45,,
