,Player,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,Y/A,TD,Rec,Yds,Y/R,TD,Fmb,FL,TD,2PM,2PP,FantPt,PPR,DKPt,FDPt,VBD,PosRank,OvRank,
1,O.J. Simpson*+,BUF,RB,26,14,14,1,2,-3,0,0,332,2003,6.03,12,6,70,11.67,0,7,,12,,,279,278.2,284.7,275.2,177,1,1,
2,Harold Carmichael *,PHI,WR,24,14,14,0,0,0,0,0,3,42,14.00,0,67,1116,16.66,9,3,,9,,,170,233.8,238.3,200.3,124,1,2,
3,Harold Jackson*+,RAM,WR,27,14,14,0,0,0,0,0,2,-8,-4.00,0,40,874,21.85,13,0,,13,,,165,204.6,207.6,184.6,118,2,3,
4,Floyd Little*,DEN,RB,31,14,13,0,0,0,0,0,256,979,3.82,12,41,423,10.32,1,3,,13,,,218,256.2,263.7,235.7,107,2,4,
5,Larry Brown,WAS,RB,26,14,14,0,0,0,0,0,273,860,3.15,8,40,482,12.05,6,7,,14,,,218,251.2,260.7,231.2,107,3,5,
6,John Gilliam*,MIN,WR,28,14,14,0,0,0,0,0,5,71,14.20,1,42,907,21.60,8,1,,9,,,152,192.8,196.3,171.8,103,3,6,
7,Roman Gabriel*,PHI,QB,33,14,14,270,460,3219,23,12,12,10,0.83,1,0,0,,0,10,,1,,,204,193.8,213.8,205.8,92,1,7,
8,Roger Staubach,DAL,QB,31,14,14,179,286,2428,23,15,46,250,5.43,3,0,0,,0,5,,3,,,202,197.1,220.6,212.1,90,2,8,
9,Isaac Curtis*,CIN,WR,23,14,14,0,0,0,0,0,2,-11,-5.50,0,45,843,18.73,9,0,,9,,,137,182.2,185.2,159.7,87,4,9,
10,Charle Young*+,PHI,TE,22,14,14,0,0,0,0,0,4,24,6.00,1,55,854,15.53,6,0,,7,,,130,184.8,187.8,157.3,85,1,10,
11,Ron Shanklin*,PIT,WR,25,13,13,0,0,0,0,0,3,1,0.33,0,30,711,23.70,10,1,,10,,,131,160.2,163.7,145.2,80,5,11,
12,Donny Anderson,STL,RB,30,14,13,0,0,0,0,0,167,679,4.07,10,41,409,9.98,3,7,,13,,,187,220.8,230.3,200.3,71,4,12,
13,Charley Taylor*,WAS,WR,32,14,14,0,0,0,0,0,1,-7,-7.00,0,59,801,13.58,7,1,,7,,,121,179.4,182.9,149.9,69,6,13,
14,Paul Warfield*+,MIA,WR,31,14,14,0,0,0,0,0,1,15,15.00,0,29,514,17.72,11,1,,11,,,119,146.9,150.4,132.4,66,7,14,
15,Ron Johnson,NYG,RB,26,12,11,0,0,0,0,0,260,902,3.47,6,32,377,11.78,3,4,,9,,,182,209.9,217.9,193.9,65,5,15,
16,Boobie Clark,CIN,RB,23,14,14,0,0,0,0,0,254,988,3.89,8,45,347,7.71,0,8,,8,,,182,218.5,228.5,196.0,65,6,16,
17,Jerome Barkum*,NYJ,WR,23,14,14,0,0,0,0,0,1,2,2.00,0,44,810,18.41,6,0,,6,,,117,161.2,164.2,139.2,64,8,17,
18,Riley Odoms*,DEN,TE,23,14,14,0,0,0,0,0,5,53,10.60,0,43,629,14.63,7,1,,7,,,110,152.2,155.7,130.7,63,2,18,
19,Calvin Hill*,DAL,RB,26,14,14,0,1,0,0,0,273,1142,4.18,6,32,290,9.06,0,7,,6,,,179,204.2,213.7,188.2,62,7,19,
20,Essex Johnson,CIN,RB,27,14,14,0,0,0,0,0,195,997,5.11,4,28,356,12.71,3,7,,7,,,177,198.3,207.8,184.3,60,8,20,
21,Ted Kwalick*,SFO,TE,26,14,14,0,0,0,0,0,5,37,7.40,0,47,729,15.51,5,1,,5,,,107,152.6,156.1,129.1,59,3,21,
22,Jim Plunkett,NWE,QB,26,14,14,193,376,2550,13,17,44,209,4.75,5,0,0,,0,6,,5,,,171,164.9,190.9,181.9,55,3,22,
23,Haven Moses*,DEN,WR,27,14,14,0,0,0,0,0,3,25,8.33,1,28,518,18.50,8,1,,9,,,108,135.3,138.8,121.3,54,9,23,
24,Lawrence McCutcheon*,RAM,RB,23,12,12,0,0,0,0,0,210,1097,5.22,2,30,289,9.63,3,4,,5,,,169,194.6,202.6,179.6,50,9,24,
25,Bob Tucker,NYG,TE,28,14,14,0,0,0,0,0,1,4,4.00,0,50,681,13.62,5,2,,5,,,99,146.5,150.5,121.5,49,4,25,
26,Ken Burrow,ATL,WR,25,9,8,0,0,0,0,0,2,17,8.50,0,31,567,18.29,7,1,,7,,,100,130.4,133.9,114.9,45,10,26,
27,Mercury Morris *,MIA,RB,26,13,10,0,0,0,0,0,149,954,6.40,10,4,51,12.75,0,3,,10,,,161,161.5,166.0,159.5,41,10,27,
28,Tom Sullivan,PHI,RB,23,13,13,0,0,0,0,0,217,968,4.46,4,50,322,6.44,1,6,,5,,,159,203.0,212.0,178.0,39,11,28,
29,Fran Tarkenton,MIN,QB,33,14,14,169,274,2113,15,7,41,202,4.93,1,0,0,,0,5,,1,,,157,151.7,167.2,158.7,39,4,29,
30,Rk,Player,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,Y/A,TD,Rec,Yds,Y/R,TD,Fmb,FL,TD,2PM,2PP,FantPt,PPR,DKPt,FDPt,VBD,PosRank,OvRank
31,Dave Hampton,ATL,RB,26,14,14,0,0,0,0,0,263,997,3.79,4,25,273,10.92,1,7,,5,,,157,175.0,184.5,162.5,37,12,30,
32,Mel Gray,STL,WR,25,12,9,0,0,0,0,0,0,0,,0,29,513,17.69,7,0,,7,,,93,122.3,125.3,107.8,37,11,31,
33,Ken Anderson,CIN,QB,24,14,14,179,329,2428,18,12,26,97,3.73,0,0,0,,0,5,,0,,,155,149.8,167.3,161.8,36,5,32,
34,Glenn Doughty,BAL,WR,26,14,14,0,0,0,0,0,10,96,9.60,0,25,587,23.48,4,0,,4,,,92,117.3,120.3,104.8,35,12,33,
35,Mike Siani,OAK,WR,23,14,14,0,0,0,0,0,0,0,,0,45,742,16.49,3,1,,3,,,92,136.2,139.7,113.7,35,13,34,
36,Reggie Rucker,NWE,WR,26,14,14,0,0,0,0,0,2,-1,-0.50,0,53,743,14.02,3,2,,3,,,92,143.2,147.2,116.7,35,14,35,
37,Fred Biletnikoff*,OAK,WR,30,14,14,0,0,0,0,0,0,0,,0,48,660,13.75,4,0,,4,,,90,138.0,141.0,114.0,33,15,36,
38,Chuck Foreman*,MIN,RB,23,12,10,0,0,0,0,0,182,801,4.40,4,37,362,9.78,2,6,,6,,,152,183.3,192.3,164.8,32,13,37,
39,Rich Caster,NYJ,TE,25,14,14,0,0,0,0,0,1,-9,-9.00,0,35,593,16.94,4,1,,4,,,82,116.4,119.9,98.9,31,5,38,
40,John Hadl*+,RAM,QB,33,14,14,135,258,2008,22,11,14,5,0.36,0,0,0,,0,1,,0,,,147,145.8,160.3,156.8,27,6,39,
41,Charley Johnson,DEN,QB,35,14,14,184,346,2465,20,17,7,-2,-0.29,0,0,0,,0,5,,0,,,144,139.4,161.9,156.4,24,7,40,
42,John Brockington *,GNB,RB,25,14,14,0,1,0,0,0,265,1144,4.32,3,16,128,8.00,0,4,,3,,,145,157.2,165.2,149.2,23,14,41,
43,Bob Trumpy*,CIN,TE,28,14,13,0,0,0,0,0,0,0,,0,29,435,15.00,5,0,,5,,,74,102.5,105.5,88.0,21,6,42,
