,Player,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Fmb,FL,TD,2PM,2PP,FantPt,PPR,DKPt,FDPt,VBD,PosRank,OvRank,
1,Emmitt Smith*+,DAL,RB,26,16,16,0,0,0,0,0,377,1773,4.70,25,78,62,375,6.05,0,7,6,25,,,365,414.8,426.8,383.8,225,1,1,
2,Jerry Rice *+,SFO,WR,33,16,16,1,1,41,1,0,5,36,7.20,1,176,122,1848,15.15,15,3,3,17,1,,292,414.0,420.0,353.0,172,1,2,
3,Isaac Bruce,STL,WR,23,16,16,0,0,0,0,0,3,17,5.67,0,199,119,1781,14.97,13,2,1,13,1,,260,376.8,380.8,317.3,140,2,3,
4,Herman Moore*+,DET,WR,26,16,16,0,0,0,0,0,0,0,,0,206,123,1686,13.71,14,2,2,14,,,255,371.6,376.6,310.1,135,3,4,
5,Brett Favre *+,GNB,QB,26,16,16,359,570,4413,38,13,39,181,4.64,3,0,0,0,,0,8,4,3,,,339,330.6,353.6,343.6,132,1,5,
6,Curtis Martin *,NWE,RB,22,16,15,0,0,0,0,0,368,1487,4.04,14,50,30,261,8.70,1,5,3,15,1,,267,290.8,299.8,275.8,127,2,6,
7,Barry Sanders *+,DET,RB,27,16,16,1,2,11,0,0,314,1500,4.78,11,70,48,398,8.29,1,3,3,12,,,262,304.2,313.2,280.2,122,3,7,
8,Cris Carter *,MIN,WR,30,16,16,0,0,0,0,0,1,0,0.00,0,197,122,1371,11.24,17,0,,17,,,239,361.1,364.1,300.1,119,4,8,
9,Chris Warren*,SEA,RB,27,16,16,0,0,0,0,0,310,1346,4.34,15,50,35,247,7.06,1,5,3,16,,,255,284.3,293.3,266.8,115,4,9,
10,Robert Brooks,GNB,WR,25,16,16,0,0,0,0,0,4,21,5.25,0,167,102,1497,14.68,13,0,,13,,,230,331.8,334.8,280.8,110,5,10,
11,Scott Mitchell,DET,QB,27,16,16,346,583,4338,32,12,36,104,2.89,4,0,0,0,,0,8,3,4,,1,314,307.9,328.9,319.9,107,2,11,
12,Carl Pickens*,CIN,WR,25,16,16,0,0,0,0,0,1,6,6.00,0,168,99,1234,12.46,17,1,,17,,,226,325.0,328.0,275.5,106,6,12,
13,Ricky Watters*,PHI,RB,26,16,16,0,0,0,0,0,337,1273,3.78,11,93,62,434,7.00,1,6,3,12,,,243,298.7,307.7,267.7,103,5,13,
14,Michael Irvin*,DAL,WR,29,16,16,0,0,0,0,0,0,0,,0,165,111,1603,14.44,10,1,1,10,,,220,329.3,333.3,273.8,101,7,14,
15,Marshall Faulk*,IND,RB,22,16,16,0,0,0,0,0,289,1078,3.73,11,74,56,475,8.48,3,8,4,14,,,239,287.3,297.3,259.3,99,6,15,
16,Brett Perriman,DET,WR,30,16,16,0,0,0,0,0,5,48,9.60,0,179,108,1488,13.78,9,1,1,9,1,,210,315.6,319.6,261.6,90,8,16,
17,Terry Allen,WAS,RB,27,16,16,0,0,0,0,0,338,1309,3.87,10,40,31,232,7.48,1,6,3,11,,,220,245.1,254.1,229.6,80,7,17,
18,Derek Loville,SFO,RB,27,16,16,0,0,0,0,0,218,723,3.32,10,110,87,662,7.61,3,1,1,13,1,,219,303.5,310.5,260.0,79,8,18,
19,Warren Moon*,MIN,QB,39,16,16,377,606,4228,33,14,33,82,2.48,0,0,0,0,,0,13,4,0,,,281,273.3,294.3,287.3,75,3,19,
20,Tim Brown*,OAK,WR,29,16,16,0,0,0,0,0,0,0,,0,148,89,1342,15.08,10,0,,10,,,194,283.2,286.2,238.7,74,9,20,
21,Edgar Bennett,GNB,RB,26,16,16,0,0,0,0,0,316,1067,3.38,3,79,61,648,10.62,4,2,,7,,,214,274.5,280.5,244.0,74,9,21,
22,Anthony Miller*,DEN,WR,30,14,14,0,0,0,0,0,1,5,5.00,0,108,59,1079,18.29,14,1,1,14,,,192,249.4,253.4,219.9,73,10,22,
23,Jeff Blake*,CIN,QB,25,16,16,326,567,3822,28,17,53,309,5.83,2,0,0,0,,0,10,5,2,1,,276,265.8,293.8,282.8,69,4,23,
24,Harvey Williams,OAK,RB,28,16,16,1,1,13,1,0,255,1114,4.37,9,60,54,375,6.94,0,5,3,9,,,207,255.4,264.4,228.4,67,10,24,
25,Eric Metcalf,ATL,WR,27,16,15,0,1,0,0,0,28,133,4.75,1,153,104,1189,11.43,8,4,3,10,,,186,290.2,299.2,238.2,66,11,25,
26,Curtis Conway,CHI,WR,24,16,16,0,1,0,0,0,5,77,15.40,0,117,62,1037,16.73,12,0,,12,,,183,245.4,248.4,214.4,64,12,26,
27,Ben Coates*+,NWE,TE,26,16,15,0,0,0,0,0,0,0,,0,137,84,915,10.89,6,4,4,6,,,128,203.5,210.5,161.5,58,1,27,
28,Errict Rhett,TAM,RB,25,16,16,0,0,0,0,0,332,1207,3.64,11,29,14,110,7.86,0,2,1,11,,,198,209.7,216.7,202.7,58,11,28,
29,Terrell Davis,DEN,RB,23,14,14,0,0,0,0,0,237,1117,4.71,7,82,49,367,7.49,1,5,2,8,,,196,241.4,249.4,216.9,56,12,29,
30,Rk,Player,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Fmb,FL,TD,2PM,2PP,FantPt,PPR,DKPt,FDPt,VBD,PosRank,OvRank
31,John Elway,DEN,QB,35,16,16,316,542,3970,26,14,41,176,4.29,1,0,0,0,,0,9,6,1,1,1,262,250.4,276.4,264.4,56,5,30,
32,Rodney Hampton,NYG,RB,26,16,15,0,0,0,0,0,306,1182,3.86,10,28,24,142,5.92,0,5,4,10,1,,194,210.4,220.4,198.4,54,13,31,
33,Erik Kramer,CHI,QB,31,16,16,315,522,3838,29,10,35,39,1.11,1,0,0,0,,0,6,4,1,,,259,251.4,268.4,261.4,53,6,32,
34,Craig Heyward*,ATL,RB,29,16,16,0,0,0,0,0,236,1083,4.59,6,46,37,350,9.46,2,3,,8,,,191,228.3,234.3,209.8,51,14,33,
35,Jake Reed,MIN,WR,28,16,16,0,0,0,0,0,0,0,,0,142,72,1167,16.21,9,1,1,9,,,171,240.7,244.7,204.7,51,13,34,
36,Joey Galloway,SEA,WR,24,16,16,0,0,0,0,0,11,154,14.00,1,133,67,1039,15.51,7,1,1,9,,,167,238.3,245.3,204.8,48,14,35,
37,Terance Mathis,ATL,WR,28,14,12,0,0,0,0,0,0,0,,0,118,78,1039,13.32,9,1,,9,3,,164,241.9,244.9,202.9,44,15,36,
38,Bernie Parmalee,MIA,RB,28,16,12,0,0,0,0,0,236,878,3.72,9,46,39,345,8.85,1,5,4,10,,,182,213.3,223.3,193.8,42,15,37,
39,Mark Chmura *,GNB,TE,26,16,15,0,0,0,0,0,0,0,,0,75,54,679,12.57,7,0,,7,1,,112,165.9,168.9,138.9,42,2,38,
40,Yancey Thigpen*,PIT,WR,26,16,16,0,0,0,0,0,1,1,1.00,0,151,85,1307,15.38,5,1,1,5,,,161,243.8,247.8,201.3,41,16,39,
41,Jeff George,ATL,QB,28,16,16,336,557,4143,24,11,27,17,0.63,0,0,0,0,,0,6,3,0,,3,247,241.4,258.4,252.4,41,7,40,
42,Tony Martin,SDG,WR,30,16,16,0,1,0,0,0,0,0,,0,165,90,1224,13.60,6,3,3,6,,,158,242.4,248.4,197.4,39,17,41,
43,Quinn Early,NOR,WR,30,16,15,0,0,0,0,0,2,-3,-1.50,0,134,81,1087,13.42,8,1,,8,,,156,237.4,240.4,196.9,37,18,42,
44,Jeff Graham,CHI,WR,26,16,16,0,0,0,0,0,0,0,,0,138,82,1301,15.87,4,3,2,4,,,154,232.1,237.1,191.1,34,19,43,
45,Jim Everett,NOR,QB,32,16,16,345,567,3970,26,14,24,42,1.75,0,0,0,0,,0,6,4,0,,1,241,233.0,254.0,247.0,34,8,44,
46,Rashaan Salaam,CHI,RB,21,16,11,0,0,0,0,0,296,1074,3.63,10,13,7,56,8.00,0,9,7,10,,,173,166.0,176.0,162.5,33,16,45,
47,Jay Novacek*,DAL,TE,33,15,15,0,0,0,0,0,0,0,,0,90,62,705,11.37,5,1,1,5,1,,103,162.5,166.5,131.5,33,3,46,
48,Thurman Thomas,BUF,RB,29,14,14,0,0,0,0,0,267,1005,3.76,6,41,26,220,8.46,2,6,1,8,,,171,194.5,201.5,181.5,31,17,47,
49,Shannon Sharpe*,DEN,TE,27,13,12,0,0,0,0,0,0,0,,0,94,63,756,12.00,4,1,,4,,,100,162.6,165.6,131.1,30,4,48,
50,Tony McGee,CIN,TE,24,16,16,0,0,0,0,0,0,0,,0,92,55,754,13.71,4,2,2,4,,,99,150.4,155.4,122.9,30,5,49,
51,Wesley Walls,NOR,TE,29,16,12,0,0,0,0,0,0,0,,0,92,57,694,12.18,4,1,1,4,1,,95,150.4,154.4,121.9,26,6,50,
52,Steve Bono*,KAN,QB,33,16,16,293,520,3121,21,10,28,113,4.04,5,0,0,0,,0,10,7,5,,,230,216.1,239.1,226.1,23,9,51,
53,Bill Brooks,BUF,WR,31,15,10,0,0,0,0,0,3,7,2.33,0,88,53,763,14.40,11,0,,11,,,143,196.0,199.0,169.5,23,20,52,
54,Steve Young*,SFO,QB,34,11,11,299,447,3200,20,11,50,250,5.00,3,0,0,0,,0,3,3,3,,,229,223.0,243.0,234.0,22,10,53,
55,Irving Fryar,MIA,WR,33,16,16,0,0,0,0,0,0,0,,0,109,62,910,14.68,8,0,,8,,,139,201.0,204.0,170.0,19,21,54,
56,Rodney Thomas,HOU,RB,22,16,10,0,0,0,0,0,251,947,3.77,5,59,39,204,5.23,2,8,7,7,1,,159,184.1,197.1,164.6,19,18,55,
