Player,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,TD,Int,Att.1,Yds.1,Y/A,TD.1,Rec,Yds.2,Y/R,TD.2,Fmb,FL,TD.3,2PM,2PP,FantPt,PPR,DKPt,FDPt,VBD,PosRank,Unnamed: 32,Year,Tgt
Barry Sanders *+,DET,RB,23.0,15.0,15.0,0.0,0.0,0.0,0.0,0.0,342.0,1548.0,4.53,16.0,41.0,307.0,7.49,1.0,5.0,,17.0,0.0,0.0,288.0,323.5,332.0,303.0,167.0,1.0,,1991,0.0
Thurman Thomas*+,BUF,RB,25.0,15.0,15.0,0.0,0.0,0.0,0.0,0.0,288.0,1407.0,4.89,7.0,62.0,631.0,10.18,5.0,5.0,,12.0,0.0,0.0,276.0,332.8,341.3,301.8,155.0,2.0,,1991,0.0
Emmitt Smith*,DAL,RB,22.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,365.0,1563.0,4.28,12.0,49.0,258.0,5.27,1.0,8.0,,13.0,0.0,0.0,260.0,301.1,311.1,276.6,139.0,3.0,,1991,0.0
Jim Kelly*+,BUF,QB,31.0,15.0,15.0,304.0,474.0,3844.0,33.0,17.0,20.0,45.0,2.25,1.0,0.0,0.0,0.0,0.0,6.0,,1.0,0.0,0.0,262.0,256.3,279.3,273.3,105.0,1.0,,1991,0.0
Jerry Rice *,SFO,WR,29.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,80.0,1206.0,15.08,14.0,1.0,,14.0,0.0,0.0,205.0,283.8,287.3,243.8,101.0,1.0,,1991,0.0
Warren Moon*,HOU,QB,35.0,16.0,16.0,404.0,655.0,4690.0,23.0,21.0,33.0,68.0,2.06,2.0,0.0,0.0,0.0,0.0,11.0,,2.0,0.0,0.0,256.0,245.4,274.9,266.4,99.0,2.0,,1991,0.0
Michael Irvin*+,DAL,WR,25.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.0,1523.0,16.38,8.0,3.0,,8.0,0.0,0.0,200.0,290.3,294.8,243.8,96.0,2.0,,1991,0.0
Gary Clark*,WAS,WR,29.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,70.0,1340.0,19.14,10.0,0.0,,10.0,0.0,0.0,194.0,264.0,267.0,229.0,90.0,3.0,,1991,0.0
Dan Marino*,MIA,QB,30.0,16.0,16.0,318.0,549.0,3970.0,25.0,13.0,27.0,32.0,1.19,1.0,0.0,0.0,0.0,0.0,6.0,,1.0,0.0,0.0,242.0,236.0,255.0,249.0,85.0,3.0,,1991,0.0
Mark Rypien*,WAS,QB,29.0,16.0,16.0,249.0,421.0,3564.0,28.0,11.0,15.0,6.0,0.4,1.0,0.0,0.0,0.0,0.0,9.0,,1.0,0.0,0.0,239.0,230.2,248.7,241.2,82.0,4.0,,1991,0.0
