Player,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,TD,Int,Att.1,Yds.1,Y/A,TD.1,Rec,Yds.2,Y/R,TD.2,Fmb,FL,TD.3,2PM,2PP,FantPt,PPR,DKPt,FDPt,VBD,PosRank,Unnamed: 32,Year,Tgt
Jerry Rice *+,SFO,WR,24.0,16.0,15.0,1.0,2.0,16.0,0.0,0.0,10.0,72.0,7.2,1.0,86.0,1570.0,18.26,15.0,2.0,,16.0,0.0,0.0,261.0,344.8,348.8,301.8,159.0,1.0,,1986,0.0
Dan Marino*+,MIA,QB,25.0,16.0,16.0,378.0,623.0,4746.0,44.0,23.0,12.0,-3.0,-0.25,0.0,0.0,0.0,0.0,0.0,8.0,,0.0,0.0,0.0,320.0,311.5,341.5,334.5,150.0,1.0,,1986,0.0
Eric Dickerson*+,RAM,RB,26.0,16.0,16.0,1.0,1.0,15.0,1.0,0.0,404.0,1821.0,4.51,11.0,26.0,205.0,7.88,0.0,12.0,,11.0,0.0,0.0,273.0,287.2,299.2,274.2,135.0,1.0,,1986,0.0
Joe Morris *+,NYG,RB,26.0,15.0,15.0,0.0,0.0,0.0,0.0,0.0,341.0,1516.0,4.45,14.0,21.0,233.0,11.1,1.0,6.0,,15.0,0.0,0.0,265.0,279.9,288.9,269.4,127.0,2.0,,1986,0.0
Curt Warner*,SEA,RB,25.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,319.0,1481.0,4.64,13.0,41.0,342.0,8.34,0.0,6.0,,13.0,0.0,0.0,260.0,295.3,304.3,274.8,122.0,3.0,,1986,0.0
Stanley Morgan*,NWE,WR,31.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.0,1491.0,17.75,10.0,0.0,,10.0,0.0,0.0,209.0,293.1,296.1,251.1,107.0,2.0,,1986,0.0
Todd Christensen*,RAI,TE,30.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.0,1153.0,12.14,8.0,1.0,,8.0,0.0,0.0,163.0,257.3,260.8,209.8,104.0,1.0,,1986,0.0
Herschel Walker,DAL,RB,24.0,16.0,9.0,0.0,0.0,0.0,0.0,0.0,151.0,737.0,4.88,12.0,76.0,837.0,11.01,2.0,5.0,,14.0,0.0,0.0,241.0,312.4,320.9,274.4,104.0,4.0,,1986,0.0
Walter Payton*,CHI,RB,32.0,16.0,16.0,0.0,4.0,0.0,0.0,1.0,321.0,1333.0,4.15,8.0,37.0,382.0,10.32,3.0,6.0,,11.0,0.0,0.0,236.0,266.5,276.5,249.0,98.0,5.0,,1986,0.0
Mark Duper*,MIA,WR,27.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,1.0,-10.0,-10.0,0.0,67.0,1313.0,19.6,11.0,0.0,,11.0,0.0,0.0,196.0,263.3,266.3,229.8,95.0,3.0,,1986,0.0
