Player,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,TD,Int,Att.1,Yds.1,Y/A,TD.1,Rec,Yds.2,Y/R,TD.2,Fmb,FL,TD.3,2PM,2PP,FantPt,PPR,DKPt,FDPt,VBD,PosRank,Unnamed: 32,Year,Tgt
Ron Johnson*+,NYG,RB,23.0,14.0,14.0,0.0,0.0,0.0,0.0,0.0,263.0,1027.0,3.9,8.0,48.0,487.0,10.15,4.0,5.0,,12.0,0.0,0.0,223.0,266.4,274.9,242.4,136.0,1.0,,1970,0.0
Dick Gordon*+,CHI,WR,26.0,14.0,14.0,0.0,0.0,0.0,0.0,0.0,4.0,17.0,4.25,0.0,71.0,1026.0,14.45,13.0,2.0,,13.0,0.0,0.0,182.0,251.3,255.3,215.8,134.0,1.0,,1970,0.0
Gene Washington*+,SFO,WR,23.0,13.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,1100.0,20.75,12.0,0.0,,12.0,0.0,0.0,182.0,235.0,238.0,208.5,134.0,2.0,,1970,0.0
Gary Garrison*,SDG,WR,26.0,14.0,14.0,0.0,0.0,0.0,0.0,0.0,4.0,7.0,1.75,0.0,44.0,1006.0,22.86,12.0,0.0,,12.0,0.0,0.0,173.0,217.3,220.3,195.3,124.0,3.0,,1970,0.0
MacArthur Lane *,STL,RB,28.0,14.0,14.0,0.0,0.0,0.0,0.0,0.0,206.0,977.0,4.74,11.0,32.0,365.0,11.41,2.0,2.0,,13.0,0.0,0.0,212.0,242.2,249.2,226.2,123.0,2.0,,1970,0.0
Warren Wells*,OAK,WR,28.0,14.0,13.0,0.0,0.0,0.0,0.0,0.0,3.0,34.0,11.33,0.0,43.0,935.0,21.74,11.0,0.0,,11.0,0.0,0.0,163.0,205.9,208.9,184.4,112.0,4.0,,1970,0.0
Bob Hayes,DAL,WR,28.0,13.0,9.0,0.0,0.0,0.0,0.0,0.0,4.0,34.0,8.5,1.0,34.0,889.0,26.15,10.0,5.0,,11.0,0.0,0.0,158.0,187.3,192.8,170.3,107.0,5.0,,1970,0.0
Marlin Briscoe*,BUF,WR,25.0,14.0,14.0,0.0,0.0,0.0,0.0,0.0,3.0,19.0,6.33,0.0,57.0,1036.0,18.18,8.0,3.0,,8.0,0.0,0.0,154.0,207.5,212.0,179.0,101.0,6.0,,1970,0.0
John Brodie*+,SFO,QB,35.0,14.0,14.0,223.0,378.0,2941.0,24.0,10.0,9.0,29.0,3.22,2.0,0.0,0.0,0.0,0.0,1.0,,2.0,0.0,0.0,209.0,207.5,221.0,217.5,101.0,1.0,,1970,0.0
Larry Brown*+,WAS,RB,23.0,13.0,13.0,0.0,0.0,0.0,0.0,0.0,237.0,1125.0,4.75,5.0,37.0,341.0,9.22,2.0,6.0,,7.0,0.0,0.0,189.0,219.6,228.6,201.1,96.0,3.0,,1970,0.0
