Player,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,TD,Int,Att.1,Yds.1,Y/A,TD.1,Rec,Yds.2,Y/R,TD.2,Fmb,FL,TD.3,2PM,2PP,FantPt,PPR,DKPt,FDPt,VBD,PosRank,Unnamed: 32,Year,Tgt
Ozzie Newsome,CLE,TE,27.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.0,970.0,10.9,6.0,0.0,,6.0,0.0,0.0,133.0,222.0,225.0,177.5,67.0,4.0,,1983,0.0
Tim Smith,HOU,WR,26.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,2.0,16.0,8.0,0.0,83.0,1176.0,14.17,6.0,1.0,,6.0,0.0,0.0,155.0,237.2,240.7,195.7,66.0,8.0,,1983,0.0
Tony Dorsett*,DAL,RB,29.0,16.0,16.0,0.0,1.0,0.0,0.0,0.0,289.0,1321.0,4.57,8.0,40.0,287.0,7.18,1.0,5.0,,9.0,0.0,0.0,215.0,249.8,258.3,229.8,64.0,9.0,,1983,0.0
Ottis Anderson,STL,RB,26.0,15.0,15.0,0.0,0.0,0.0,0.0,0.0,296.0,1270.0,4.29,5.0,54.0,459.0,8.5,1.0,10.0,,6.0,0.0,0.0,209.0,252.9,263.9,225.9,59.0,10.0,,1983,0.0
Steve Watson,DEN,WR,26.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,3.0,17.0,5.67,0.0,59.0,1133.0,19.2,5.0,1.0,,5.0,0.0,0.0,145.0,203.0,206.5,173.5,56.0,9.0,,1983,0.0
Chuck Muncie,SDG,RB,30.0,15.0,12.0,0.0,0.0,0.0,0.0,0.0,235.0,886.0,3.77,12.0,42.0,396.0,9.43,1.0,8.0,,13.0,0.0,0.0,206.0,240.2,250.2,219.2,56.0,11.0,,1983,0.0
Mike Pruitt,CLE,RB,29.0,15.0,14.0,0.0,0.0,0.0,0.0,0.0,293.0,1184.0,4.04,10.0,30.0,157.0,5.23,2.0,4.0,,12.0,0.0,0.0,206.0,232.1,240.1,217.1,56.0,12.0,,1983,0.0
Earnest Gray,NYG,WR,26.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.0,1139.0,14.6,5.0,0.0,,5.0,0.0,0.0,144.0,221.9,224.9,182.9,55.0,10.0,,1983,0.0
Cris Collinsworth*,CIN,WR,24.0,14.0,14.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,66.0,1130.0,17.12,5.0,2.0,,5.0,0.0,0.0,143.0,207.2,211.2,174.2,54.0,11.0,,1983,0.0
Curtis Dickey,BAL,RB,27.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,254.0,1122.0,4.42,4.0,24.0,483.0,20.13,3.0,9.0,,7.0,0.0,0.0,203.0,217.5,228.0,205.5,52.0,13.0,,1983,0.0
Willie Gault,CHI,WR,23.0,16.0,13.0,0.0,0.0,0.0,0.0,0.0,4.0,31.0,7.75,0.0,40.0,836.0,20.9,8.0,1.0,,8.0,0.0,0.0,135.0,173.7,177.2,153.7,46.0,12.0,,1983,0.0
Dwight Clark,SFO,WR,26.0,16.0,13.0,0.0,1.0,0.0,0.0,0.0,3.0,18.0,6.0,0.0,70.0,840.0,12.0,8.0,0.0,,8.0,0.0,0.0,134.0,203.8,206.8,168.8,45.0,13.0,,1983,0.0
Tony Collins*,NWE,RB,24.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,219.0,1049.0,4.79,10.0,27.0,257.0,9.52,0.0,10.0,,10.0,0.0,0.0,191.0,207.6,218.6,194.1,40.0,14.0,,1983,0.0
Wesley Walker,NYJ,WR,28.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.0,868.0,14.23,7.0,0.0,,7.0,0.0,0.0,129.0,189.8,192.8,159.3,40.0,14.0,,1983,0.0
