Player,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,TD,Int,Att.1,Yds.1,Y/A,TD.1,Rec,Yds.2,Y/R,TD.2,Fmb,FL,TD.3,2PM,2PP,FantPt,PPR,DKPt,FDPt,VBD,PosRank,Unnamed: 32,Year,Tgt
Paul Warfield*+,MIA,WR,29.0,14.0,14.0,0.0,0.0,0.0,0.0,0.0,9.0,115.0,12.78,0.0,43.0,996.0,23.16,11.0,3.0,,11.0,0.0,0.0,177.0,217.1,224.6,195.6,121.0,1.0,,1971,0.0
Greg Landry*,DET,QB,25.0,14.0,14.0,136.0,261.0,2237.0,16.0,13.0,76.0,530.0,6.97,3.0,0.0,0.0,0.0,0.0,5.0,,3.0,0.0,0.0,198.0,193.5,215.0,206.5,110.0,1.0,,1971,0.0
Otis Taylor*+,KAN,WR,29.0,14.0,14.0,0.0,0.0,0.0,0.0,0.0,1.0,25.0,25.0,1.0,57.0,1110.0,19.47,7.0,0.0,,8.0,0.0,0.0,162.0,218.5,221.5,190.0,104.0,2.0,,1971,0.0
Steve Owens*,DET,RB,24.0,14.0,13.0,0.0,0.0,0.0,0.0,0.0,246.0,1035.0,4.21,8.0,32.0,350.0,10.94,2.0,5.0,,10.0,0.0,0.0,199.0,225.5,234.0,209.5,89.0,1.0,,1971,0.0
Fred Biletnikoff*,OAK,WR,28.0,14.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.0,929.0,15.23,9.0,1.0,,9.0,0.0,0.0,147.0,206.9,210.4,176.4,87.0,3.0,,1971,0.0
Roger Staubach*,DAL,QB,29.0,13.0,10.0,126.0,211.0,1882.0,15.0,4.0,41.0,343.0,8.37,2.0,0.0,0.0,0.0,0.0,6.0,,2.0,0.0,0.0,174.0,167.6,180.6,171.6,81.0,2.0,,1971,0.0
Randy Vataha,NWE,WR,23.0,14.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.0,872.0,17.1,9.0,0.0,,9.0,0.0,0.0,141.0,192.2,195.2,166.7,80.0,4.0,,1971,0.0
John Hadl,SDG,QB,31.0,14.0,14.0,233.0,431.0,3075.0,21.0,25.0,18.0,75.0,4.17,1.0,0.0,0.0,0.0,0.0,4.0,,1.0,0.0,0.0,171.0,166.5,196.5,191.5,78.0,3.0,,1971,0.0
Leroy Kelly*,CLE,RB,29.0,14.0,14.0,1.0,4.0,23.0,0.0,0.0,234.0,865.0,3.7,10.0,25.0,252.0,10.08,2.0,7.0,,12.0,0.0,0.0,185.0,202.6,212.1,190.1,73.0,2.0,,1971,0.0
Bob Hayes,DAL,WR,29.0,14.0,13.0,0.0,0.0,0.0,0.0,0.0,3.0,18.0,6.0,0.0,35.0,840.0,24.0,8.0,0.0,,8.0,0.0,0.0,134.0,168.8,171.8,151.3,72.0,5.0,,1971,0.0
Floyd Little*,DEN,RB,29.0,14.0,13.0,0.0,1.0,0.0,0.0,0.0,284.0,1133.0,3.99,6.0,26.0,255.0,9.81,0.0,4.0,,6.0,0.0,0.0,175.0,196.8,204.8,183.8,62.0,3.0,,1971,0.0
Gary Garrison*,SDG,WR,27.0,14.0,14.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,42.0,889.0,21.17,6.0,0.0,,6.0,0.0,0.0,125.0,166.9,169.9,145.9,62.0,6.0,,1971,0.0
Bob Grim*,MIN,WR,26.0,14.0,14.0,0.0,1.0,0.0,0.0,0.0,6.0,127.0,21.17,0.0,45.0,691.0,15.36,7.0,0.0,,7.0,0.0,0.0,124.0,168.8,174.8,146.3,60.0,7.0,,1971,0.0
Duane Thomas,DAL,RB,24.0,11.0,10.0,0.0,1.0,0.0,0.0,0.0,175.0,793.0,4.53,11.0,13.0,153.0,11.77,2.0,3.0,,13.0,0.0,0.0,173.0,182.6,190.1,176.1,60.0,4.0,,1971,0.0
Roman Gabriel,RAM,QB,31.0,14.0,14.0,180.0,352.0,2238.0,17.0,10.0,18.0,48.0,2.67,2.0,0.0,0.0,0.0,0.0,9.0,,2.0,0.0,0.0,154.0,145.3,162.8,155.3,59.0,4.0,,1971,0.0
Bob Tucker,NYG,TE,26.0,12.0,12.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,59.0,791.0,13.41,4.0,3.0,,4.0,0.0,0.0,103.0,159.2,163.7,129.7,59.0,1.0,,1971,0.0
Terry Bradshaw,PIT,QB,23.0,14.0,13.0,203.0,373.0,2259.0,13.0,22.0,53.0,247.0,4.66,5.0,0.0,0.0,0.0,0.0,7.0,,5.0,0.0,0.0,153.0,146.1,177.6,168.1,58.0,5.0,,1971,0.0
Ted Kwalick*,SFO,TE,24.0,14.0,14.0,0.0,0.0,0.0,0.0,0.0,6.0,62.0,10.33,0.0,52.0,664.0,12.77,5.0,2.0,,5.0,0.0,0.0,103.0,152.6,156.6,126.6,58.0,2.0,,1971,0.0
