Player,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,TD,Int,Att.1,Yds.1,Y/A,TD.1,Tgt,Rec,Yds.2,Y/R,TD.2,Fmb,FL,TD.3,2PM,2PP,FantPt,PPR,DKPt,FDPt,VBD,PosRank,Unnamed: 33,Year
Barry Sanders *+,DET,RB,29.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,335.0,2053.0,6.13,11.0,50.0,33.0,305.0,9.24,3.0,3.0,2.0,14.0,0.0,0.0,320.0,348.8,356.8,332.3,186.0,1.0,,1997
Terrell Davis *+,DEN,RB,25.0,15.0,15.0,0.0,0.0,0.0,0.0,0.0,369.0,1750.0,4.74,15.0,58.0,42.0,287.0,6.83,0.0,4.0,,15.0,3.0,0.0,300.0,341.7,347.7,320.7,166.0,2.0,,1997
Dorsey Levens *,GNB,RB,27.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,329.0,1435.0,4.36,7.0,67.0,53.0,370.0,6.98,5.0,5.0,2.0,12.0,1.0,0.0,255.0,303.5,311.5,277.0,121.0,3.0,,1997
Jerome Bettis*,PIT,RB,25.0,15.0,15.0,0.0,0.0,0.0,0.0,0.0,375.0,1665.0,4.44,7.0,24.0,15.0,110.0,7.33,2.0,6.0,5.0,9.0,0.0,0.0,232.0,236.5,247.5,229.0,98.0,4.0,,1997
Brett Favre *+,GNB,QB,28.0,16.0,16.0,304.0,513.0,3867.0,35.0,16.0,58.0,187.0,3.22,1.0,0.0,0.0,0.0,0.0,0.0,7.0,4.0,1.0,0.0,1.0,291.0,281.4,307.4,297.4,96.0,1.0,,1997
Rob Moore*+,ARI,WR,29.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,208.0,97.0,1584.0,16.33,8.0,0.0,,8.0,1.0,0.0,208.0,305.4,308.4,256.9,93.0,1.0,,1997
Kordell Stewart,PIT,QB,25.0,16.0,16.0,236.0,440.0,3020.0,21.0,17.0,88.0,476.0,5.41,11.0,0.0,0.0,0.0,0.0,0.0,6.0,4.0,11.0,0.0,1.0,286.0,278.4,305.4,295.4,91.0,2.0,,1997
Napoleon Kaufman,OAK,RB,24.0,16.0,16.0,0.0,1.0,0.0,0.0,0.0,272.0,1294.0,4.76,6.0,50.0,40.0,403.0,10.08,2.0,7.0,4.0,8.0,0.0,0.0,218.0,249.7,259.7,229.7,84.0,5.0,,1997
Antonio Freeman,GNB,WR,25.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,1.0,14.0,14.0,0.0,137.0,81.0,1243.0,15.35,12.0,1.0,1.0,12.0,0.0,0.0,198.0,276.7,280.7,236.2,82.0,2.0,,1997
Karim Abdul-Jabbar,MIA,RB,23.0,16.0,14.0,0.0,0.0,0.0,0.0,0.0,283.0,892.0,3.15,15.0,49.0,29.0,261.0,9.0,1.0,3.0,2.0,16.0,0.0,0.0,211.0,236.3,244.3,221.8,78.0,6.0,,1997
Rod Smith,DEN,WR,27.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,5.0,16.0,3.2,0.0,131.0,70.0,1180.0,16.86,12.0,3.0,1.0,12.0,0.0,0.0,192.0,259.6,263.6,224.6,76.0,3.0,,1997
Cris Carter *,MIN,WR,32.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,158.0,89.0,1069.0,12.01,13.0,3.0,1.0,13.0,3.0,0.0,191.0,277.9,281.9,233.4,76.0,4.0,,1997
Yancey Thigpen*,PIT,WR,28.0,16.0,15.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,3.0,0.0,149.0,79.0,1398.0,17.7,7.0,1.0,,7.0,1.0,0.0,184.0,263.1,266.1,223.6,69.0,5.0,,1997
Joey Galloway,SEA,WR,26.0,15.0,15.0,0.0,0.0,0.0,0.0,0.0,9.0,72.0,8.0,0.0,147.0,72.0,1049.0,14.57,12.0,1.0,,12.0,0.0,0.0,184.0,256.1,259.1,220.1,69.0,6.0,,1997
Shannon Sharpe*+,DEN,TE,29.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,114.0,72.0,1107.0,15.38,3.0,1.0,,3.0,1.0,0.0,131.0,202.7,205.7,166.7,69.0,1.0,,1997
