,Player,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Fmb,FL,TD,2PM,2PP,FantPt,PPR,DKPt,FDPt,VBD,PosRank,OvRank,
1,Adrian Peterson*+,MIN,RB,27,16,16,0,0,0,0,0,348,2097,6.03,12,51,40,217,5.43,1,4,2,13,1,,307,347.4,355.4,327.4,177,1,1,
2,Doug Martin *,TAM,RB,23,16,16,0,0,0,0,0,319,1454,4.56,11,70,49,472,9.63,1,1,1,12,,,263,311.6,318.6,287.1,132,2,2,
3,Arian Foster *,HOU,RB,26,16,16,0,0,0,0,0,351,1424,4.06,15,58,40,217,5.43,2,3,2,17,,,262,302.1,310.1,282.1,132,3,3,
4,Marshawn Lynch *+,SEA,RB,26,16,15,0,0,0,0,0,315,1590,5.05,11,30,23,196,8.52,1,5,2,12,,,247,269.6,277.6,258.1,116,4,4,
5,Alfred Morris,WAS,RB,24,16,16,0,0,0,0,0,335,1613,4.81,13,16,11,77,7.00,0,4,3,13,,,241,252.0,258.0,246.5,111,5,5,
6,Calvin Johnson *+,DET,WR,27,16,16,0,0,0,0,0,0,0,,0,204,122,1964,16.10,5,3,3,5,,,220,342.4,348.4,281.4,102,1,6,
7,Brandon Marshall*+,CHI,WR,28,16,16,0,0,0,0,0,1,-2,-2.00,0,192,118,1508,12.78,11,2,0,11,,,217,334.6,337.6,275.6,98,2,7,
8,Drew Brees*,NOR,QB,33,16,16,422,670,5177,43,19,15,5,0.33,1,0,0,0,,0,5,1,1,,,346,345.6,368.6,364.6,95,1,8,
9,Aaron Rodgers *,GNB,QB,29,16,16,371,552,4295,39,8,54,259,4.80,2,1,1,-1,-1.00,0,5,4,2,,1,344,344.6,362.6,352.1,93,2,9,
10,Ray Rice*,BAL,RB,25,16,16,0,0,0,0,0,257,1143,4.45,9,83,61,478,7.84,1,1,0,10,,,222,283.1,289.1,252.6,92,6,10,
11,Tom Brady *,NWE,QB,35,16,16,401,637,4827,34,8,23,32,1.39,4,0,0,0,,0,2,0,4,,,340,340.3,351.3,348.3,90,3,11,
12,Dez Bryant,DAL,WR,24,16,14,0,0,0,0,0,2,-5,-2.50,0,138,92,1382,15.02,12,5,2,12,1,,208,299.7,304.7,253.7,89,3,12,
13,A.J. Green*,CIN,WR,24,16,16,0,0,0,0,0,4,38,9.50,0,164,97,1350,13.92,11,2,1,11,,,203,299.8,303.8,251.3,84,4,13,
14,C.J. Spiller*,BUF,RB,25,16,9,0,0,0,0,0,207,1244,6.01,6,57,43,459,10.67,2,3,3,8,,,212,255.3,264.3,233.8,82,7,14,
15,Demaryius Thomas*,DEN,WR,25,16,16,0,0,0,0,0,0,0,,0,143,94,1434,15.26,10,3,3,10,,,197,291.4,297.4,244.4,79,5,15,
16,Jamaal Charles*,KAN,RB,26,16,15,0,0,0,0,0,285,1509,5.29,5,49,35,236,6.74,1,5,3,6,,,205,239.5,248.5,222.0,74,8,16,
17,Trent Richardson,CLE,RB,22,15,15,0,0,0,0,0,267,950,3.56,11,70,51,367,7.20,1,3,0,12,,,204,254.7,260.7,229.2,73,9,17,
18,Cam Newton,CAR,QB,23,16,16,280,485,3869,19,12,127,741,5.83,8,1,0,6,,0,10,3,8,,,323,323.5,344.5,335.5,73,4,18,
19,Vincent Jackson*,TAM,WR,29,16,16,0,0,0,0,0,0,0,,0,147,72,1384,19.22,8,0,0,8,1,,188,260.4,263.4,224.4,70,6,19,
20,Stevan Ridley,NWE,RB,23,16,12,0,0,0,0,0,290,1263,4.36,12,14,6,51,8.50,0,4,2,12,,,199,205.4,210.4,202.4,69,10,20,
21,Andre Johnson *,HOU,WR,31,16,16,0,0,0,0,0,0,0,,0,162,112,1598,14.27,4,0,0,4,,,186,295.8,298.8,239.8,67,7,21,
22,Robert Griffin III*,WAS,QB,22,15,15,258,393,3200,20,5,120,815,6.79,7,1,0,0,,0,12,2,7,,,318,317.5,330.5,322.5,67,5,22,
23,Frank Gore*,SFO,RB,29,16,16,0,0,0,0,0,258,1214,4.71,8,36,28,234,8.36,1,3,1,10,,,197,230.8,237.8,216.8,66,11,23,
24,Eric Decker,DEN,WR,25,16,15,0,0,0,0,0,0,0,,0,122,85,1064,12.52,13,0,0,13,,,184,269.4,272.4,226.9,66,8,24,
25,Julio Jones *,ATL,WR,23,16,15,0,0,0,0,0,6,30,5.00,0,128,79,1198,15.16,10,0,0,10,,,183,261.8,264.8,222.3,64,9,25,
26,Peyton Manning*+,DEN,QB,36,16,16,400,583,4659,37,11,23,6,0.26,0,0,0,0,,0,2,2,0,,1,311,311.0,327.0,322.0,60,6,26,
27,Roddy White,ATL,WR,31,16,15,0,0,0,0,0,0,0,,0,142,92,1351,14.68,7,1,0,7,,,177,269.1,272.1,223.1,59,10,27,
28,Jimmy Graham,NOR,TE,26,15,9,0,0,0,0,0,0,0,,0,135,85,982,11.55,9,1,0,9,,,152,237.2,240.2,194.7,56,1,28,
29,Matt Ryan*,ATL,QB,27,16,16,422,615,4719,32,14,34,141,4.15,1,0,0,0,,0,3,2,1,,,305,304.9,326.9,318.9,54,7,29,
30,Rk,Player,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Fmb,FL,TD,2PM,2PP,FantPt,PPR,DKPt,FDPt,VBD,PosRank,OvRank
31,Wes Welker*,NWE,WR,31,16,12,0,0,0,0,0,2,20,10.00,0,174,118,1354,11.47,6,3,1,6,,,171,289.4,293.4,230.4,53,11,30,
32,Marques Colston,NOR,WR,29,16,13,0,0,0,0,0,0,0,,0,130,83,1154,13.90,10,4,2,10,,,171,254.4,259.4,212.9,53,12,31,
33,Victor Cruz*,NYG,WR,26,16,16,0,0,0,0,0,0,0,,0,143,86,1092,12.70,10,0,0,10,,,169,255.2,258.2,212.2,51,13,32,
34,Rob Gronkowski*,NWE,TE,23,11,11,0,0,0,0,0,0,0,,0,79,55,790,14.36,11,1,1,11,,,143,198.0,202.0,170.5,47,2,33,
35,Matt Forte,CHI,RB,27,15,15,0,0,0,0,0,248,1094,4.41,5,59,44,340,7.73,1,2,1,6,,,177,221.4,228.4,199.4,47,12,34,
36,Michael Crabtree,SFO,WR,25,16,16,0,0,0,0,0,1,8,8.00,0,127,85,1105,13.00,9,0,0,9,,,165,250.3,253.3,207.8,47,14,35,
37,Tony Gonzalez*+,ATL,TE,36,16,16,0,0,0,0,0,0,0,,0,124,93,930,10.00,8,0,0,8,,,141,234.0,237.0,187.5,45,3,36,
38,Chris Johnson,TEN,RB,27,16,15,0,0,0,0,0,276,1243,4.50,6,49,36,232,6.44,0,5,4,6,,,176,211.5,221.5,193.5,45,13,37,
39,Reggie Wayne*,IND,WR,34,16,15,0,0,0,0,0,1,-5,-5.00,0,195,106,1355,12.78,5,1,1,5,,,163,269.0,273.0,216.0,45,15,38,
40,James Jones,GNB,WR,28,16,16,0,0,0,0,0,0,0,,0,98,64,784,12.25,14,0,0,14,,,162,226.4,229.4,194.4,44,16,39,
41,Reggie Bush,MIA,RB,27,16,16,0,0,0,0,0,227,986,4.34,6,52,35,292,8.34,2,4,2,8,,,172,206.8,214.8,189.3,41,14,40,
42,Shonn Greene,NYJ,RB,27,16,14,0,0,0,0,0,276,1063,3.85,8,30,19,151,7.95,0,4,1,8,,,167,186.4,193.4,176.9,37,15,41,
43,Mike Williams,TAM,WR,25,16,16,1,1,28,0,0,0,0,,0,126,63,996,15.81,9,0,0,9,,,155,217.7,220.7,186.2,36,17,42,
44,Heath Miller*,PIT,TE,30,15,15,0,0,0,0,0,0,0,,0,101,71,816,11.49,8,0,0,8,1,,132,202.6,205.6,167.1,36,4,43,
45,Steven Jackson,STL,RB,29,16,16,0,0,0,0,0,258,1045,4.05,4,53,38,321,8.45,0,0,0,4,1,,163,200.6,206.6,181.6,32,16,44,
46,Tony Romo,DAL,QB,32,16,16,425,648,4903,28,19,30,49,1.63,1,1,1,-1,-1.00,0,6,3,1,1,1,279,279.9,304.9,298.4,28,8,45,
47,Russell Wilson *,SEA,QB,24,16,16,252,393,3118,26,10,94,489,5.20,4,0,0,0,,0,6,3,4,,1,278,277.6,296.6,287.6,27,9,46,
48,Michael Turner,ATL,RB,30,16,16,0,0,0,0,0,222,800,3.60,10,30,19,128,6.74,1,3,1,11,,,157,175.8,182.8,166.3,26,17,47,
49,Jason Witten*,DAL,TE,30,16,16,0,0,0,0,0,0,0,,0,147,110,1039,9.45,3,0,0,3,,,122,231.9,234.9,176.9,26,5,48,
50,Andrew Luck *,IND,QB,23,16,16,339,627,4374,23,18,62,255,4.11,5,0,0,0,,0,10,5,5,,,276,276.5,305.5,294.5,26,10,49,
51,Ahmad Bradshaw,NYG,RB,26,14,12,0,0,0,0,0,221,1015,4.59,6,31,23,245,10.65,0,3,3,6,,,156,179.0,188.0,167.5,26,18,50,
52,Matthew Stafford,DET,QB,24,16,16,435,727,4967,20,17,35,126,3.60,4,1,1,3,3.00,0,6,4,4,,1,276,276.6,303.6,293.1,25,11,51,
53,Randall Cobb,GNB,RB,22,15,8,0,0,0,0,0,10,132,13.20,0,104,80,954,11.93,8,4,1,9,,,155,240.6,247.6,200.6,24,19,52,
54,Steve Smith,CAR,WR,33,16,16,0,0,0,0,0,3,27,9.00,0,137,73,1174,16.08,4,1,1,4,,,142,215.1,219.1,178.6,24,18,53,
55,Lance Moore,NOR,WR,29,15,7,0,0,0,0,0,0,0,,0,104,65,1041,16.02,6,0,0,6,,,140,205.1,208.1,172.6,22,19,54,
56,BenJarvus Green-Ellis,CIN,RB,27,15,15,0,0,0,0,0,278,1094,3.94,6,30,22,104,4.73,0,3,2,6,,,152,173.8,181.8,162.8,21,20,55,
57,Steve Johnson,BUF,WR,26,16,16,0,0,0,0,0,0,0,,0,148,79,1046,13.24,6,1,1,6,,,139,217.6,221.6,178.1,20,20,56,
58,Cecil Shorts,JAX,WR,25,14,9,0,0,0,0,0,1,-4,-4.00,0,105,55,979,17.80,7,1,1,7,,,138,192.5,196.5,165.0,19,21,57,
59,Mikel Leshoure,DET,RB,22,14,14,0,0,0,0,0,215,798,3.71,9,49,34,214,6.29,0,3,3,9,,,149,183.2,192.2,166.2,19,21,58,
60,Greg Olsen,CAR,TE,27,16,16,0,0,0,0,0,0,0,,0,104,69,843,12.22,5,0,0,5,,,114,183.3,186.3,148.8,19,6,59,
61,Rk,Player,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Fmb,FL,TD,2PM,2PP,FantPt,PPR,DKPt,FDPt,VBD,PosRank,OvRank
62,Torrey Smith,BAL,WR,23,16,16,0,0,0,0,0,3,9,3.00,0,110,49,855,17.45,8,0,0,8,,,134,183.4,186.4,158.9,16,22,60,
63,LeSean McCoy,PHI,RB,24,12,12,0,0,0,0,0,200,840,4.20,2,67,54,373,6.91,3,4,3,5,,,145,199.3,208.3,172.3,15,22,61,
64,Dennis Pitta,BAL,TE,27,16,5,0,0,0,0,0,0,0,,0,94,61,669,10.97,7,0,0,7,,,109,169.9,172.9,139.4,13,7,62,
65,T.Y. Hilton,IND,WR,23,15,1,0,1,0,0,0,5,29,5.80,0,90,50,861,17.22,7,1,0,8,,,131,187.0,190.0,162.0,13,23,63,
66,Mike Wallace,PIT,WR,26,15,14,0,0,0,0,0,5,7,1.40,0,119,64,836,13.06,8,2,1,8,,,130,194.3,198.3,162.3,12,24,64,
67,Owen Daniels*,HOU,TE,30,15,14,0,0,0,0,0,0,0,,0,104,62,716,11.55,6,0,0,6,,,108,169.6,172.6,138.6,12,8,65,
68,Darren Sproles,NOR,RB,29,13,6,0,0,0,0,0,48,244,5.08,1,104,75,667,8.89,7,0,0,8,1,,141,216.1,222.1,178.6,11,23,66,
69,Miles Austin,DAL,WR,28,16,15,0,0,0,0,0,0,0,,0,119,66,943,14.29,6,1,1,6,,,128,194.3,198.3,161.3,10,25,67,
