,Player,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,Y/A,TD,Rec,Yds,Y/R,TD,Fmb,FL,TD,2PM,2PP,FantPt,PPR,DKPt,FDPt,VBD,PosRank,OvRank,
1,Billy Sims*,DET,RB,25,16,16,0,0,0,0,0,313,1303,4.16,13,51,621,12.18,3,12,,16,,,288,327.4,339.4,301.9,161,1,1,
2,Earl Campbell*+,HOU,RB,25,15,15,1,2,57,1,0,373,1934,5.18,13,11,47,4.27,0,4,,13,,,282,289.4,294.4,283.9,155,2,2,
3,John Jefferson*+,SDG,WR,24,16,16,0,0,0,0,0,1,16,16.00,0,82,1340,16.34,13,0,,13,,,214,295.6,298.6,254.6,113,1,3,
4,Kellen Winslow*+,SDG,TE,23,16,11,0,0,0,0,0,0,0,,0,89,1290,14.49,9,2,,9,,,183,270.0,274.0,225.5,108,1,4,
5,Joe Cribbs*,BUF,RB,22,16,16,1,1,13,0,0,306,1185,3.87,11,52,415,7.98,1,16,,12,,,233,268.5,282.5,242.5,105,3,5,
6,Walter Payton*+,CHI,RB,26,16,16,0,3,0,0,0,317,1460,4.61,6,46,367,7.98,1,5,,7,,,225,265.7,274.2,242.7,97,4,6,
7,Ottis Anderson *,STL,RB,23,16,16,0,0,0,0,0,301,1352,4.49,9,36,308,8.56,0,5,,9,,,220,251.0,259.5,233.0,93,5,7,
8,Ted Brown,MIN,RB,23,16,16,0,0,0,0,0,219,912,4.16,8,62,623,10.05,2,6,,10,,,214,269.5,278.5,238.5,86,6,8,
9,Tony Dorsett,DAL,RB,26,15,15,0,1,0,0,0,278,1185,4.26,11,34,263,7.74,0,8,,11,,,211,236.8,246.8,219.8,83,7,9,
10,Dan Fouts*,SDG,QB,29,16,16,348,589,4715,30,24,23,15,0.65,2,0,0,,0,11,,2,,,274,263.1,295.6,287.1,80,1,10,
11,William Andrews*,ATL,RB,25,16,16,0,0,0,0,0,265,1308,4.94,4,51,456,8.94,1,6,,5,,,206,251.4,260.4,225.9,79,8,11,
12,Brian Sipe*+,CLE,QB,31,16,16,337,554,4132,30,14,20,55,2.75,1,0,0,,0,3,,1,,,269,265.8,284.3,279.8,75,2,12,
13,Mike Pruitt*,CLE,RB,26,16,16,0,0,0,0,0,249,1034,4.15,6,63,471,7.48,0,9,,6,,,187,240.5,251.0,209.0,59,9,13,
14,Tony Hill,DAL,WR,24,16,13,0,0,0,0,0,4,27,6.75,0,60,1055,17.58,8,0,,8,,,156,216.2,219.2,186.2,55,2,14,
15,Earl Cooper,SFO,RB,23,16,16,0,0,0,0,0,171,720,4.21,5,83,567,6.83,4,8,,9,,,183,257.7,267.7,216.2,55,10,15,
16,Steve Bartkowski*,ATL,QB,28,16,16,257,463,3544,31,16,25,35,1.40,2,0,0,,0,6,,2,,,249,243.3,265.3,259.3,55,3,16,
17,Wilbert Montgomery,PHI,RB,26,12,12,0,1,0,0,0,193,778,4.03,8,50,407,8.14,2,3,,10,,,179,225.5,233.0,200.5,51,11,17,
18,Curtis Dickey,BAL,RB,24,15,5,0,0,0,0,0,176,800,4.55,11,25,204,8.16,2,3,,13,,,178,200.4,207.9,187.9,51,12,18,
19,Doug Williams,TAM,QB,25,16,16,254,521,3396,20,16,58,370,6.38,4,0,0,,0,7,,4,,,245,237.8,263.3,253.8,51,4,19,
20,Ron Jaworski*,PHI,QB,29,16,16,257,451,3529,27,12,27,95,3.52,1,0,0,,0,6,,1,,,241,234.7,252.7,246.7,47,5,20,
21,Dwight Clark,SFO,WR,23,16,12,0,0,0,0,0,0,0,,0,82,991,12.09,8,2,,8,,,147,227.1,231.1,186.1,46,3,21,
22,James Lofton*,GNB,WR,24,16,16,0,0,0,0,0,0,0,,0,71,1226,17.27,4,0,,4,,,147,217.6,220.6,182.1,46,4,22,
