,Player,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,Y/A,TD,Rec,Yds,Y/R,TD,Fmb,FL,TD,2PM,2PP,FantPt,PPR,DKPt,FDPt,VBD,PosRank,OvRank,
1,Marcus Allen*+,RAI,RB,22,9,9,1,4,47,0,0,160,697,4.36,11,38,401,10.55,3,5,,14,,,196,228.7,237.2,209.7,206,1,1,
2,Wes Chandler*+,SDG,WR,26,8,8,0,0,0,0,0,5,32,6.40,0,49,1032,21.06,9,0,,9,,,160,209.4,212.4,184.9,190,1,2,
3,Wendell Tyler,RAM,RB,27,9,9,0,0,0,0,0,137,564,4.12,9,38,375,9.87,4,10,,13,,,172,199.9,210.9,180.9,164,2,3,
4,William Andrews*,ATL,RB,27,9,9,0,0,0,0,0,139,573,4.12,5,42,503,11.98,2,1,,7,,,150,190.6,197.1,169.6,124,3,4,
5,Dwight Clark*+,SFO,WR,25,9,8,0,0,0,0,0,0,0,,0,60,913,15.22,5,1,,5,,,121,180.3,183.8,150.3,121,2,5,
6,Kellen Winslow*+,SDG,TE,25,9,9,0,1,0,0,0,0,0,,0,54,721,13.35,6,1,,6,,,108,161.1,164.6,134.1,120,1,6,
7,Charlie Brown*,WAS,WR,24,9,9,0,0,0,0,0,0,0,,0,32,690,21.56,8,1,,8,,,117,148.0,151.5,132.0,113,3,7,
8,Chuck Muncie*,SDG,RB,29,9,9,2,3,83,2,0,138,569,4.12,8,25,207,8.28,1,4,,9,,,143,163.9,171.9,151.4,113,4,8,
9,Joe Montana,SFO,QB,26,9,9,213,346,2613,17,11,30,118,3.93,1,0,0,,0,4,,1,,,168,164.3,183.3,175.3,107,1,9,
10,Dan Fouts*+,SDG,QB,31,9,9,204,330,2883,17,11,9,8,0.89,1,0,0,,0,2,,1,,,168,166.1,181.1,177.1,107,2,10,
11,Freeman McNeil*+,NYJ,RB,23,9,9,0,0,0,0,0,151,786,5.21,6,16,187,11.69,1,7,,7,,,139,148.3,157.8,140.3,106,5,11,
12,James Lofton*,GNB,WR,26,9,9,1,1,43,0,0,4,101,25.25,1,35,696,19.89,4,0,,5,,,111,146.4,152.4,128.9,103,4,12,
13,Ken Anderson *,CIN,QB,33,9,9,218,309,2495,12,9,25,85,3.40,4,0,0,,0,1,,4,,,162,161.3,173.8,170.3,97,3,13,
14,Dave Casper,HOU,TE,30,9,9,0,0,0,0,0,2,9,4.50,0,36,573,15.92,6,1,,6,,,94,129.2,132.7,111.2,95,2,14,
