Player,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,TD,Int,Att.1,Yds.1,Y/A,TD.1,Tgt,Rec,Yds.2,Y/R,TD.2,Fmb,FL,TD.3,2PM,2PP,FantPt,PPR,DKPt,FDPt,VBD,PosRank,Unnamed: 33,Year
Priest Holmes*+,KAN,RB,30.0,16.0,16.0,0.0,1.0,0.0,0.0,0.0,320.0,1420.0,4.44,27.0,90.0,74.0,690.0,9.32,0.0,1.0,1.0,27.0,0.0,0.0,373.0,445.0,452.0,408.0,231.0,1.0,,2003
Ahman Green*,GNB,RB,26.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,355.0,1883.0,5.3,15.0,60.0,50.0,367.0,7.34,5.0,7.0,5.0,20.0,0.0,0.0,345.0,385.0,396.0,360.0,203.0,2.0,,2003
LaDainian Tomlinson,SDG,RB,24.0,16.0,16.0,1.0,1.0,21.0,1.0,0.0,313.0,1645.0,5.26,13.0,137.0,100.0,725.0,7.25,4.0,2.0,,17.0,0.0,0.0,344.0,443.8,449.8,393.8,202.0,3.0,,2003
Jamal Lewis*+,BAL,RB,24.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,387.0,2066.0,5.34,14.0,38.0,26.0,205.0,7.88,0.0,8.0,6.0,14.0,0.0,0.0,311.0,325.1,337.1,312.1,169.0,4.0,,2003
Randy Moss*+,MIN,WR,26.0,16.0,16.0,0.0,1.0,0.0,0.0,0.0,6.0,18.0,3.0,0.0,172.0,111.0,1632.0,14.7,17.0,1.0,1.0,17.0,0.0,0.0,267.0,376.0,380.0,320.5,163.0,1.0,,2003
Torry Holt*+,STL,WR,27.0,16.0,15.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,5.0,0.0,183.0,117.0,1696.0,14.5,12.0,1.0,,12.0,0.0,0.0,242.0,359.1,362.1,300.6,138.0,2.0,,2003
Clinton Portis*,DEN,RB,22.0,13.0,13.0,0.0,0.0,0.0,0.0,0.0,290.0,1591.0,5.49,14.0,51.0,38.0,314.0,8.26,0.0,3.0,1.0,14.0,1.0,0.0,277.0,312.5,319.5,293.5,135.0,5.0,,2003
Shaun Alexander *,SEA,RB,26.0,16.0,15.0,0.0,0.0,0.0,0.0,0.0,326.0,1435.0,4.4,14.0,59.0,42.0,295.0,7.02,2.0,4.0,3.0,16.0,0.0,0.0,269.0,305.0,314.0,284.0,127.0,6.0,,2003
Deuce McAllister*,NOR,RB,25.0,16.0,16.0,0.0,2.0,0.0,0.0,0.0,351.0,1641.0,4.68,8.0,87.0,69.0,516.0,7.48,0.0,6.0,3.0,8.0,0.0,0.0,264.0,326.7,335.7,292.2,122.0,7.0,,2003
Fred Taylor,JAX,RB,27.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,345.0,1572.0,4.56,6.0,74.0,48.0,370.0,7.71,1.0,6.0,4.0,7.0,0.0,0.0,236.0,276.2,286.2,252.2,94.0,8.0,,2003
