,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Year
0,Zaid Abdul-Aziz,PF-C,31.0,TOT,16.0,0.0,158.0,23.0,60.0,0.383,0.0,0.0,0.0,23.0,60.0,0.383,0.383,17.0,23.0,0.739,19.0,31.0,50.0,10.0,3.0,3.0,14.0,29.0,63.0,1978
3,Kareem Abdul-Jabbar,C,30.0,LAL,62.0,0.0,2265.0,663.0,1205.0,0.55,0.0,0.0,0.0,663.0,1205.0,0.55,0.55,274.0,350.0,0.783,186.0,615.0,801.0,269.0,103.0,185.0,208.0,182.0,1600.0,1978
4,Tom Abernethy,SF,23.0,LAL,73.0,0.0,1317.0,201.0,404.0,0.498,0.0,0.0,0.0,201.0,404.0,0.498,0.498,91.0,111.0,0.82,105.0,160.0,265.0,101.0,55.0,22.0,50.0,122.0,493.0,1978
5,Alvan Adams,C,23.0,PHO,70.0,0.0,1914.0,434.0,895.0,0.485,0.0,0.0,0.0,434.0,895.0,0.485,0.485,214.0,293.0,0.73,158.0,407.0,565.0,225.0,86.0,63.0,234.0,242.0,1082.0,1978
6,Lucius Allen,PG,30.0,KCK,77.0,0.0,2147.0,373.0,846.0,0.441,0.0,0.0,0.0,373.0,846.0,0.441,0.441,174.0,220.0,0.791,66.0,163.0,229.0,360.0,93.0,28.0,217.0,180.0,920.0,1978
7,Jim Ard,C,29.0,TOT,15.0,0.0,125.0,8.0,17.0,0.471,0.0,0.0,0.0,8.0,17.0,0.471,0.471,3.0,5.0,0.6,9.0,27.0,36.0,8.0,0.0,0.0,14.0,19.0,19.0,1978
10,Tate Armstrong,SG,22.0,CHI,66.0,0.0,716.0,131.0,280.0,0.468,0.0,0.0,0.0,131.0,280.0,0.468,0.468,22.0,27.0,0.815,24.0,44.0,68.0,74.0,23.0,0.0,58.0,42.0,284.0,1978
11,Bird Averitt,SG,25.0,TOT,55.0,0.0,1085.0,198.0,484.0,0.409,0.0,0.0,0.0,198.0,484.0,0.409,0.409,100.0,141.0,0.709,17.0,66.0,83.0,196.0,39.0,9.0,143.0,123.0,496.0,1978
14,Dennis Awtrey,C,29.0,PHO,81.0,0.0,1623.0,112.0,264.0,0.424,0.0,0.0,0.0,112.0,264.0,0.424,0.424,69.0,109.0,0.633,97.0,205.0,302.0,163.0,19.0,25.0,127.0,153.0,293.0,1978
15,Gus Bailey,SG,26.0,NOJ,48.0,0.0,449.0,59.0,139.0,0.424,0.0,0.0,0.0,59.0,139.0,0.424,0.424,37.0,67.0,0.552,44.0,38.0,82.0,40.0,18.0,15.0,33.0,46.0,155.0,1978
16,Greg Ballard,SF,23.0,WSB,76.0,0.0,936.0,142.0,334.0,0.425,0.0,0.0,0.0,142.0,334.0,0.425,0.425,88.0,114.0,0.772,102.0,164.0,266.0,62.0,30.0,13.0,64.0,90.0,372.0,1978
17,Mike Bantom,SF,26.0,IND,82.0,0.0,2775.0,502.0,1047.0,0.479,0.0,0.0,0.0,502.0,1047.0,0.479,0.479,254.0,342.0,0.743,184.0,426.0,610.0,238.0,100.0,50.0,218.0,333.0,1258.0,1978
18,Marvin Barnes,PF,25.0,TOT,60.0,0.0,1646.0,279.0,661.0,0.422,0.0,0.0,0.0,279.0,661.0,0.422,0.422,128.0,182.0,0.703,135.0,304.0,439.0,136.0,64.0,83.0,136.0,241.0,686.0,1978
21,Rick Barry,SF,33.0,GSW,82.0,0.0,3024.0,760.0,1686.0,0.451,0.0,0.0,0.0,760.0,1686.0,0.451,0.451,378.0,409.0,0.924,75.0,374.0,449.0,446.0,158.0,45.0,224.0,188.0,1898.0,1978
22,Tim Bassett,PF,26.0,NJN,65.0,0.0,1474.0,149.0,384.0,0.388,0.0,0.0,0.0,149.0,384.0,0.388,0.388,50.0,97.0,0.515,142.0,262.0,404.0,63.0,62.0,33.0,80.0,181.0,348.0,1978
23,Butch Beard,PG,30.0,NYK,79.0,0.0,1979.0,308.0,614.0,0.502,0.0,0.0,0.0,308.0,614.0,0.502,0.502,129.0,160.0,0.806,76.0,188.0,264.0,339.0,117.0,3.0,154.0,201.0,745.0,1978
24,Ron Behagen,PF,27.0,TOT,80.0,0.0,1735.0,346.0,804.0,0.43,0.0,0.0,0.0,346.0,804.0,0.43,0.43,179.0,247.0,0.725,201.0,312.0,513.0,101.0,62.0,31.0,174.0,263.0,871.0,1978
28,Mel Bennett,PF,23.0,IND,31.0,0.0,285.0,23.0,81.0,0.284,0.0,0.0,0.0,23.0,81.0,0.284,0.284,28.0,45.0,0.622,49.0,44.0,93.0,22.0,11.0,7.0,30.0,54.0,74.0,1978
29,Kent Benson,C,23.0,MIL,69.0,0.0,1288.0,220.0,473.0,0.465,0.0,0.0,0.0,220.0,473.0,0.465,0.465,92.0,141.0,0.652,89.0,206.0,295.0,99.0,69.0,54.0,119.0,177.0,532.0,1978
30,Henry Bibby,PG,28.0,PHI,82.0,0.0,2518.0,286.0,659.0,0.434,0.0,0.0,0.0,286.0,659.0,0.434,0.434,171.0,219.0,0.781,62.0,189.0,251.0,464.0,91.0,6.0,153.0,207.0,743.0,1978
31,Bob Bigelow,SF,24.0,TOT,5.0,0.0,24.0,4.0,13.0,0.308,0.0,0.0,0.0,4.0,13.0,0.308,0.308,0.0,0.0,0.0,3.0,6.0,9.0,0.0,0.0,0.0,0.0,3.0,8.0,1978
34,Dave Bing,PG,34.0,BOS,80.0,0.0,2256.0,422.0,940.0,0.449,0.0,0.0,0.0,422.0,940.0,0.449,0.449,244.0,296.0,0.824,76.0,136.0,212.0,300.0,79.0,18.0,216.0,247.0,1088.0,1978
35,Otis Birdsong,SG,22.0,KCK,73.0,0.0,1878.0,470.0,955.0,0.492,0.0,0.0,0.0,470.0,955.0,0.492,0.492,216.0,310.0,0.697,70.0,105.0,175.0,174.0,74.0,12.0,145.0,179.0,1156.0,1978
36,Tom Boerwinkle,C,32.0,CHI,22.0,0.0,227.0,23.0,50.0,0.46,0.0,0.0,0.0,23.0,50.0,0.46,0.46,10.0,13.0,0.769,14.0,45.0,59.0,44.0,3.0,4.0,26.0,36.0,56.0,1978
