,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Year
254,Mark Olberding,SF,24.0,SAS,82.0,0.0,2408.0,348.0,685.0,0.508,1.0,7.0,0.143,347.0,678.0,0.512,0.509,315.0,380.0,0.829,146.0,325.0,471.0,277.0,75.0,31.0,202.0,307.0,1012.0,1981
255,Jawann Oldham,C,23.0,DEN,4.0,0.0,21.0,2.0,6.0,0.333,0.0,0.0,0.0,2.0,6.0,0.333,0.333,0.0,0.0,0.0,3.0,2.0,5.0,0.0,0.0,2.0,2.0,3.0,4.0,1981
256,Louis Orr,SF,22.0,IND,82.0,0.0,1787.0,348.0,709.0,0.491,0.0,6.0,0.0,348.0,703.0,0.495,0.491,163.0,202.0,0.807,172.0,189.0,361.0,132.0,55.0,25.0,123.0,153.0,859.0,1981
257,Tom Owens,PF,31.0,POR,79.0,0.0,1843.0,322.0,630.0,0.511,0.0,4.0,0.0,322.0,626.0,0.514,0.511,191.0,250.0,0.764,165.0,291.0,456.0,140.0,36.0,47.0,130.0,273.0,835.0,1981
258,Robert Parish,C,27.0,BOS,82.0,78.0,2298.0,635.0,1166.0,0.545,0.0,1.0,0.0,635.0,1165.0,0.545,0.545,282.0,397.0,0.71,245.0,532.0,777.0,144.0,81.0,214.0,191.0,310.0,1552.0,1981
259,Sonny Parker,SG,25.0,GSW,73.0,0.0,1317.0,191.0,388.0,0.492,0.0,0.0,0.0,191.0,388.0,0.492,0.492,94.0,128.0,0.734,101.0,93.0,194.0,106.0,67.0,13.0,84.0,112.0,476.0,1981
260,Myles Patrick,SF,26.0,LAL,3.0,0.0,9.0,2.0,5.0,0.4,0.0,0.0,0.0,2.0,5.0,0.4,0.4,1.0,2.0,0.5,1.0,1.0,2.0,1.0,0.0,0.0,1.0,3.0,5.0,1981
261,Billy Paultz,PF,32.0,HOU,81.0,0.0,1659.0,262.0,517.0,0.507,0.0,3.0,0.0,262.0,514.0,0.51,0.507,75.0,153.0,0.49,111.0,280.0,391.0,105.0,28.0,72.0,89.0,182.0,599.0,1981
262,Jim Paxson,SG,23.0,POR,79.0,0.0,2701.0,585.0,1092.0,0.536,2.0,30.0,0.067,583.0,1062.0,0.549,0.537,182.0,248.0,0.734,74.0,137.0,211.0,299.0,140.0,9.0,131.0,172.0,1354.0,1981
263,Sam Pellom,PF,29.0,ATL,77.0,0.0,1472.0,186.0,380.0,0.489,0.0,1.0,0.0,186.0,379.0,0.491,0.489,81.0,116.0,0.698,122.0,234.0,356.0,48.0,50.0,92.0,99.0,228.0,453.0,1981
