,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Year
0,Jeff Adrien,PF,25.0,HOU,8.0,0.0,63.0,7.0,16.0,0.438,0.0,0.0,0.0,7.0,16.0,0.438,0.438,7.0,12.0,0.583,5.0,17.0,22.0,1.0,0.0,2.0,2.0,13.0,21.0,2012
1,Arron Afflalo,SG,26.0,DEN,62.0,62.0,2086.0,329.0,699.0,0.471,88.0,221.0,0.398,241.0,478.0,0.504,0.534,197.0,247.0,0.798,40.0,157.0,197.0,149.0,36.0,13.0,85.0,134.0,943.0,2012
2,Blake Ahearn,PG,27.0,UTA,4.0,0.0,30.0,4.0,14.0,0.286,2.0,9.0,0.222,2.0,5.0,0.4,0.357,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,5.0,4.0,10.0,2012
3,Solomon Alabi,C,23.0,TOR,14.0,0.0,122.0,13.0,36.0,0.361,0.0,0.0,0.0,13.0,36.0,0.361,0.361,7.0,8.0,0.875,15.0,32.0,47.0,3.0,2.0,9.0,5.0,11.0,33.0,2012
4,Cole Aldrich,C,23.0,OKC,26.0,0.0,173.0,22.0,42.0,0.524,0.0,0.0,0.0,22.0,42.0,0.524,0.524,13.0,14.0,0.929,13.0,35.0,48.0,3.0,8.0,16.0,9.0,22.0,57.0,2012
5,LaMarcus Aldridge,PF,26.0,POR,55.0,55.0,1994.0,483.0,943.0,0.512,2.0,11.0,0.182,481.0,932.0,0.516,0.513,223.0,274.0,0.814,150.0,292.0,442.0,134.0,51.0,45.0,111.0,153.0,1191.0,2012
6,Lavoy Allen,PF,22.0,PHI,41.0,15.0,624.0,79.0,167.0,0.473,0.0,0.0,0.0,79.0,167.0,0.473,0.473,11.0,14.0,0.786,47.0,124.0,171.0,34.0,13.0,18.0,20.0,73.0,169.0,2012
7,Ray Allen,SG,36.0,BOS,46.0,42.0,1565.0,226.0,493.0,0.458,106.0,234.0,0.453,120.0,259.0,0.463,0.566,97.0,106.0,0.915,14.0,128.0,142.0,109.0,49.0,8.0,68.0,83.0,655.0,2012
8,Tony Allen,SG,30.0,MEM,58.0,57.0,1525.0,210.0,448.0,0.469,8.0,26.0,0.308,202.0,422.0,0.479,0.478,140.0,175.0,0.8,98.0,135.0,233.0,79.0,104.0,33.0,94.0,142.0,568.0,2012
9,Morris Almond,SG,26.0,WAS,4.0,0.0,67.0,6.0,17.0,0.353,1.0,3.0,0.333,5.0,14.0,0.357,0.382,1.0,3.0,0.333,1.0,7.0,8.0,2.0,7.0,0.0,1.0,6.0,14.0,2012
10,Al-Farouq Aminu,SF,21.0,NOH,66.0,21.0,1477.0,150.0,365.0,0.411,13.0,47.0,0.277,137.0,318.0,0.431,0.429,86.0,114.0,0.754,95.0,213.0,308.0,66.0,59.0,34.0,91.0,136.0,399.0,2012
11,Lou Amundson,PF,29.0,IND,60.0,0.0,753.0,89.0,207.0,0.43,0.0,0.0,0.0,89.0,207.0,0.43,0.43,35.0,82.0,0.427,94.0,128.0,222.0,14.0,27.0,44.0,45.0,125.0,213.0,2012
12,Chris Andersen,C,33.0,DEN,32.0,1.0,486.0,59.0,108.0,0.546,0.0,0.0,0.0,59.0,108.0,0.546,0.546,50.0,82.0,0.61,48.0,100.0,148.0,6.0,19.0,46.0,17.0,52.0,168.0,2012
13,Alan Anderson,SF,29.0,TOR,17.0,12.0,461.0,55.0,142.0,0.387,24.0,61.0,0.393,31.0,81.0,0.383,0.472,29.0,34.0,0.853,8.0,26.0,34.0,26.0,5.0,3.0,25.0,35.0,163.0,2012
14,James Anderson,SG,22.0,SAS,51.0,2.0,603.0,66.0,174.0,0.379,19.0,68.0,0.279,47.0,106.0,0.443,0.434,39.0,52.0,0.75,16.0,63.0,79.0,41.0,8.0,2.0,30.0,35.0,190.0,2012
15,Ryan Anderson,PF,23.0,ORL,61.0,61.0,1964.0,332.0,757.0,0.439,166.0,422.0,0.393,166.0,335.0,0.496,0.548,150.0,171.0,0.877,224.0,247.0,471.0,54.0,50.0,26.0,57.0,146.0,980.0,2012
16,Carmelo Anthony,SF,27.0,NYK,55.0,55.0,1876.0,441.0,1025.0,0.43,68.0,203.0,0.335,373.0,822.0,0.454,0.463,295.0,367.0,0.804,88.0,256.0,344.0,200.0,62.0,24.0,144.0,156.0,1245.0,2012
17,Joel Anthony,C,29.0,MIA,64.0,51.0,1349.0,85.0,152.0,0.559,0.0,0.0,0.0,85.0,152.0,0.559,0.559,49.0,71.0,0.69,100.0,150.0,250.0,9.0,36.0,84.0,45.0,126.0,219.0,2012
18,Gilbert Arenas,PG,30.0,MEM,17.0,0.0,211.0,26.0,64.0,0.406,13.0,39.0,0.333,13.0,25.0,0.52,0.508,7.0,10.0,0.7,2.0,16.0,18.0,18.0,11.0,1.0,12.0,35.0,72.0,2012
19,Trevor Ariza,SF,26.0,NOH,41.0,41.0,1350.0,168.0,403.0,0.417,29.0,87.0,0.333,139.0,316.0,0.44,0.453,79.0,102.0,0.775,41.0,174.0,215.0,135.0,69.0,25.0,76.0,73.0,444.0,2012
20,Ömer Aşık,C,25.0,CHI,66.0,2.0,971.0,79.0,156.0,0.506,0.0,0.0,0.0,79.0,156.0,0.506,0.506,47.0,103.0,0.456,127.0,223.0,350.0,32.0,30.0,68.0,68.0,121.0,205.0,2012
21,D.J. Augustin,PG,24.0,CHA,48.0,46.0,1408.0,183.0,487.0,0.376,61.0,179.0,0.341,122.0,308.0,0.396,0.438,105.0,120.0,0.875,24.0,85.0,109.0,307.0,36.0,1.0,110.0,65.0,532.0,2012
