,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Year
0,Jeff Adrien,PF,24.0,GSW,23.0,0.0,196.0,23.0,54.0,0.426,0.0,0.0,0.0,23.0,54.0,0.426,0.426,11.0,19.0,0.579,23.0,35.0,58.0,10.0,4.0,5.0,9.0,28.0,57.0,2011
1,Arron Afflalo,SG,25.0,DEN,69.0,69.0,2324.0,312.0,627.0,0.498,105.0,248.0,0.423,207.0,379.0,0.546,0.581,138.0,163.0,0.847,45.0,206.0,251.0,168.0,34.0,31.0,71.0,153.0,867.0,2011
2,Maurice Ager,SG,26.0,MIN,4.0,0.0,29.0,6.0,11.0,0.545,3.0,4.0,0.75,3.0,7.0,0.429,0.682,0.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,0.0,4.0,4.0,15.0,2011
3,Alexis Ajinça,C,22.0,TOT,34.0,2.0,340.0,59.0,133.0,0.444,12.0,34.0,0.353,47.0,99.0,0.475,0.489,13.0,18.0,0.722,17.0,61.0,78.0,10.0,11.0,19.0,18.0,73.0,143.0,2011
6,Solomon Alabi,C,22.0,TOR,12.0,0.0,59.0,3.0,15.0,0.2,0.0,0.0,0.0,3.0,15.0,0.2,0.2,0.0,2.0,0.0,7.0,7.0,14.0,2.0,2.0,2.0,3.0,5.0,6.0,2011
7,Cole Aldrich,C,22.0,OKC,18.0,0.0,142.0,8.0,15.0,0.533,0.0,0.0,0.0,8.0,15.0,0.533,0.533,2.0,4.0,0.5,13.0,22.0,35.0,4.0,5.0,7.0,8.0,30.0,18.0,2011
8,LaMarcus Aldridge,PF,25.0,POR,81.0,81.0,3211.0,707.0,1415.0,0.5,4.0,23.0,0.174,703.0,1392.0,0.505,0.501,351.0,444.0,0.791,278.0,431.0,709.0,170.0,82.0,94.0,153.0,220.0,1769.0,2011
9,Malik Allen,PF,32.0,ORL,18.0,0.0,178.0,11.0,31.0,0.355,0.0,0.0,0.0,11.0,31.0,0.355,0.355,1.0,2.0,0.5,12.0,20.0,32.0,4.0,1.0,4.0,3.0,30.0,23.0,2011
10,Ray Allen,SG,35.0,BOS,80.0,80.0,2890.0,480.0,978.0,0.491,168.0,378.0,0.444,312.0,600.0,0.52,0.577,193.0,219.0,0.881,51.0,223.0,274.0,219.0,77.0,16.0,117.0,147.0,1321.0,2011
11,Tony Allen,SG,29.0,MEM,72.0,31.0,1494.0,251.0,492.0,0.51,4.0,23.0,0.174,247.0,469.0,0.527,0.514,137.0,182.0,0.753,70.0,123.0,193.0,104.0,129.0,44.0,86.0,161.0,643.0,2011
12,Al-Farouq Aminu,SF,20.0,LAC,81.0,14.0,1452.0,160.0,406.0,0.394,45.0,143.0,0.315,115.0,263.0,0.437,0.45,92.0,119.0,0.773,75.0,192.0,267.0,60.0,59.0,25.0,103.0,121.0,457.0,2011
13,Lou Amundson,PF,28.0,GSW,46.0,7.0,691.0,83.0,183.0,0.454,0.0,0.0,0.0,83.0,183.0,0.454,0.454,34.0,87.0,0.391,81.0,104.0,185.0,17.0,14.0,33.0,24.0,87.0,200.0,2011
14,Chris Andersen,C,32.0,DEN,45.0,0.0,732.0,82.0,137.0,0.599,0.0,1.0,0.0,82.0,136.0,0.603,0.599,86.0,135.0,0.637,75.0,144.0,219.0,20.0,23.0,58.0,25.0,79.0,250.0,2011
15,David Andersen,PF,30.0,TOT,40.0,0.0,373.0,56.0,121.0,0.463,8.0,23.0,0.348,48.0,98.0,0.49,0.496,14.0,22.0,0.636,20.0,64.0,84.0,13.0,5.0,9.0,22.0,40.0,134.0,2011
18,James Anderson,SF,21.0,SAS,26.0,2.0,286.0,31.0,81.0,0.383,18.0,46.0,0.391,13.0,35.0,0.371,0.494,14.0,18.0,0.778,2.0,21.0,23.0,18.0,3.0,6.0,13.0,24.0,94.0,2011
19,Ryan Anderson,PF,22.0,ORL,64.0,14.0,1424.0,226.0,525.0,0.43,134.0,341.0,0.393,92.0,184.0,0.5,0.558,95.0,117.0,0.812,129.0,226.0,355.0,52.0,30.0,38.0,49.0,137.0,681.0,2011
20,Carmelo Anthony,SF,26.0,TOT,77.0,77.0,2751.0,684.0,1503.0,0.455,95.0,251.0,0.378,589.0,1252.0,0.47,0.487,507.0,605.0,0.838,118.0,445.0,563.0,221.0,68.0,46.0,206.0,224.0,1970.0,2011
23,Joel Anthony,C,28.0,MIA,75.0,11.0,1463.0,53.0,99.0,0.535,0.0,0.0,0.0,53.0,99.0,0.535,0.535,47.0,73.0,0.644,104.0,162.0,266.0,24.0,10.0,93.0,36.0,194.0,153.0,2011
24,Gilbert Arenas,PG,29.0,TOT,70.0,16.0,1796.0,269.0,734.0,0.366,97.0,327.0,0.297,172.0,407.0,0.423,0.433,120.0,153.0,0.784,22.0,167.0,189.0,274.0,74.0,21.0,177.0,188.0,755.0,2011
27,Trevor Ariza,SF,25.0,NOH,75.0,75.0,2600.0,303.0,762.0,0.398,82.0,271.0,0.303,221.0,491.0,0.45,0.451,138.0,197.0,0.701,61.0,347.0,408.0,162.0,120.0,31.0,118.0,180.0,826.0,2011
