,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Year
0,Kareem Abdul-Jabbar,C,31.0,LAL,80.0,0.0,3157.0,777.0,1347.0,0.577,0.0,0.0,0.0,777.0,1347.0,0.577,0.577,349.0,474.0,0.736,207.0,818.0,1025.0,431.0,76.0,316.0,282.0,230.0,1903.0,1979
1,Tom Abernethy,PF,24.0,GSW,70.0,0.0,1219.0,176.0,342.0,0.515,0.0,0.0,0.0,176.0,342.0,0.515,0.515,70.0,94.0,0.745,74.0,142.0,216.0,79.0,39.0,13.0,32.0,133.0,422.0,1979
2,Alvan Adams,C,24.0,PHO,77.0,0.0,2364.0,569.0,1073.0,0.53,0.0,0.0,0.0,569.0,1073.0,0.53,0.53,231.0,289.0,0.799,220.0,485.0,705.0,360.0,110.0,63.0,279.0,246.0,1369.0,1979
3,Lucius Allen,PG,31.0,KCK,31.0,0.0,413.0,69.0,174.0,0.397,0.0,0.0,0.0,69.0,174.0,0.397,0.397,19.0,33.0,0.576,14.0,32.0,46.0,44.0,21.0,6.0,30.0,52.0,157.0,1979
4,Kim Anderson,SF,23.0,POR,21.0,0.0,224.0,24.0,77.0,0.312,0.0,0.0,0.0,24.0,77.0,0.312,0.312,15.0,28.0,0.536,17.0,28.0,45.0,15.0,4.0,5.0,22.0,42.0,63.0,1979
5,Tiny Archibald,PG,30.0,BOS,69.0,0.0,1662.0,259.0,573.0,0.452,0.0,0.0,0.0,259.0,573.0,0.452,0.452,242.0,307.0,0.788,25.0,78.0,103.0,324.0,55.0,6.0,197.0,132.0,760.0,1979
6,Tate Armstrong,SG,23.0,CHI,26.0,0.0,259.0,28.0,70.0,0.4,0.0,0.0,0.0,28.0,70.0,0.4,0.4,10.0,13.0,0.769,7.0,13.0,20.0,31.0,10.0,0.0,21.0,22.0,66.0,1979
7,Dennis Awtrey,C,30.0,TOT,63.0,0.0,746.0,44.0,107.0,0.411,0.0,0.0,0.0,44.0,107.0,0.411,0.411,41.0,56.0,0.732,42.0,109.0,151.0,69.0,16.0,13.0,52.0,106.0,129.0,1979
10,Gus Bailey,SG,27.0,NOJ,2.0,0.0,9.0,2.0,7.0,0.286,0.0,0.0,0.0,2.0,7.0,0.286,0.286,0.0,0.0,0.0,2.0,0.0,2.0,2.0,0.0,0.0,1.0,1.0,4.0,1979
11,Greg Ballard,SF,24.0,WSB,82.0,0.0,1552.0,260.0,559.0,0.465,0.0,0.0,0.0,260.0,559.0,0.465,0.465,119.0,172.0,0.692,143.0,307.0,450.0,116.0,58.0,30.0,97.0,167.0,639.0,1979
12,Mike Bantom,PF,27.0,IND,81.0,0.0,2528.0,482.0,1036.0,0.465,0.0,0.0,0.0,482.0,1036.0,0.465,0.465,227.0,338.0,0.672,225.0,425.0,650.0,223.0,99.0,62.0,193.0,316.0,1191.0,1979
13,Tom Barker,C,23.0,TOT,39.0,0.0,476.0,68.0,156.0,0.436,0.0,0.0,0.0,68.0,156.0,0.436,0.436,27.0,37.0,0.73,45.0,74.0,119.0,15.0,10.0,11.0,34.0,76.0,163.0,1979
17,Marvin Barnes,PF,26.0,BOS,38.0,0.0,796.0,133.0,271.0,0.491,0.0,0.0,0.0,133.0,271.0,0.491,0.491,43.0,66.0,0.652,57.0,120.0,177.0,53.0,38.0,39.0,68.0,144.0,309.0,1979
18,Rick Barry,SF,34.0,HOU,80.0,0.0,2566.0,461.0,1000.0,0.461,0.0,0.0,0.0,461.0,1000.0,0.461,0.461,160.0,169.0,0.947,40.0,237.0,277.0,502.0,95.0,38.0,198.0,195.0,1082.0,1979
19,Tim Bassett,PF,27.0,NJN,82.0,0.0,1508.0,116.0,313.0,0.371,0.0,0.0,0.0,116.0,313.0,0.371,0.371,89.0,131.0,0.679,174.0,244.0,418.0,99.0,44.0,29.0,103.0,219.0,321.0,1979
20,Butch Beard,PG,31.0,NYK,7.0,0.0,85.0,11.0,26.0,0.423,0.0,0.0,0.0,11.0,26.0,0.423,0.423,0.0,0.0,0.0,1.0,9.0,10.0,19.0,7.0,0.0,10.0,13.0,22.0,1979
21,Ron Behagen,PF,28.0,TOT,15.0,0.0,165.0,28.0,62.0,0.452,0.0,0.0,0.0,28.0,62.0,0.452,0.452,10.0,13.0,0.769,13.0,29.0,42.0,7.0,4.0,1.0,11.0,36.0,66.0,1979
25,Kent Benson,C,24.0,MIL,82.0,0.0,2132.0,413.0,798.0,0.518,0.0,0.0,0.0,413.0,798.0,0.518,0.518,180.0,245.0,0.735,187.0,397.0,584.0,204.0,89.0,81.0,156.0,280.0,1006.0,1979
26,Del Beshore,PG,22.0,MIL,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1979
27,Henry Bibby,PG,29.0,PHI,82.0,0.0,2538.0,368.0,869.0,0.423,0.0,0.0,0.0,368.0,869.0,0.423,0.423,266.0,335.0,0.794,72.0,172.0,244.0,371.0,72.0,7.0,197.0,199.0,1002.0,1979
28,Bob Bigelow,SF,25.0,SDC,29.0,0.0,413.0,36.0,90.0,0.4,0.0,0.0,0.0,36.0,90.0,0.4,0.4,13.0,21.0,0.619,15.0,31.0,46.0,25.0,12.0,2.0,18.0,37.0,85.0,1979
29,Otis Birdsong,SG,23.0,KCK,82.0,0.0,2839.0,741.0,1456.0,0.509,0.0,0.0,0.0,741.0,1456.0,0.509,0.509,296.0,408.0,0.725,176.0,178.0,354.0,281.0,125.0,17.0,200.0,255.0,1778.0,1979
30,Ron Boone,SG,32.0,LAL,82.0,0.0,1583.0,259.0,569.0,0.455,0.0,0.0,0.0,259.0,569.0,0.455,0.455,90.0,104.0,0.865,53.0,92.0,145.0,154.0,66.0,11.0,147.0,171.0,608.0,1979
31,Tom Boswell,PF,25.0,DEN,79.0,0.0,2201.0,321.0,603.0,0.532,0.0,0.0,0.0,321.0,603.0,0.532,0.532,198.0,284.0,0.697,248.0,290.0,538.0,242.0,50.0,51.0,185.0,263.0,840.0,1979
32,Dennis Boyd,PG,24.0,DET,5.0,0.0,40.0,3.0,12.0,0.25,0.0,0.0,0.0,3.0,12.0,0.25,0.25,0.0,0.0,0.0,0.0,2.0,2.0,7.0,0.0,0.0,6.0,5.0,6.0,1979
33,Winford Boynes,SG,21.0,NJN,69.0,0.0,1176.0,256.0,595.0,0.43,0.0,0.0,0.0,256.0,595.0,0.43,0.43,133.0,169.0,0.787,60.0,95.0,155.0,75.0,43.0,7.0,119.0,117.0,645.0,1979
34,Alonzo Bradley,SF,25.0,HOU,34.0,0.0,245.0,37.0,88.0,0.42,0.0,0.0,0.0,37.0,88.0,0.42,0.42,22.0,33.0,0.667,13.0,33.0,46.0,17.0,5.0,1.0,17.0,33.0,96.0,1979
