,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Year
0,Mahmoud Abdul-Rauf,PG,27.0,SAC,75.0,51.0,2131.0,411.0,924.0,0.445,94.0,246.0,0.382,317.0,678.0,0.468,0.496,115.0,136.0,0.846,16.0,106.0,122.0,189.0,56.0,6.0,119.0,174.0,1031.0,1997
1,Shareef Abdur-Rahim,PF,20.0,VAN,80.0,71.0,2802.0,550.0,1214.0,0.453,7.0,27.0,0.259,543.0,1187.0,0.457,0.456,387.0,519.0,0.746,216.0,339.0,555.0,175.0,79.0,79.0,225.0,199.0,1494.0,1997
2,Rafael Addison,SF,32.0,CHH,41.0,3.0,355.0,49.0,122.0,0.402,8.0,20.0,0.4,41.0,102.0,0.402,0.434,22.0,28.0,0.786,19.0,26.0,45.0,34.0,8.0,3.0,17.0,52.0,128.0,1997
3,Cory Alexander,PG,23.0,SAS,80.0,6.0,1454.0,194.0,490.0,0.396,94.0,252.0,0.373,100.0,238.0,0.42,0.492,95.0,129.0,0.736,29.0,94.0,123.0,254.0,82.0,16.0,146.0,148.0,577.0,1997
4,Jerome Allen,SG,24.0,TOT,76.0,1.0,943.0,78.0,221.0,0.353,30.0,93.0,0.323,48.0,128.0,0.375,0.421,42.0,72.0,0.583,25.0,73.0,98.0,152.0,31.0,4.0,69.0,84.0,228.0,1997
7,Ray Allen,SG,21.0,MIL,82.0,81.0,2532.0,390.0,908.0,0.43,117.0,298.0,0.393,273.0,610.0,0.448,0.494,205.0,249.0,0.823,97.0,229.0,326.0,210.0,75.0,10.0,149.0,218.0,1102.0,1997
8,Derrick Alston,C,24.0,ATL,2.0,0.0,11.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,2.0,0.0,3.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1997
9,Ashraf Amaya,PF,25.0,WSB,31.0,0.0,144.0,12.0,40.0,0.3,1.0,1.0,1.0,11.0,39.0,0.282,0.313,15.0,28.0,0.536,19.0,33.0,52.0,3.0,7.0,3.0,10.0,29.0,40.0,1997
10,Greg Anderson,C,32.0,SAS,82.0,48.0,1659.0,130.0,262.0,0.496,0.0,1.0,0.0,130.0,261.0,0.498,0.496,62.0,93.0,0.667,157.0,291.0,448.0,34.0,63.0,67.0,73.0,225.0,322.0,1997
11,Kenny Anderson,PG,26.0,POR,82.0,81.0,3081.0,485.0,1137.0,0.427,132.0,366.0,0.361,353.0,771.0,0.458,0.485,334.0,435.0,0.768,91.0,272.0,363.0,584.0,162.0,15.0,193.0,222.0,1436.0,1997
12,Nick Anderson,SG,29.0,ORL,63.0,61.0,2163.0,288.0,725.0,0.397,143.0,405.0,0.353,145.0,320.0,0.453,0.496,38.0,94.0,0.404,66.0,238.0,304.0,182.0,120.0,32.0,86.0,160.0,757.0,1997
13,Shandon Anderson,SG,23.0,UTA,65.0,0.0,1066.0,147.0,318.0,0.462,24.0,47.0,0.511,123.0,271.0,0.454,0.5,68.0,99.0,0.687,52.0,127.0,179.0,49.0,27.0,8.0,73.0,113.0,386.0,1997
14,Willie Anderson,SG,30.0,MIA,28.0,1.0,303.0,29.0,64.0,0.453,8.0,19.0,0.421,21.0,45.0,0.467,0.516,17.0,20.0,0.85,15.0,27.0,42.0,34.0,14.0,4.0,19.0,36.0,83.0,1997
15,Greg Anthony,PG,29.0,VAN,65.0,44.0,1863.0,199.0,507.0,0.393,88.0,238.0,0.37,111.0,269.0,0.413,0.479,130.0,178.0,0.73,25.0,159.0,184.0,407.0,129.0,4.0,129.0,122.0,616.0,1997
16,B.J. Armstrong,PG,29.0,GSW,49.0,17.0,1020.0,148.0,327.0,0.453,25.0,90.0,0.278,123.0,237.0,0.519,0.491,68.0,79.0,0.861,7.0,67.0,74.0,126.0,25.0,2.0,53.0,56.0,389.0,1997
17,Darrell Armstrong,PG,28.0,ORL,67.0,0.0,1010.0,132.0,345.0,0.383,55.0,181.0,0.304,77.0,164.0,0.47,0.462,92.0,106.0,0.868,35.0,41.0,76.0,175.0,61.0,9.0,99.0,114.0,411.0,1997
18,Vincent Askew,SG,30.0,TOT,43.0,0.0,838.0,81.0,186.0,0.435,7.0,24.0,0.292,74.0,162.0,0.457,0.454,70.0,88.0,0.795,25.0,73.0,98.0,90.0,17.0,6.0,46.0,123.0,239.0,1997
22,Keith Askins,SF,29.0,MIA,78.0,30.0,1773.0,138.0,319.0,0.433,69.0,172.0,0.401,69.0,147.0,0.469,0.541,39.0,58.0,0.672,86.0,185.0,271.0,75.0,53.0,19.0,59.0,196.0,384.0,1997
23,Stacey Augmon,SG,28.0,TOT,60.0,10.0,942.0,105.0,220.0,0.477,0.0,0.0,0.0,105.0,220.0,0.477,0.477,69.0,97.0,0.711,47.0,91.0,138.0,56.0,42.0,17.0,64.0,87.0,279.0,1997
26,Isaac Austin,C,27.0,MIA,82.0,17.0,1881.0,321.0,639.0,0.502,0.0,3.0,0.0,321.0,636.0,0.505,0.502,150.0,226.0,0.664,136.0,342.0,478.0,101.0,45.0,43.0,161.0,244.0,792.0,1997
27,Vin Baker,PF,25.0,MIL,78.0,78.0,3159.0,632.0,1251.0,0.505,15.0,54.0,0.278,617.0,1197.0,0.515,0.511,358.0,521.0,0.687,267.0,537.0,804.0,211.0,81.0,112.0,245.0,275.0,1637.0,1997
28,Charles Barkley,PF,33.0,HOU,53.0,53.0,2009.0,335.0,692.0,0.484,58.0,205.0,0.283,277.0,487.0,0.569,0.526,288.0,415.0,0.694,212.0,504.0,716.0,248.0,69.0,25.0,151.0,153.0,1016.0,1997
29,Dana Barros,PG,29.0,BOS,24.0,8.0,708.0,110.0,253.0,0.435,43.0,105.0,0.41,67.0,148.0,0.453,0.52,37.0,43.0,0.86,5.0,43.0,48.0,81.0,26.0,6.0,39.0,34.0,300.0,1997
30,Brent Barry,SG,25.0,LAC,59.0,0.0,1094.0,155.0,379.0,0.409,56.0,173.0,0.324,99.0,206.0,0.481,0.483,76.0,93.0,0.817,30.0,80.0,110.0,154.0,51.0,15.0,76.0,88.0,442.0,1997
31,Jon Barry,SG,27.0,ATL,58.0,8.0,965.0,100.0,246.0,0.407,48.0,124.0,0.387,52.0,122.0,0.426,0.504,37.0,46.0,0.804,26.0,73.0,99.0,115.0,55.0,3.0,59.0,56.0,285.0,1997
32,Benoit Benjamin,C,32.0,TOR,4.0,3.0,44.0,5.0,12.0,0.417,0.0,0.0,0.0,5.0,12.0,0.417,0.417,3.0,4.0,0.75,3.0,6.0,9.0,1.0,1.0,0.0,2.0,5.0,13.0,1997
33,Elmer Bennett,PG,26.0,TOT,9.0,0.0,75.0,6.0,19.0,0.316,3.0,9.0,0.333,3.0,10.0,0.3,0.395,7.0,10.0,0.7,0.0,4.0,4.0,11.0,4.0,0.0,10.0,7.0,22.0,1997
36,Travis Best,PG,24.0,IND,76.0,46.0,2064.0,274.0,620.0,0.442,57.0,155.0,0.368,217.0,465.0,0.467,0.488,149.0,197.0,0.756,36.0,130.0,166.0,318.0,98.0,5.0,153.0,221.0,754.0,1997
37,Mookie Blaylock,PG,29.0,ATL,78.0,78.0,3056.0,501.0,1159.0,0.432,221.0,604.0,0.366,280.0,555.0,0.505,0.528,131.0,174.0,0.753,114.0,299.0,413.0,463.0,212.0,20.0,185.0,141.0,1354.0,1997
38,Corie Blount,PF,28.0,LAL,58.0,18.0,1009.0,92.0,179.0,0.514,1.0,3.0,0.333,91.0,176.0,0.517,0.517,56.0,83.0,0.675,113.0,163.0,276.0,35.0,22.0,26.0,50.0,121.0,241.0,1997
39,Muggsy Bogues,PG,32.0,CHH,65.0,65.0,1880.0,204.0,443.0,0.46,60.0,144.0,0.417,144.0,299.0,0.482,0.528,54.0,64.0,0.844,25.0,116.0,141.0,469.0,82.0,2.0,108.0,114.0,522.0,1997
40,Dexter Boney,SG,26.0,PHO,8.0,0.0,48.0,6.0,19.0,0.316,1.0,6.0,0.167,5.0,13.0,0.385,0.342,6.0,8.0,0.75,3.0,3.0,6.0,0.0,2.0,1.0,1.0,3.0,19.0,1997
41,Melvin Booker,PG,24.0,TOT,21.0,4.0,430.0,46.0,105.0,0.438,12.0,37.0,0.324,34.0,68.0,0.5,0.495,18.0,20.0,0.9,7.0,22.0,29.0,53.0,3.0,2.0,27.0,28.0,122.0,1997
